Orthogroup	NEMVE	CAEEL
OG0000000	NEMVE15388	CAEEL18735
OG0000000	NEMVE08998	CAEEL01026
OG0000000	NEMVE04822, NEMVE09082, NEMVE00451, NEMVE04736, NEMVE00802, NEMVE04845	CAEEL08140
OG0000000	NEMVE05015	CAEEL18754
OG0000000	NEMVE11246	CAEEL06523
OG0000000	NEMVE02875	CAEEL00081
OG0000000	NEMVE07200	CAEEL10851
OG0000000	NEMVE02364	CAEEL18086
OG0000000	NEMVE03387	CAEEL05734
OG0000000	NEMVE06009, NEMVE04803, NEMVE08994, NEMVE07193, NEMVE16932, NEMVE07210, NEMVE05929, NEMVE07213, NEMVE05986, NEMVE15281	CAEEL08135, CAEEL08091
OG0000000	NEMVE07211	CAEEL00979
OG0000000	NEMVE05017	CAEEL19601
OG0000000	NEMVE15350	CAEEL07441, CAEEL08137, CAEEL17599
OG0000000	NEMVE07203	CAEEL08875
OG0000000	NEMVE03927	CAEEL20161, CAEEL15696
OG0000000	NEMVE03925	CAEEL15438
OG0000000	NEMVE02854, NEMVE17363, NEMVE10113, NEMVE14999, NEMVE10106	CAEEL16213
OG0000001	NEMVE07386	CAEEL15812
OG0000001	NEMVE03657	CAEEL14831
OG0000001	NEMVE04563	CAEEL14137
OG0000001	NEMVE00693, NEMVE09134	CAEEL10382
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	CAEEL06722
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	CAEEL13228, CAEEL12925, CAEEL13245, CAEEL13244, CAEEL13243, CAEEL13242, CAEEL13246, CAEEL13682, CAEEL13221, CAEEL13223, CAEEL17594, CAEEL16944, CAEEL13479, CAEEL14996, CAEEL14636, CAEEL11003, CAEEL11002, CAEEL11012, CAEEL20200, CAEEL14075, CAEEL20203, CAEEL20199, CAEEL20201, CAEEL01553, CAEEL04143, CAEEL18977
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	CAEEL08453, CAEEL08460
OG0000003	NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940, NEMVE12943, NEMVE02796, NEMVE03483, NEMVE11168, NEMVE03140, NEMVE05604, NEMVE05173, NEMVE06810, NEMVE07480, NEMVE02898, NEMVE03337, NEMVE03235, NEMVE07489, NEMVE11653	CAEEL19939
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	CAEEL01924
OG0000005	NEMVE05730	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	NEMVE02889	CAEEL20510
OG0000006	NEMVE10951	CAEEL18976
OG0000006	NEMVE06918	CAEEL19824
OG0000006	NEMVE02590	CAEEL07700
OG0000006	NEMVE03392, NEMVE06316	CAEEL05532
OG0000006	NEMVE14647	CAEEL01533
OG0000006	NEMVE02879	CAEEL19718
OG0000006	NEMVE04712	CAEEL12101
OG0000006	NEMVE13538	CAEEL00153
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	CAEEL17819
OG0000006	NEMVE08464	CAEEL15182
OG0000007	NEMVE14764	CAEEL04050
OG0000007	NEMVE13570	CAEEL17965
OG0000007	NEMVE06210	CAEEL05829
OG0000007	NEMVE16064	CAEEL01108
OG0000007	NEMVE02349	CAEEL01984
