Orthogroup	NEMVE	BRALA
OG0000000	NEMVE15388	BRALA16375, BRALA16376
OG0000000	NEMVE01834	BRALA00047
OG0000000	NEMVE15910, NEMVE03396	BRALA18569
OG0000000	NEMVE09627, NEMVE02365	BRALA19584, BRALA19585, BRALA25857
OG0000000	NEMVE04822	BRALA25847
OG0000000	NEMVE05015	BRALA24482
OG0000000	NEMVE11246	BRALA16262
OG0000000	NEMVE02875	BRALA16263
OG0000000	NEMVE01399	BRALA16378, BRALA16379
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	BRALA29522
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	BRALA21349
OG0000000	NEMVE07200	BRALA18600
OG0000000	NEMVE02364	BRALA28387
OG0000000	NEMVE04732, NEMVE07124	BRALA21476
OG0000000	NEMVE03387	BRALA00440
OG0000000	NEMVE06009	BRALA11736
OG0000000	NEMVE05929	BRALA00116
OG0000000	NEMVE05986	BRALA11734
OG0000000	NEMVE15281	BRALA00119, BRALA00120, BRALA00121, BRALA00118
OG0000000	NEMVE07211	BRALA00439, BRALA26541
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	BRALA00079
OG0000000	NEMVE05017	BRALA34448
OG0000000	NEMVE15350	BRALA11733
OG0000000	NEMVE07203	BRALA00135
OG0000000	NEMVE17362	BRALA30674
OG0000000	NEMVE17363	BRALA30673
OG0000000	NEMVE14999, NEMVE10106	BRALA17840
OG0000001	NEMVE07386	BRALA22338, BRALA22325
OG0000001	NEMVE09207, NEMVE01893, NEMVE23127	BRALA22324, BRALA14825
OG0000001	NEMVE05041, NEMVE09133	BRALA34804
OG0000001	NEMVE17781	BRALA14819
OG0000001	NEMVE11138	BRALA27259
OG0000001	NEMVE05643, NEMVE12281	BRALA21021
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	BRALA25322, BRALA21156
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586, BRALA28279, BRALA02635, BRALA12500, BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500, BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468, BRALA10501, BRALA20754, BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000003	NEMVE03291	BRALA35199
OG0000003	NEMVE03233, NEMVE08502	BRALA21392, BRALA32239
OG0000003	NEMVE12390	BRALA03419
OG0000003	NEMVE10016	BRALA35907
OG0000003	NEMVE03429	BRALA31353
OG0000003	NEMVE02987, NEMVE01808	BRALA11278
OG0000003	NEMVE09862, NEMVE10187, NEMVE02664	BRALA27165
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	BRALA25224
OG0000003	NEMVE09872	BRALA09721
OG0000003	NEMVE03485, NEMVE03052, NEMVE05193	BRALA24754
OG0000003	NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321	BRALA19933, BRALA07599, BRALA23550
OG0000003	NEMVE03309	BRALA31768
OG0000003	NEMVE02394, NEMVE09839, NEMVE11635, NEMVE08197, NEMVE02748, NEMVE02625, NEMVE07726, NEMVE11243	BRALA01167
OG0000003	NEMVE10052	BRALA29565
OG0000003	NEMVE00038	BRALA20351
OG0000003	NEMVE05235	BRALA07154
OG0000003	NEMVE07480, NEMVE02898	BRALA23384
OG0000003	NEMVE00057, NEMVE03335	BRALA01914
OG0000003	NEMVE00079	BRALA01313
OG0000003	NEMVE13177	BRALA17936, BRALA23610
OG0000003	NEMVE11459, NEMVE11042	BRALA23910
OG0000003	NEMVE12156, NEMVE11117	BRALA01314
OG0000004	NEMVE02712, NEMVE03345	BRALA09016
OG0000004	NEMVE08929	BRALA16461, BRALA23965, BRALA02945, BRALA09920, BRALA16460
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643	BRALA16167
OG0000004	NEMVE12484	BRALA12395
OG0000004	NEMVE19262	BRALA08526
OG0000004	NEMVE05321, NEMVE08640, NEMVE06418	BRALA23654, BRALA07044
OG0000004	NEMVE11454	BRALA03961
OG0000004	NEMVE02378	BRALA02003, BRALA02015
OG0000005	NEMVE16926, NEMVE07207	BRALA31589
OG0000005	NEMVE05730	BRALA15288, BRALA15287
OG0000006	NEMVE06318	BRALA03676
OG0000006	NEMVE02889	BRALA07705
OG0000006	NEMVE10951	BRALA17590
OG0000006	NEMVE12700, NEMVE08468	BRALA06686
OG0000006	NEMVE10906	BRALA23800
OG0000006	NEMVE21901	BRALA07568, BRALA29276
OG0000006	NEMVE02590	BRALA22280
OG0000006	NEMVE03392	BRALA06185
OG0000006	NEMVE06316	BRALA06182, BRALA06186
OG0000006	NEMVE08216	BRALA24212
OG0000006	NEMVE16957	BRALA17603
OG0000006	NEMVE02351	BRALA03602
OG0000006	NEMVE14647	BRALA17591
OG0000006	NEMVE04712	BRALA24372, BRALA34187
OG0000006	NEMVE13538	BRALA24993
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	BRALA24994
OG0000006	NEMVE08464	BRALA22628
OG0000007	NEMVE15003	BRALA03259
OG0000007	NEMVE14764	BRALA13447, BRALA13448
OG0000007	NEMVE13570	BRALA20872, BRALA20870
OG0000007	NEMVE08145	BRALA09541
OG0000007	NEMVE02350, NEMVE21807	BRALA01304, BRALA08592
OG0000007	NEMVE09701, NEMVE03333	BRALA31416
OG0000007	NEMVE03816	BRALA11149
OG0000007	NEMVE16064	BRALA20579, BRALA03286, BRALA03282
OG0000007	NEMVE02349	BRALA08350
OG0000007	NEMVE01414, NEMVE06618	BRALA09316
OG0000007	NEMVE09467	BRALA26097
OG0000007	NEMVE03824	BRALA22487
OG0000007	NEMVE09051	BRALA06491
OG0000007	NEMVE03714	BRALA18647
OG0000007	NEMVE10605	BRALA23348
OG0000007	NEMVE09289	BRALA05625
OG0000007	NEMVE05677	BRALA30788
OG0000008	NEMVE06079, NEMVE05558	BRALA16035, BRALA05591
OG0000008	NEMVE09628, NEMVE18567, NEMVE02203, NEMVE08012, NEMVE11405, NEMVE11127, NEMVE08569, NEMVE18947	BRALA04407, BRALA17128, BRALA07906, BRALA15503, BRALA14714, BRALA07908, BRALA07907, BRALA07892, BRALA07891, BRALA21582, BRALA02557
OG0000008	NEMVE06108, NEMVE06085, NEMVE20467, NEMVE06105, NEMVE10336, NEMVE06107, NEMVE06106, NEMVE06092, NEMVE21801, NEMVE21791, NEMVE11595, NEMVE06088, NEMVE05561	BRALA27339, BRALA27336
OG0000008	NEMVE02218, NEMVE02180	BRALA27036
OG0000008	NEMVE04749, NEMVE07849	BRALA26942
OG0000008	NEMVE07817, NEMVE12766	BRALA20539
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	BRALA28057
OG0000009	NEMVE08980	BRALA33044, BRALA32203, BRALA32983, BRALA34913
OG0000009	NEMVE03254	BRALA34658
OG0000009	NEMVE09219	BRALA26278, BRALA32982
OG0000009	NEMVE02901	BRALA26344, BRALA34657, BRALA24601, BRALA26896, BRALA05198, BRALA23884, BRALA31944, BRALA33043, BRALA22992, BRALA30025, BRALA24985, BRALA23462, BRALA30489, BRALA12697, BRALA27847
OG0000009	NEMVE03675	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	NEMVE02447, NEMVE13495	BRALA08739, BRALA05744
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	BRALA01026, BRALA09806
OG0000010	NEMVE07022, NEMVE00173, NEMVE08008	BRALA20380, BRALA25997
OG0000010	NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848	BRALA21212, BRALA10410, BRALA13100
OG0000010	NEMVE05306	BRALA23788
OG0000011	NEMVE10152	BRALA26291, BRALA22896, BRALA17910, BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249, BRALA19887, BRALA33147
