Orthogroup	NEMVE	MOUSE
OG0000000	NEMVE15388	MOUSE35835, MOUSE46731
OG0000000	NEMVE01834	MOUSE35499, MOUSE22971
OG0000000	NEMVE09627, NEMVE02365	MOUSE40493, MOUSE21445
OG0000000	NEMVE05015	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	NEMVE11246	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	MOUSE09344, MOUSE50563
OG0000000	NEMVE02364	MOUSE20961
OG0000000	NEMVE04732, NEMVE07124	MOUSE24692
OG0000000	NEMVE04840	MOUSE36510
OG0000000	NEMVE06009	MOUSE38794, MOUSE36509
OG0000000	NEMVE05929	MOUSE26494, MOUSE05221, MOUSE39801
OG0000000	NEMVE05986	MOUSE38795
OG0000000	NEMVE15281	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889, MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218, MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	NEMVE07211	MOUSE35589, MOUSE35590
OG0000000	NEMVE10161	MOUSE05644, MOUSE06967
OG0000000	NEMVE05017	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	NEMVE15350	MOUSE39823, MOUSE54681, MOUSE19588, MOUSE38796, MOUSE42582
OG0000000	NEMVE07203	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	NEMVE17362	MOUSE36110
OG0000000	NEMVE17363	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	NEMVE10113	MOUSE28110, MOUSE28109
OG0000000	NEMVE14999, NEMVE10106	MOUSE07114
OG0000001	NEMVE11138	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	MOUSE31557, MOUSE31558, MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159, MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284, MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136, MOUSE43163, MOUSE43162, MOUSE33129, MOUSE15413, MOUSE15412
OG0000003	NEMVE14981	MOUSE08264
OG0000003	NEMVE00057, NEMVE03335	MOUSE36184
OG0000004	NEMVE02712, NEMVE03345	MOUSE12693, MOUSE12692
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643	MOUSE21111
OG0000004	NEMVE02378	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620
OG0000005	NEMVE21437	MOUSE03520
OG0000006	NEMVE02889	MOUSE48684, MOUSE48683
OG0000006	NEMVE10951	MOUSE11220
OG0000006	NEMVE12700, NEMVE08468	MOUSE33561, MOUSE33562
OG0000006	NEMVE10906	MOUSE54497
OG0000006	NEMVE21901	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	NEMVE02590	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	NEMVE03392	MOUSE38532, MOUSE38531
OG0000006	NEMVE16957	MOUSE10280
OG0000006	NEMVE02351	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	NEMVE14647	MOUSE19675
OG0000006	NEMVE04712	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	NEMVE13538	MOUSE08011, MOUSE15296
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	NEMVE08464	MOUSE03398
OG0000007	NEMVE15003	MOUSE09063, MOUSE49748
OG0000007	NEMVE14764	MOUSE51845, MOUSE20686
OG0000007	NEMVE13570	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	NEMVE06210	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	NEMVE02350, NEMVE21807	MOUSE32557, MOUSE33511
OG0000007	NEMVE09701, NEMVE03333	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	NEMVE03816	MOUSE52320
OG0000007	NEMVE16064	MOUSE13954, MOUSE09061, MOUSE09062, MOUSE49739
OG0000007	NEMVE09056	MOUSE38585
OG0000007	NEMVE09467	MOUSE04689, MOUSE37388
OG0000007	NEMVE03824	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	NEMVE09051	MOUSE38586, MOUSE06525
OG0000007	NEMVE03714	MOUSE06204
OG0000007	NEMVE09289	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	NEMVE05677	MOUSE07031, MOUSE07030
OG0000008	NEMVE06079, NEMVE05558	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	MOUSE35409
