Orthogroup	NEMVE	XENTR
OG0000000	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947	XENTR09224, XENTR09222, XENTR09223, XENTR09220
OG0000000	NEMVE15388	XENTR08878
OG0000000	NEMVE01834	XENTR18832, XENTR01079, XENTR01080
OG0000000	NEMVE09627, NEMVE02365	XENTR18066, XENTR08976, XENTR07932
OG0000000	NEMVE04822	XENTR07929
OG0000000	NEMVE05015	XENTR10509, XENTR10508, XENTR13402
OG0000000	NEMVE11246	XENTR02223, XENTR10492, XENTR10560
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	XENTR17298, XENTR05705
OG0000000	NEMVE02364	XENTR12445
OG0000000	NEMVE04732, NEMVE07124	XENTR07618
OG0000000	NEMVE06009	XENTR04390, XENTR05494
OG0000000	NEMVE05929	XENTR10849, XENTR03337
OG0000000	NEMVE05986	XENTR04389
OG0000000	NEMVE15281	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541
OG0000000	NEMVE07211	XENTR06295, XENTR04184
OG0000000	NEMVE10161	XENTR03185
OG0000000	NEMVE05017	XENTR12464, XENTR08726
OG0000000	NEMVE15350	XENTR04388, XENTR00687, XENTR13779
OG0000000	NEMVE07203	XENTR03327, XENTR07175
OG0000000	NEMVE17362	XENTR14936, XENTR09546
OG0000000	NEMVE17363	XENTR01972, XENTR09547, XENTR08722
OG0000000	NEMVE10113	XENTR12981
OG0000000	NEMVE14999, NEMVE10106	XENTR06679
OG0000001	NEMVE11138	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	XENTR12747, XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313, XENTR09131, XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912, XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598, XENTR17667
OG0000003	NEMVE03659	XENTR17803
OG0000003	NEMVE05173, NEMVE06810	XENTR03273
OG0000004	NEMVE02712, NEMVE03345	XENTR16872, XENTR15834
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643	XENTR18073
OG0000004	NEMVE06160, NEMVE08000, NEMVE05321, NEMVE08640, NEMVE06418, NEMVE11454, NEMVE02581, NEMVE08030, NEMVE12587, NEMVE00376, NEMVE05881, NEMVE09788, NEMVE10453, NEMVE03460	XENTR07291
OG0000004	NEMVE02378	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106
OG0000006	NEMVE10951	XENTR06019
