Orthogroup	NEMVE	AENJA_ok
OG0000000	NEMVE15388	AENJA_00110
OG0000000	NEMVE01834	AENJA_23461
OG0000000	NEMVE09627, NEMVE02365	AENJA_26081
OG0000000	NEMVE04822	AENJA_09148
OG0000000	NEMVE05015	AENJA_23544
OG0000000	NEMVE11246	AENJA_09172
OG0000000	NEMVE02875	AENJA_06471
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	AENJA_00111, AENJA_09519
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	AENJA_01531
OG0000000	NEMVE07200	AENJA_05531
OG0000000	NEMVE02364	AENJA_07481
OG0000000	NEMVE04732, NEMVE07124	AENJA_25905
OG0000000	NEMVE06009	AENJA_12748
OG0000000	NEMVE07193, NEMVE16932, NEMVE07210	AENJA_15858
OG0000000	NEMVE05929	AENJA_15855
OG0000000	NEMVE05986	AENJA_12751
OG0000000	NEMVE15281	AENJA_05807, AENJA_05798, AENJA_15859, AENJA_15861, AENJA_05799
OG0000000	NEMVE07211	AENJA_22692
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	AENJA_20015
OG0000000	NEMVE15350	AENJA_21459, AENJA_05805
OG0000000	NEMVE07203	AENJA_01755
OG0000000	NEMVE17362	AENJA_10279
OG0000000	NEMVE17363	AENJA_05264
OG0000000	NEMVE10113	AENJA_18954
OG0000000	NEMVE14999, NEMVE10106	AENJA_18955
OG0000001	NEMVE08550	AENJA_18147
OG0000001	NEMVE07386	AENJA_16489
OG0000001	NEMVE09207	AENJA_05757, AENJA_05760
OG0000001	NEMVE01893, NEMVE23127	AENJA_26229
OG0000001	NEMVE04563	AENJA_09599, AENJA_01806
OG0000001	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781	AENJA_04483
OG0000001	NEMVE11138	AENJA_26118, AENJA_17575
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	AENJA_09293
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	AENJA_03072, AENJA_19547, AENJA_15292, AENJA_22707, AENJA_19254, AENJA_03627, AENJA_00531, AENJA_22262, AENJA_16411, AENJA_05471, AENJA_03252
OG0000003	NEMVE07432, NEMVE12844, NEMVE03291, NEMVE03233, NEMVE08502, NEMVE09854	AENJA_04022
OG0000003	NEMVE10016	AENJA_13323
OG0000003	NEMVE01808	AENJA_16645
OG0000003	NEMVE02402	AENJA_03129
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	AENJA_06624
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	AENJA_13805
OG0000003	NEMVE08017	AENJA_21345
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	AENJA_06107
OG0000003	NEMVE03485	AENJA_03277
OG0000003	NEMVE03052, NEMVE05193	AENJA_12218
OG0000003	NEMVE02394, NEMVE09839, NEMVE11635, NEMVE08197, NEMVE02748, NEMVE02625, NEMVE07726, NEMVE11243	AENJA_04134
OG0000003	NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038	AENJA_02043
OG0000003	NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940, NEMVE12943, NEMVE02796, NEMVE03483	AENJA_22000
OG0000003	NEMVE03053	AENJA_21667
OG0000003	NEMVE13177	AENJA_15873
OG0000003	NEMVE11459	AENJA_00543
OG0000004	NEMVE08929	AENJA_02270
OG0000004	NEMVE08317	AENJA_03929
OG0000004	NEMVE19262	AENJA_25009
OG0000004	NEMVE10715, NEMVE21151	AENJA_07458, AENJA_04481
OG0000004	NEMVE02866, NEMVE15796, NEMVE12892	AENJA_23393, AENJA_18495
OG0000004	NEMVE02378	AENJA_18812, AENJA_09022, AENJA_05320
OG0000004	NEMVE12342, NEMVE08794, NEMVE21918	AENJA_17546
OG0000005	NEMVE16926, NEMVE07207	AENJA_12050
OG0000005	NEMVE05730	AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000006	NEMVE06318	AENJA_18239
OG0000006	NEMVE10951	AENJA_18510
OG0000006	NEMVE12700, NEMVE08468	AENJA_22158
OG0000006	NEMVE21901	AENJA_07226
OG0000006	NEMVE02590	AENJA_22522
OG0000006	NEMVE03392	AENJA_09814
OG0000006	NEMVE06316	AENJA_09813
OG0000006	NEMVE16957	AENJA_00662
OG0000006	NEMVE02351	AENJA_07549, AENJA_15373
OG0000006	NEMVE04712	AENJA_18450
OG0000006	NEMVE13538	AENJA_01590
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	AENJA_09210
OG0000006	NEMVE08464	AENJA_15474
OG0000007	NEMVE15003	AENJA_18325
OG0000007	NEMVE14764	AENJA_18163
OG0000007	NEMVE13570	AENJA_00810
OG0000007	NEMVE06210	AENJA_25020
OG0000007	NEMVE09701, NEMVE03333	AENJA_23908
OG0000007	NEMVE03816	AENJA_19234
OG0000007	NEMVE16064	AENJA_06479, AENJA_16018, AENJA_18328
OG0000007	NEMVE02349	AENJA_07512
OG0000007	NEMVE09056	AENJA_07359
OG0000007	NEMVE09467	AENJA_09687
OG0000007	NEMVE03824	AENJA_07358
OG0000007	NEMVE09051	AENJA_11277
OG0000007	NEMVE03714	AENJA_22886
OG0000007	NEMVE10605	AENJA_20902
OG0000007	NEMVE09289	AENJA_16981
OG0000007	NEMVE05677	AENJA_26507
OG0000008	NEMVE06079, NEMVE05558	AENJA_26738
OG0000008	NEMVE02162	AENJA_21542
OG0000008	NEMVE04749, NEMVE07849	AENJA_21421, AENJA_04271
OG0000008	NEMVE12766	AENJA_00959
OG0000009	NEMVE18534	AENJA_04378
OG0000009	NEMVE09431	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892
OG0000009	NEMVE11238, NEMVE07499	AENJA_05174
OG0000009	NEMVE11165	AENJA_19923, AENJA_16121
OG0000009	NEMVE20384	AENJA_10638
OG0000009	NEMVE09925, NEMVE06876	AENJA_13736, AENJA_17094
OG0000009	NEMVE06521	AENJA_01292, AENJA_04656, AENJA_14742, AENJA_12725, AENJA_08349, AENJA_25442, AENJA_12082, AENJA_25388, AENJA_03345, AENJA_13762, AENJA_13658, AENJA_07747, AENJA_00113, AENJA_11818, AENJA_00671, AENJA_13717, AENJA_06400
OG0000009	NEMVE06802	AENJA_25347
OG0000009	NEMVE08980	AENJA_03229, AENJA_08449, AENJA_02891, AENJA_01343, AENJA_22348, AENJA_01926, AENJA_09256, AENJA_15566
OG0000009	NEMVE10081	AENJA_12480, AENJA_17105
OG0000009	NEMVE03254	AENJA_14084, AENJA_13529, AENJA_22419, AENJA_21438, AENJA_05572
OG0000009	NEMVE09219	AENJA_12983, AENJA_12645, AENJA_26356, AENJA_04329
OG0000009	NEMVE02901	AENJA_26815, AENJA_17953, AENJA_06919, AENJA_24889, AENJA_13451, AENJA_24005, AENJA_00782, AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530, AENJA_22062, AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938
OG0000009	NEMVE03675	AENJA_12021, AENJA_05571
OG0000009	NEMVE08930	AENJA_11549, AENJA_13947
OG0000009	NEMVE12887	AENJA_18570
OG0000010	NEMVE02447, NEMVE13495	AENJA_06639
OG0000011	NEMVE10152	AENJA_04598, AENJA_03543, AENJA_24193, AENJA_17587, AENJA_15118, AENJA_06710, AENJA_08607, AENJA_10319, AENJA_18099, AENJA_11078, AENJA_01925, AENJA_24659, AENJA_13168
OG0000011	NEMVE09727, NEMVE07051	AENJA_25796
OG0000011	NEMVE11104	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414, AENJA_17241, AENJA_22685, AENJA_26020, AENJA_21439, AENJA_21547, AENJA_23170, AENJA_23691, AENJA_08871, AENJA_09595, AENJA_20150, AENJA_13507, AENJA_21384, AENJA_24664, AENJA_01682, AENJA_22850, AENJA_21026
OG0000012	NEMVE07016	AENJA_23419
OG0000012	NEMVE09268, NEMVE05547	AENJA_02869
OG0000013	NEMVE18475	AENJA_14640
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	AENJA_25536
OG0000015	NEMVE10119	AENJA_19634
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	AENJA_19636
OG0000015	NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503	AENJA_02597
OG0000016	NEMVE10959	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	NEMVE11998	AENJA_26670
OG0000016	NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	AENJA_26671, AENJA_26677
OG0000016	NEMVE05675	AENJA_02781
OG0000017	NEMVE10140	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	NEMVE12719	AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981
OG0000017	NEMVE03677, NEMVE19473	AENJA_06457, AENJA_13473, AENJA_19348, AENJA_18559
OG0000017	NEMVE11361	AENJA_24973
OG0000017	NEMVE02741	AENJA_19527, AENJA_05284, AENJA_20820, AENJA_23397, AENJA_15074, AENJA_17435, AENJA_05313
OG0000017	NEMVE21656	AENJA_07451, AENJA_22962, AENJA_21386, AENJA_13274, AENJA_08258, AENJA_22053, AENJA_22436, AENJA_14928, AENJA_06318, AENJA_08674, AENJA_21573
OG0000017	NEMVE08981	AENJA_22050
OG0000017	NEMVE11360	AENJA_00879
