Orthogroup	NEMVE	DROME
OG0000000	NEMVE15388	DROME16218, DROME16219
OG0000000	NEMVE01834	DROME04813
OG0000000	NEMVE15910, NEMVE03396	DROME07346
OG0000000	NEMVE09627, NEMVE02365	DROME14805, DROME14806
OG0000000	NEMVE04822	DROME15599
OG0000000	NEMVE05015	DROME15463, DROME15462
OG0000000	NEMVE11246	DROME11250
OG0000000	NEMVE02875	DROME14878
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	DROME20419
OG0000000	NEMVE03364, NEMVE10341, NEMVE10347	DROME05373
OG0000000	NEMVE07200	DROME12799
OG0000000	NEMVE02364	DROME16097
OG0000000	NEMVE04732, NEMVE07124	DROME01107
OG0000000	NEMVE03387	DROME17319
OG0000000	NEMVE06009	DROME11314
OG0000000	NEMVE08994	DROME13405
OG0000000	NEMVE07213	DROME13402, DROME13403
OG0000000	NEMVE05986	DROME13415
OG0000000	NEMVE15281	DROME13417, DROME13418, DROME13419, DROME13416, DROME15339, DROME15340, DROME13413, DROME13414
OG0000000	NEMVE07211	DROME10025
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	DROME16399
OG0000000	NEMVE05017	DROME17718
OG0000000	NEMVE15350	DROME03546, DROME03545, DROME13420
OG0000000	NEMVE07203	DROME04989
OG0000000	NEMVE17362	DROME16202
OG0000000	NEMVE03927	DROME16201
OG0000000	NEMVE03925, NEMVE02854, NEMVE17363, NEMVE10113, NEMVE14999, NEMVE10106	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	DROME21552, DROME21551, DROME14626, DROME12189, DROME02894
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000006	NEMVE06918	DROME00146
OG0000006	NEMVE10906, NEMVE09176	DROME00104
OG0000006	NEMVE02590	DROME19258, DROME19257, DROME19259
OG0000006	NEMVE03392	DROME21396
OG0000006	NEMVE08216	DROME15583
OG0000006	NEMVE16957	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	NEMVE13593	DROME07420
OG0000006	NEMVE02351	DROME19786, DROME00664
OG0000006	NEMVE14647	DROME07417
OG0000006	NEMVE04712	DROME18045, DROME18046, DROME18044
OG0000006	NEMVE13538	DROME00147, DROME00148
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	DROME19780, DROME19779, DROME19781
OG0000006	NEMVE08464	DROME21674, DROME21675, DROME21673
OG0000007	NEMVE15003	DROME12545
OG0000007	NEMVE14764	DROME16994, DROME16993
OG0000007	NEMVE13570	DROME17568, DROME17567
OG0000007	NEMVE06210	DROME07864
OG0000007	NEMVE09701, NEMVE03333, NEMVE03816	DROME09292
OG0000007	NEMVE02349	DROME18346
OG0000007	NEMVE09467	DROME14142
OG0000007	NEMVE03824	DROME19603, DROME19602
OG0000007	NEMVE09051	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	NEMVE05677	DROME21792, DROME00712, DROME00713
OG0000008	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319	DROME12246
OG0000008	NEMVE07817, NEMVE12766	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	DROME15136
OG0000010	NEMVE08421	DROME12016
OG0000010	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008	DROME10941
OG0000010	NEMVE05383	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652
OG0000012	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	DROME14595, DROME14594
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	DROME20983
OG0000015	NEMVE08500, NEMVE08491	DROME15820, DROME14399, DROME14400, DROME14397, DROME14398
OG0000016	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	NEMVE05675	DROME01609
OG0000019	NEMVE06549	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	NEMVE05671, NEMVE21971, NEMVE18721	DROME02490
OG0000020	NEMVE05506	DROME11466, DROME11467
OG0000020	NEMVE08770, NEMVE22771	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	NEMVE13577	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	NEMVE13307	DROME03151, DROME03150
OG0000020	NEMVE13092	DROME14454, DROME14455
