Orthogroup	NEMVE	PFLAV
OG0000000	NEMVE15388	TCONS_00026365.p1
OG0000000	NEMVE01834	TCONS_00019737.p1
OG0000000	NEMVE09627, NEMVE02365	TCONS_00027826.p1
OG0000000	NEMVE00451	TCONS_00026836.p1
OG0000000	NEMVE05015	TCONS_00026612.p1
OG0000000	NEMVE11246	TCONS_00026711.p1
OG0000000	NEMVE02875	TCONS_00026377.p1
OG0000000	NEMVE01399	TCONS_00027287.p1, TCONS_00027293.p1
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	TCONS_00018852.p1
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	TCONS_00015367.p1
OG0000000	NEMVE07200	TCONS_00020801.p1
OG0000000	NEMVE02364	TCONS_00026487.p1
OG0000000	NEMVE04732, NEMVE07124	TCONS_00010493.p1
OG0000000	NEMVE03387	TCONS_00020105.p1
OG0000000	NEMVE06009	TCONS_00043772.p1
OG0000000	NEMVE08994	TCONS_00032261.p1
OG0000000	NEMVE05929	TCONS_00032260.p1
OG0000000	NEMVE05986	TCONS_00043771.p1
OG0000000	NEMVE15281	TCONS_00032269.p1, TCONS_00032266.p1, TCONS_00032267.p1, TCONS_00032262.p1, TCONS_00032264.p1
OG0000000	NEMVE07211	TCONS_00019139.p1
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	NEMVE05017	TCONS_00027510.p1
OG0000000	NEMVE15350	TCONS_00042478.p1
OG0000000	NEMVE07203	TCONS_00031629.p1
OG0000000	NEMVE17362	TCONS_00026601.p1
OG0000000	NEMVE17363	TCONS_00026600.p1
OG0000000	NEMVE10113	TCONS_00009627.p1
OG0000000	NEMVE14999, NEMVE10106	TCONS_00009628.p1
OG0000001	NEMVE00558	TCONS_00033511.p1, TCONS_00027082.p1
OG0000001	NEMVE08550	TCONS_00043545.p1, TCONS_00043951.p1, TCONS_00022392.p1
OG0000001	NEMVE11138	TCONS_00007091.p1
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	TCONS_00010137.p1, TCONS_00009919.p1, TCONS_00008473.p1, TCONS_00020039.p1, TCONS_00028990.p1, TCONS_00028992.p1, TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1, TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1, TCONS_00050428.p1, TCONS_00050118.p1, TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1, TCONS_00048938.p1
OG0000003	NEMVE12390	TCONS_00029636.p1, TCONS_00031471.p1
OG0000003	NEMVE12557	TCONS_00052987.p1
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	TCONS_00043593.p1
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	TCONS_00012459.p1
OG0000003	NEMVE09862, NEMVE10187, NEMVE02664	TCONS_00053405.p1
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	TCONS_00043525.p1
OG0000003	NEMVE00066	TCONS_00054024.p1
OG0000003	NEMVE11632	TCONS_00018253.p1
OG0000003	NEMVE00533	TCONS_00006180.p1
OG0000003	NEMVE03309	TCONS_00005704.p1
OG0000003	NEMVE03140	TCONS_00057106.p1
OG0000003	NEMVE03053	TCONS_00013648.p1
OG0000003	NEMVE12156, NEMVE11117	TCONS_00019216.p1
OG0000004	NEMVE12484, NEMVE12641, NEMVE00846	TCONS_00005466.p1, TCONS_00006578.p1
OG0000004	NEMVE19262	TCONS_00028773.p1
OG0000004	NEMVE17481	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1
OG0000004	NEMVE02378	TCONS_00039987.p1
OG0000004	NEMVE12342, NEMVE08794, NEMVE21918, NEMVE10612	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000005	NEMVE21437	TCONS_00012054.p1, TCONS_00018633.p1, TCONS_00018634.p1, TCONS_00017587.p1, TCONS_00017584.p1, TCONS_00039237.p1
OG0000005	NEMVE05730	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	NEMVE06318	TCONS_00023587.p1
OG0000006	NEMVE02889	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	NEMVE10951	TCONS_00048904.p1
OG0000006	NEMVE12700, NEMVE08468	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	NEMVE06918	TCONS_00056934.p1
OG0000006	NEMVE10906, NEMVE09176	TCONS_00021581.p1
OG0000006	NEMVE21901	TCONS_00023551.p1
OG0000006	NEMVE02590	TCONS_00003496.p1
OG0000006	NEMVE03392	TCONS_00012810.p1
OG0000006	NEMVE06316	TCONS_00013984.p1, TCONS_00012809.p1
OG0000006	NEMVE08216	TCONS_00021507.p1
OG0000006	NEMVE16957	TCONS_00027932.p1
OG0000006	NEMVE13593	TCONS_00027931.p1
OG0000006	NEMVE02351	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	NEMVE14647	TCONS_00028953.p1
OG0000006	NEMVE04712	TCONS_00030792.p1, TCONS_00029994.p1
OG0000006	NEMVE13538	TCONS_00011489.p1
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	TCONS_00011491.p1
OG0000006	NEMVE08464	TCONS_00011052.p1
OG0000006	NEMVE22273, NEMVE03946	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	NEMVE15003	TCONS_00008966.p1
OG0000007	NEMVE14764	TCONS_00029574.p1
OG0000007	NEMVE13570	TCONS_00009611.p1
OG0000007	NEMVE08145	TCONS_00029143.p1
OG0000007	NEMVE06210	TCONS_00052518.p1
OG0000007	NEMVE02350, NEMVE21807	TCONS_00052512.p1
OG0000007	NEMVE09701, NEMVE03333	TCONS_00026068.p1
OG0000007	NEMVE03816	TCONS_00051149.p1
OG0000007	NEMVE16064	TCONS_00007744.p1, TCONS_00008968.p1, TCONS_00008967.p1
OG0000007	NEMVE02349	TCONS_00029831.p1
OG0000007	NEMVE01414, NEMVE06618	TCONS_00053632.p1
OG0000007	NEMVE09853	TCONS_00029830.p1
OG0000007	NEMVE09467	TCONS_00055417.p1
OG0000007	NEMVE03824	TCONS_00011336.p1
OG0000007	NEMVE09051	TCONS_00014249.p1
OG0000007	NEMVE03714	TCONS_00012754.p1
OG0000007	NEMVE10605	TCONS_00025375.p1
OG0000007	NEMVE09289	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	NEMVE05677	TCONS_00009689.p1
OG0000008	NEMVE06079, NEMVE05558	TCONS_00054315.p1
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	TCONS_00016587.p1, TCONS_00005048.p1
OG0000008	NEMVE02162	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
