Orthogroup	NEMVE	STRPU_ok
OG0000000	NEMVE15388	STRPU_10146, STRPU_10084
OG0000000	NEMVE01834	STRPU_22262
OG0000000	NEMVE09627, NEMVE02365	STRPU_10304
OG0000000	NEMVE04822	STRPU_10010
OG0000000	NEMVE05015	STRPU_10083, STRPU_10145
OG0000000	NEMVE11246	STRPU_10015
OG0000000	NEMVE02875	STRPU_10016
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	STRPU_02929
OG0000000	NEMVE03328, NEMVE00592, NEMVE06804	STRPU_19906
OG0000000	NEMVE07200	STRPU_23673, STRPU_23648
OG0000000	NEMVE02364	STRPU_09982, STRPU_09961
OG0000000	NEMVE04732, NEMVE07124	STRPU_20780
OG0000000	NEMVE03387	STRPU_23557
OG0000000	NEMVE06009	STRPU_05654
OG0000000	NEMVE04803	STRPU_23204
OG0000000	NEMVE07193, NEMVE16932, NEMVE07210	STRPU_23203
OG0000000	NEMVE05986	STRPU_05390
OG0000000	NEMVE15281	STRPU_23197, STRPU_23198, STRPU_23196, STRPU_23194, STRPU_23195
OG0000000	NEMVE07211	STRPU_23756
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	STRPU_22253
OG0000000	NEMVE05017	STRPU_09852
OG0000000	NEMVE15350	STRPU_05830
OG0000000	NEMVE07203	STRPU_23207
OG0000000	NEMVE17362	STRPU_10189
OG0000000	NEMVE17363	STRPU_09890
OG0000000	NEMVE10113	STRPU_21017
OG0000000	NEMVE14999, NEMVE10106	STRPU_21014
OG0000001	NEMVE05354	STRPU_14334
OG0000001	NEMVE01893, NEMVE23127	STRPU_05173, STRPU_05094
OG0000001	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781, NEMVE11138	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	STRPU_21867, STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991, STRPU_25851, STRPU_22729, STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083, STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447, STRPU_06289, STRPU_06334, STRPU_25048, STRPU_20582, STRPU_20566, STRPU_00361, STRPU_18021, STRPU_18027
