Orthogroup	NEMVE	HELIO_ok
OG0000000	NEMVE15388	HELIO_01999
OG0000000	NEMVE09627, NEMVE02365	HELIO_08880
OG0000000	NEMVE04822	HELIO_10837
OG0000000	NEMVE05015	HELIO_06752
OG0000000	NEMVE11246	HELIO_10666
OG0000000	NEMVE02875	HELIO_00795
OG0000000	NEMVE07200	HELIO_09005
OG0000000	NEMVE02364	HELIO_02157
OG0000000	NEMVE04732, NEMVE07124	HELIO_11687
OG0000000	NEMVE05986	HELIO_04988
OG0000000	NEMVE15281	HELIO_00700
OG0000000	NEMVE07211	HELIO_00534
OG0000000	NEMVE05017	HELIO_08573
OG0000000	NEMVE07203	HELIO_06829
OG0000000	NEMVE10113	HELIO_00816
OG0000000	NEMVE14999, NEMVE10106	HELIO_04090
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	HELIO_00196, HELIO_00018, HELIO_00128
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	HELIO_06940, HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237, HELIO_03388, HELIO_11987, HELIO_05342, HELIO_01248, HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641, HELIO_06844, HELIO_12021, HELIO_07207
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	HELIO_02559
OG0000003	NEMVE08017	HELIO_06998, HELIO_07220
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	HELIO_07172
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	HELIO_07314
OG0000003	NEMVE02445	HELIO_06573
OG0000003	NEMVE03485, NEMVE03052, NEMVE05193	HELIO_06283
OG0000003	NEMVE03309	HELIO_04687
OG0000003	NEMVE02981, NEMVE00038	HELIO_07587
OG0000003	NEMVE19925	HELIO_07060, HELIO_05284
OG0000003	NEMVE00057, NEMVE03335	HELIO_06683, HELIO_04847
OG0000003	NEMVE03053, NEMVE00079, NEMVE05207	HELIO_01179
OG0000004	NEMVE07999	HELIO_07338
OG0000004	NEMVE08317	HELIO_06422
OG0000004	NEMVE19262	HELIO_08003
OG0000004	NEMVE17481	HELIO_11715
OG0000004	NEMVE10715, NEMVE21151	HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602
OG0000004	NEMVE02866, NEMVE15796, NEMVE12892	HELIO_12155
OG0000005	NEMVE05730	HELIO_00211, HELIO_09686
OG0000006	NEMVE02889	HELIO_00413
OG0000006	NEMVE12700, NEMVE08468	HELIO_09248
OG0000006	NEMVE09176	HELIO_04245
OG0000006	NEMVE21901	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	NEMVE02590	HELIO_06349
OG0000006	NEMVE03392	HELIO_00150
OG0000006	NEMVE16957	HELIO_12770
OG0000006	NEMVE13593	HELIO_10345
OG0000006	NEMVE14647	HELIO_08890
OG0000006	NEMVE04712	HELIO_11381, HELIO_00450
OG0000006	NEMVE13538	HELIO_08227
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	HELIO_06418
OG0000006	NEMVE22273, NEMVE03946	HELIO_00028
OG0000007	NEMVE15003	HELIO_01296
OG0000007	NEMVE14764	HELIO_10106
OG0000007	NEMVE13570	HELIO_00643
OG0000007	NEMVE08145	HELIO_06396
OG0000007	NEMVE06210	HELIO_00352
OG0000007	NEMVE09701, NEMVE03333	HELIO_11362
OG0000007	NEMVE16064	HELIO_04873
OG0000007	NEMVE09467	HELIO_03703
OG0000007	NEMVE03824	HELIO_07978
OG0000007	NEMVE09051	HELIO_03118
OG0000007	NEMVE03714	HELIO_07991
OG0000007	NEMVE10605	HELIO_01456
OG0000007	NEMVE09289	HELIO_04275
OG0000007	NEMVE05677	HELIO_11721
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	HELIO_09201
OG0000008	NEMVE02162	HELIO_07041
OG0000008	NEMVE02218, NEMVE02180	HELIO_05140
OG0000008	NEMVE04749, NEMVE07849	HELIO_07090
OG0000009	NEMVE06521	HELIO_05064, HELIO_06693
OG0000009	NEMVE08980	HELIO_03078
OG0000009	NEMVE09219	HELIO_04671, HELIO_06781
OG0000009	NEMVE02901	HELIO_07702, HELIO_07076, HELIO_12655, HELIO_11928, HELIO_07717, HELIO_06614, HELIO_07493, HELIO_07413, HELIO_05505, HELIO_04932
OG0000009	NEMVE03675	HELIO_06297
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	HELIO_07073
OG0000011	NEMVE10152	HELIO_07134, HELIO_05491, HELIO_06444, HELIO_06546, HELIO_09981, HELIO_04800, HELIO_01844, HELIO_04250, HELIO_06749, HELIO_07221, HELIO_06242, HELIO_04650
OG0000011	NEMVE11104	HELIO_01241, HELIO_00959, HELIO_05340, HELIO_03542, HELIO_04969, HELIO_03053, HELIO_03054, HELIO_06328, HELIO_05201, HELIO_07608, HELIO_07482, HELIO_06122, HELIO_07422
OG0000011	NEMVE15531	HELIO_09607
OG0000012	NEMVE09268, NEMVE05547	HELIO_06831
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	HELIO_12068
OG0000014	NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088	HELIO_07123
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	HELIO_09049
OG0000016	NEMVE12514, NEMVE12424, NEMVE01060	HELIO_04641
OG0000016	NEMVE10959	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	NEMVE05675	HELIO_04647
OG0000017	NEMVE10140	HELIO_09340
OG0000017	NEMVE02741	HELIO_04627
OG0000017	NEMVE21656	HELIO_06230, HELIO_06928
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	HELIO_04933, HELIO_07129, HELIO_03953, HELIO_10213, HELIO_05211, HELIO_06568
OG0000018	NEMVE07261	HELIO_01806, HELIO_11953, HELIO_04805, HELIO_09132, HELIO_05854, HELIO_05254, HELIO_06191, HELIO_05532, HELIO_03926, HELIO_06035, HELIO_08639, HELIO_07392, HELIO_03838, HELIO_04112, HELIO_05318, HELIO_05992, HELIO_04247, HELIO_06652, HELIO_06972, HELIO_04613, HELIO_04249, HELIO_06631, HELIO_07465, HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946
OG0000018	NEMVE17996	HELIO_07028, HELIO_04549, HELIO_03495, HELIO_05613
OG0000018	NEMVE12742, NEMVE12416	HELIO_05389
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	HELIO_04729, HELIO_05273
OG0000019	NEMVE10214	HELIO_07628, HELIO_05932, HELIO_06034, HELIO_06893
OG0000019	NEMVE10489	HELIO_11234
OG0000019	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708	HELIO_00711, HELIO_04793, HELIO_04680
OG0000020	NEMVE05671	HELIO_01087
OG0000020	NEMVE21971	HELIO_03282
OG0000020	NEMVE18721	HELIO_03892
OG0000020	NEMVE14242	HELIO_08119
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	HELIO_03039, HELIO_08325, HELIO_10764, HELIO_10811
OG0000020	NEMVE05506	HELIO_12285
OG0000020	NEMVE08770, NEMVE22771	HELIO_05828
OG0000020	NEMVE13577	HELIO_10575
OG0000020	NEMVE13307	HELIO_05888
OG0000020	NEMVE21746	HELIO_08365
OG0000020	NEMVE13092	HELIO_01918
OG0000020	NEMVE15151	HELIO_11794
OG0000021	NEMVE01551, NEMVE13918	HELIO_00817
OG0000021	NEMVE25647	HELIO_05564
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	HELIO_07436
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	HELIO_09128
OG0000021	NEMVE04837	HELIO_01018, HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603, HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	NEMVE01882	HELIO_07781
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	NEMVE13647	HELIO_07887, HELIO_10788, HELIO_06647
OG0000024	NEMVE05736, NEMVE12848	HELIO_06046, HELIO_05379, HELIO_07449, HELIO_07047, HELIO_00822, HELIO_05196, HELIO_10137, HELIO_05285, HELIO_06374, HELIO_10426, HELIO_03946, HELIO_07378, HELIO_06208, HELIO_06845, HELIO_06837, HELIO_05358, HELIO_03839, HELIO_05987
OG0000024	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039	HELIO_07972, HELIO_05347, HELIO_02782
OG0000024	NEMVE19722	HELIO_10427, HELIO_10803, HELIO_04927, HELIO_04554, HELIO_07194, HELIO_07601, HELIO_04022
OG0000025	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751	HELIO_06624, HELIO_00097
OG0000025	NEMVE18322	HELIO_06776
OG0000025	NEMVE00738	HELIO_01616
OG0000025	NEMVE11507, NEMVE09420	HELIO_06817
OG0000025	NEMVE02929	HELIO_05333
OG0000025	NEMVE03316	HELIO_05243, HELIO_04943, HELIO_07532, HELIO_06878, HELIO_07309, HELIO_06949, HELIO_05701, HELIO_05635, HELIO_06741
OG0000026	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	HELIO_04505
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	HELIO_02455, HELIO_02456, HELIO_04291, HELIO_07880, HELIO_08186, HELIO_04887, HELIO_06026, HELIO_07228, HELIO_05233, HELIO_07068, HELIO_05709
OG0000028	NEMVE06026, NEMVE05984	HELIO_06269
OG0000028	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426	HELIO_12146
OG0000029	NEMVE03602, NEMVE01722, NEMVE08343	HELIO_10546, HELIO_00115
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	HELIO_05447
OG0000030	NEMVE06265	HELIO_06628
OG0000031	NEMVE00311, NEMVE00632, NEMVE02249, NEMVE08151	HELIO_00637
OG0000031	NEMVE01854	HELIO_00475
OG0000031	NEMVE06981	HELIO_11237
OG0000031	NEMVE01806	HELIO_10166
OG0000031	NEMVE01412	HELIO_00951
OG0000031	NEMVE02343	HELIO_11573
OG0000031	NEMVE07820	HELIO_00638
OG0000031	NEMVE12067	HELIO_00007
OG0000031	NEMVE21885	HELIO_08452
OG0000031	NEMVE22486	HELIO_02162
OG0000032	NEMVE03085	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198
OG0000033	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391	HELIO_05494, HELIO_08641
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	HELIO_05274, HELIO_05169, HELIO_06635, HELIO_07393
OG0000033	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301	HELIO_06447
OG0000034	NEMVE16906, NEMVE16907	HELIO_11044
OG0000034	NEMVE07311, NEMVE07285	HELIO_03040
OG0000034	NEMVE10927	HELIO_10910
OG0000034	NEMVE10961, NEMVE24294	HELIO_05981
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	HELIO_12487
OG0000034	NEMVE05344	HELIO_11629
OG0000035	NEMVE23841	HELIO_04621
OG0000035	NEMVE22676	HELIO_12501
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	HELIO_03534
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	HELIO_07811, HELIO_06366
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	HELIO_02352, HELIO_11421, HELIO_04744
OG0000036	NEMVE05905, NEMVE18359, NEMVE11471, NEMVE02197	HELIO_00078
OG0000037	NEMVE00865, NEMVE01113	HELIO_04596, HELIO_02436, HELIO_07508, HELIO_06312, HELIO_10715, HELIO_01421
OG0000037	NEMVE10401	HELIO_01377
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	HELIO_01180
OG0000043	NEMVE14296	HELIO_00563
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	HELIO_08837, HELIO_02529
OG0000045	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847	HELIO_01585
OG0000046	NEMVE08905, NEMVE15252	HELIO_08475
