Orthogroup	NEMVE	AMPFI_ok
OG0000000	NEMVE15388	AMPFI_12098
OG0000000	NEMVE01834	AMPFI_16114
OG0000000	NEMVE09627, NEMVE02365	AMPFI_11894
OG0000000	NEMVE05015	AMPFI_12336
OG0000000	NEMVE02875	AMPFI_16025
OG0000000	NEMVE02364	AMPFI_02168
OG0000000	NEMVE04732, NEMVE07124, NEMVE03466, NEMVE04857	AMPFI_10716
OG0000000	NEMVE05986	AMPFI_19781
OG0000000	NEMVE15281	AMPFI_22359
OG0000000	NEMVE05017	AMPFI_12478
OG0000000	NEMVE15350	AMPFI_20876
OG0000000	NEMVE17362	AMPFI_21326
OG0000000	NEMVE10113	AMPFI_01589
OG0000000	NEMVE14999, NEMVE10106	AMPFI_10655
OG0000001	NEMVE08550	AMPFI_17506, AMPFI_20898
OG0000001	NEMVE07386	AMPFI_19192
OG0000001	NEMVE09207	AMPFI_06127, AMPFI_11237, AMPFI_13782
OG0000001	NEMVE01893, NEMVE23127	AMPFI_23521
OG0000001	NEMVE17781	AMPFI_19631
OG0000001	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781	AMPFI_23234
OG0000001	NEMVE05643, NEMVE12281	AMPFI_25597, AMPFI_23362, AMPFI_20167
OG0000001	NEMVE00693, NEMVE09134	AMPFI_08190, AMPFI_16435
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	AMPFI_07438, AMPFI_25876, AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	AMPFI_23102, AMPFI_05274, AMPFI_05275, AMPFI_21942, AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979, AMPFI_18855, AMPFI_10028, AMPFI_14105, AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336, AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152
OG0000003	NEMVE24647, NEMVE12390	AMPFI_00352
OG0000003	NEMVE08653, NEMVE10994, NEMVE03429	AMPFI_07815
OG0000003	NEMVE02987, NEMVE01808	AMPFI_25889
OG0000003	NEMVE12557	AMPFI_17434
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	AMPFI_10369
OG0000003	NEMVE08017	AMPFI_18906
OG0000003	NEMVE09862, NEMVE10187, NEMVE02664	AMPFI_11277
OG0000003	NEMVE03021	AMPFI_20373
OG0000003	NEMVE11632	AMPFI_16587, AMPFI_13138
OG0000003	NEMVE02445	AMPFI_17593, AMPFI_10595
OG0000003	NEMVE03485, NEMVE03052, NEMVE05193	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052	AMPFI_14808
OG0000003	NEMVE10059	AMPFI_19265
OG0000003	NEMVE03309	AMPFI_09603, AMPFI_21929, AMPFI_23519
OG0000003	NEMVE10052, NEMVE09871	AMPFI_01423, AMPFI_22677
OG0000003	NEMVE02981	AMPFI_14216
OG0000003	NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940	AMPFI_11534
OG0000003	NEMVE07489	AMPFI_16981
OG0000003	NEMVE11653	AMPFI_14748, AMPFI_23185
OG0000003	NEMVE00057, NEMVE03335	AMPFI_18391, AMPFI_13137
OG0000003	NEMVE03053, NEMVE00079, NEMVE05207	AMPFI_11583
OG0000003	NEMVE13177	AMPFI_15510, AMPFI_04899
OG0000003	NEMVE11459, NEMVE11042, NEMVE12156, NEMVE11117	AMPFI_09604
OG0000004	NEMVE07999	AMPFI_20212, AMPFI_25512, AMPFI_20381, AMPFI_24423
OG0000004	NEMVE08303, NEMVE11650	AMPFI_23148
OG0000004	NEMVE08637	AMPFI_09184
OG0000004	NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801	AMPFI_25238
OG0000004	NEMVE17481, NEMVE10715, NEMVE21151	AMPFI_11893
OG0000004	NEMVE02866, NEMVE15796, NEMVE12892	AMPFI_01544, AMPFI_02173, AMPFI_17454, AMPFI_17455
OG0000004	NEMVE11454	AMPFI_08501, AMPFI_13880
OG0000004	NEMVE02581	AMPFI_22025, AMPFI_01921
OG0000004	NEMVE02378	AMPFI_04189, AMPFI_03317
OG0000004	NEMVE12342, NEMVE08794, NEMVE21918	AMPFI_23786
OG0000004	NEMVE10612	AMPFI_16756, AMPFI_00472
