Orthogroup	NEMVE	OWEFU
OG0000000	NEMVE15388	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	NEMVE01834	OFUSG13305.1.p1
OG0000000	NEMVE09627, NEMVE02365	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	NEMVE04822	OFUSG06560.1.p1
OG0000000	NEMVE05015	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	NEMVE11246	OFUSG06970.1.p1
OG0000000	NEMVE02875	OFUSG05968.1.p1
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	OFUSG08786.1.p1
OG0000000	NEMVE07200	OFUSG17443.1.p1
OG0000000	NEMVE02364	OFUSG19303.1.p1
OG0000000	NEMVE04732, NEMVE07124	OFUSG12013.1.p1
OG0000000	NEMVE03387	OFUSG17426.1.p1
OG0000000	NEMVE06009	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	NEMVE05929	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	NEMVE05986	OFUSG03302.1.p1
OG0000000	NEMVE15281	OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1, OFUSG13335.1.p1, OFUSG13336.1.p1
OG0000000	NEMVE07211	OFUSG17003.1.p1
OG0000000	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161	OFUSG21200.1.p1
OG0000000	NEMVE05017	OFUSG05672.1.p1
OG0000000	NEMVE15350	OFUSG03177.1.p1, OFUSG13341.1.p1
OG0000000	NEMVE07203	OFUSG12947.1.p1
OG0000000	NEMVE17362	OFUSG05775.1.p1
OG0000000	NEMVE17363	OFUSG06109.1.p1
OG0000000	NEMVE10113	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	NEMVE14999, NEMVE10106	OFUSG21806.1.p1
OG0000001	NEMVE05354	OFUSG26260.1.p1, OFUSG08771.1.p1
OG0000001	NEMVE01893, NEMVE23127	OFUSG08662.1.p1
OG0000001	NEMVE03657	OFUSG17419.1.p1
OG0000001	NEMVE05041, NEMVE09133	OFUSG22334.1.p1
OG0000001	NEMVE04563	OFUSG13891.1.p1
OG0000001	NEMVE17781	OFUSG01600.1.p1, OFUSG03605.1.p1
OG0000001	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781	OFUSG17423.1.p1
OG0000001	NEMVE00693, NEMVE09134	OFUSG06369.1.p1, OFUSG09030.1.p1
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	OFUSG00560.1.p1, OFUSG12055.1.p1, OFUSG02702.3.p1, OFUSG02702.1.p1, OFUSG02702.2.p1, OFUSG02052.1.p1, OFUSG17561.1.p1, OFUSG15331.1.p1, OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1, OFUSG09076.1.p1, OFUSG22946.2.p1, OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1
OG0000003	NEMVE07228, NEMVE07229	OFUSG23316.1.p1, OFUSG23314.1.p1
OG0000003	NEMVE03233, NEMVE08502	OFUSG26533.1.p1
OG0000003	NEMVE10994	OFUSG26305.1.p1
OG0000003	NEMVE03429	OFUSG17555.1.p1
OG0000003	NEMVE12557	OFUSG19225.1.p1
OG0000003	NEMVE08017	OFUSG16264.1.p1
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	OFUSG16265.1.p1, OFUSG21683.1.p1
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	OFUSG26297.1.p1
