00_Uf_0hpf	SRR531952
01_Cleavage_10hpf	SRR531949
02_Hatched_Blastula_18hpf	SRR531860
03_Mesenchyme_Blastula_24hpf_01	SRR531853
03_Mesenchyme_Blastula_24hpf_02	SRR531948
04_Early_Gastrula_30hpf	SRR532074
05_Mid_Gastrula_40hpf	SRR531956
06_Late_Gastrula_48hpf	SRR531964
07_Prism_56hpf	SRR531954
08_Late_Prism_64hpf	SRR531996
09_Pluteus_72hpf	SRR531950
10_Larva_four-arm_stage	SRR532151
11_Larva_vestibular_invagination_stage	SRR532055
12_Larva_pentagonal_disc_stage	SRR532143
13_Larva_tube-foot_protrusion_stage	SRR533746
14_Post-metamorphosis	SRR531957
15_Young_juvenile	SRR531843
