Orthogroup	HUMAN	SACKO_ok
OG0000000	HUMAN06514, HUMAN08318	SACKO_11053
OG0000000	HUMAN22097, HUMAN03752	SACKO_12749
OG0000000	HUMAN27271, HUMAN18431	SACKO_19677
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	SACKO_25619
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	SACKO_25616
OG0000000	HUMAN03743, HUMAN22196	SACKO_05553
OG0000000	HUMAN03805, HUMAN22626	SACKO_16683
OG0000000	HUMAN29337, HUMAN01254	SACKO_08208, SACKO_08197
OG0000000	HUMAN28889, HUMAN05731	SACKO_32730, SACKO_17792
OG0000000	HUMAN05644	SACKO_19489
OG0000000	HUMAN03433	SACKO_31887
OG0000000	HUMAN17907, HUMAN26096	SACKO_24012
OG0000000	HUMAN07512, HUMAN22413	SACKO_11590
OG0000000	HUMAN12896, HUMAN26097	SACKO_24040
OG0000000	HUMAN07513	SACKO_11588
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	SACKO_24002
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	SACKO_24024
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	SACKO_24025
OG0000000	HUMAN27325, HUMAN27326	SACKO_26673
OG0000000	HUMAN12743, HUMAN26016	SACKO_06485
OG0000000	HUMAN22154, HUMAN24253	SACKO_31872
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	SACKO_24017
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	SACKO_11599
OG0000000	HUMAN26107, HUMAN17898	SACKO_22872
OG0000000	HUMAN22230	SACKO_31901
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	SACKO_31899
OG0000000	HUMAN18756	SACKO_11978
OG0000000	HUMAN08319	SACKO_12011
OG0000001	HUMAN01493, HUMAN01492	SACKO_21170
OG0000001	HUMAN10622	SACKO_30873, SACKO_25200, SACKO_18839
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	SACKO_04743, SACKO_04719, SACKO_23106
OG0000001	HUMAN10621, HUMAN10623	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	HUMAN22770	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	HUMAN04207, HUMAN20269	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	HUMAN01080	SACKO_18684
OG0000002	HUMAN20270	SACKO_21130, SACKO_13458
OG0000003	HUMAN02915	SACKO_32071
OG0000005	HUMAN23763, HUMAN23764	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813	SACKO_22081, SACKO_22108, SACKO_22102
OG0000006	HUMAN17033	SACKO_15269
OG0000006	HUMAN20053	SACKO_21129
OG0000006	HUMAN21060	SACKO_21953
OG0000006	HUMAN00944	SACKO_11503
OG0000006	HUMAN22351, HUMAN05133	SACKO_02616
OG0000006	HUMAN02118, HUMAN29294	SACKO_13650
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	SACKO_23250
OG0000006	HUMAN25905	SACKO_15817
OG0000006	HUMAN23524	SACKO_32444
OG0000006	HUMAN03111	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	HUMAN14017	SACKO_32500
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	SACKO_06429
OG0000006	HUMAN08856, HUMAN19716	SACKO_32477
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	SACKO_20803
OG0000006	HUMAN24331	SACKO_32388
OG0000007	HUMAN24418, HUMAN11538	SACKO_33112
OG0000007	HUMAN09570, HUMAN28803	SACKO_16486
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	SACKO_25751
