Orthogroup	HUMAN	ORYLA
OG0000000	HUMAN03752	ORYLA04928
OG0000000	HUMAN03811	ORYLA02333
OG0000000	HUMAN27271	ORYLA07037
OG0000000	HUMAN18431	ORYLA08538
OG0000000	HUMAN03692	ORYLA05297
OG0000000	HUMAN17114	ORYLA07510
OG0000000	HUMAN03688	ORYLA04677
OG0000000	HUMAN03744	ORYLA04925
OG0000000	HUMAN03743	ORYLA04924
OG0000000	HUMAN22196	ORYLA08113
OG0000000	HUMAN03805, HUMAN22626	ORYLA18170
OG0000000	HUMAN29337	ORYLA02858
OG0000000	HUMAN01254	ORYLA12900
OG0000000	HUMAN05731	ORYLA03677
OG0000000	HUMAN02527	ORYLA11446
OG0000000	HUMAN26096	ORYLA01821
OG0000000	HUMAN07512	ORYLA04170
OG0000000	HUMAN22413	ORYLA18990
OG0000000	HUMAN12896	ORYLA17164
OG0000000	HUMAN26097	ORYLA01822
OG0000000	HUMAN07513	ORYLA09108
OG0000000	HUMAN12904	ORYLA17159
OG0000000	HUMAN06517	ORYLA15774
OG0000000	HUMAN12901	ORYLA08249
OG0000000	HUMAN26101	ORYLA17160
OG0000000	HUMAN06518	ORYLA15776
OG0000000	HUMAN12899	ORYLA17162
OG0000000	HUMAN12900	ORYLA08248
OG0000000	HUMAN06519	ORYLA15775
OG0000000	HUMAN27325	ORYLA09198
OG0000000	HUMAN27326	ORYLA10052
OG0000000	HUMAN12743	ORYLA08225
OG0000000	HUMAN26016	ORYLA06162
OG0000000	HUMAN22154	ORYLA14471
OG0000000	HUMAN08317	ORYLA10061
OG0000000	HUMAN18755	ORYLA11798
OG0000000	HUMAN06516	ORYLA15773
OG0000000	HUMAN26103, HUMAN17903	ORYLA09896
OG0000000	HUMAN12905	ORYLA17158
OG0000000	HUMAN26104	ORYLA01827, ORYLA05617
OG0000000	HUMAN30050	ORYLA01029
OG0000000	HUMAN24067, HUMAN07515	ORYLA04459
OG0000000	HUMAN26107	ORYLA01830
OG0000000	HUMAN17898	ORYLA09892
OG0000000	HUMAN27579	ORYLA17729
OG0000000	HUMAN22230	ORYLA00932
OG0000000	HUMAN03523	ORYLA05045
OG0000000	HUMAN24243	ORYLA01322
OG0000000	HUMAN18756	ORYLA10603
OG0000000	HUMAN08319	ORYLA10060
OG0000001	HUMAN10622	ORYLA01580
OG0000001	HUMAN14514, HUMAN14515	ORYLA00821, ORYLA00820, ORYLA00819
OG0000001	HUMAN14863	ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576
OG0000002	HUMAN22770	ORYLA00438
OG0000002	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588	ORYLA03051
OG0000002	HUMAN04207	ORYLA12350
OG0000002	HUMAN01080	ORYLA13465
OG0000002	HUMAN20270	ORYLA03052, ORYLA16692
OG0000004	HUMAN13470	ORYLA16672
OG0000004	HUMAN26466	ORYLA11724, ORYLA11723, ORYLA15657
OG0000005	HUMAN23763, HUMAN23764	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	HUMAN25098	ORYLA19606, ORYLA19605, ORYLA00089
OG0000005	HUMAN04760, HUMAN04761	ORYLA04143
OG0000005	HUMAN20683	ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000005	HUMAN25469	ORYLA11550
OG0000005	HUMAN01465	ORYLA04733
OG0000006	HUMAN00944	ORYLA13568, ORYLA06565
OG0000006	HUMAN22351	ORYLA20407
OG0000006	HUMAN05133	ORYLA03595
OG0000006	HUMAN21718	ORYLA03421
OG0000006	HUMAN29537	ORYLA09483
OG0000006	HUMAN02118	ORYLA13382
OG0000006	HUMAN29691	ORYLA09038
OG0000006	HUMAN01388	ORYLA15680
OG0000006	HUMAN06884	ORYLA07217
OG0000006	HUMAN04380	ORYLA12345, ORYLA14784
OG0000006	HUMAN08640	ORYLA10511, ORYLA11827
OG0000006	HUMAN25905	ORYLA16517
OG0000006	HUMAN23524	ORYLA17394
OG0000006	HUMAN03111	ORYLA05082
OG0000006	HUMAN14017	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792	ORYLA20473
OG0000006	HUMAN03581	ORYLA04673
OG0000006	HUMAN23822	ORYLA03873
OG0000006	HUMAN08442	ORYLA10460
OG0000006	HUMAN17032	ORYLA00215, ORYLA04762
OG0000006	HUMAN24331	ORYLA04691
OG0000006	HUMAN12248	ORYLA03542
OG0000007	HUMAN24418	ORYLA13334
OG0000007	HUMAN09570	ORYLA14937
OG0000007	HUMAN28803	ORYLA17526
OG0000007	HUMAN15831	ORYLA03070
OG0000007	HUMAN18759	ORYLA10601
OG0000007	HUMAN08323	ORYLA19360
OG0000007	HUMAN01097	ORYLA13245
OG0000007	HUMAN23486, HUMAN00971	ORYLA02416, ORYLA13595
OG0000007	HUMAN28936	ORYLA00451
OG0000007	HUMAN17278	ORYLA10719
OG0000007	HUMAN21567	ORYLA18472
OG0000007	HUMAN11539	ORYLA15197
OG0000007	HUMAN28408	ORYLA09030
OG0000007	HUMAN24417	ORYLA13335
OG0000007	HUMAN11533	ORYLA12464
OG0000007	HUMAN12258	ORYLA03471
OG0000007	HUMAN07103	ORYLA17615
OG0000007	HUMAN08774	ORYLA11394
OG0000007	HUMAN16949	ORYLA05164
OG0000007	HUMAN25936	ORYLA00561
OG0000007	HUMAN13634	ORYLA16283, ORYLA08278
OG0000007	HUMAN13395	ORYLA16317
OG0000007	HUMAN00819	ORYLA13871
OG0000007	HUMAN05935	ORYLA05828
OG0000007	HUMAN08248	ORYLA10158
OG0000008	HUMAN14538	ORYLA06372
OG0000008	HUMAN01095	ORYLA06647, ORYLA13248
OG0000008	HUMAN12190	ORYLA00582
OG0000008	HUMAN29311, HUMAN29312	ORYLA02437
OG0000008	HUMAN14600	ORYLA18857
OG0000008	HUMAN26474	ORYLA11025
OG0000008	HUMAN00243	ORYLA15397
OG0000008	HUMAN27485	ORYLA01388
OG0000010	HUMAN06424	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017
OG0000010	HUMAN00318, HUMAN00317	ORYLA17718
OG0000010	HUMAN00316	ORYLA15599, ORYLA15600
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411	ORYLA12063
OG0000010	HUMAN11268	ORYLA05561
OG0000010	HUMAN18382	ORYLA06892, ORYLA19685, ORYLA19686
OG0000010	HUMAN14278	ORYLA09104, ORYLA13024
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	HUMAN06405, HUMAN06406	ORYLA15708
OG0000010	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	ORYLA20398
OG0000011	HUMAN08916	ORYLA04501
OG0000012	HUMAN11057, HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198, HUMAN11055, HUMAN11056	ORYLA15107, ORYLA15108
OG0000012	HUMAN11190	ORYLA15199
OG0000013	HUMAN22810	ORYLA00386
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415	ORYLA20078, ORYLA06697, ORYLA06696
OG0000013	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	ORYLA19175, ORYLA17235
OG0000014	HUMAN11875	ORYLA07442
OG0000014	HUMAN11876	ORYLA17297, ORYLA15314
OG0000014	HUMAN01436	ORYLA13996, ORYLA16200
OG0000014	HUMAN06713	ORYLA10845
OG0000014	HUMAN13605, HUMAN13607	ORYLA17181
OG0000014	HUMAN13308, HUMAN13309	ORYLA08263
OG0000014	HUMAN03416	ORYLA04835, ORYLA19923
OG0000014	HUMAN01394	ORYLA15682
OG0000014	HUMAN18336, HUMAN03159	ORYLA04907
OG0000014	HUMAN25476	ORYLA11600
OG0000014	HUMAN30053	ORYLA01088
OG0000014	HUMAN13227	ORYLA07812, ORYLA17200
OG0000015	HUMAN22985	ORYLA00867, ORYLA20430
OG0000015	HUMAN24211	ORYLA04638
OG0000015	HUMAN24177	ORYLA19973
OG0000015	HUMAN22373	ORYLA08714
OG0000015	HUMAN09170	ORYLA04332, ORYLA10753
OG0000015	HUMAN25367	ORYLA11923, ORYLA10179
OG0000015	HUMAN21195	ORYLA08817, ORYLA04154
OG0000015	HUMAN24184	ORYLA03899
OG0000015	HUMAN22368	ORYLA10757
OG0000015	HUMAN09175	ORYLA08711
OG0000015	HUMAN22369	ORYLA01414
OG0000015	HUMAN24183	ORYLA19970
OG0000015	HUMAN30472	ORYLA04333
OG0000015	HUMAN09173	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513
OG0000015	HUMAN22372	ORYLA01413
OG0000015	HUMAN24180, HUMAN24179, HUMAN24178	ORYLA19971
OG0000015	HUMAN29611	ORYLA09940, ORYLA09941
OG0000015	HUMAN30168	ORYLA00953
OG0000015	HUMAN23062	ORYLA18852
OG0000015	HUMAN24113	ORYLA01514
OG0000016	HUMAN11007, HUMAN11006	ORYLA12720
OG0000016	HUMAN10581	ORYLA17171
OG0000016	HUMAN10583	ORYLA00784
OG0000016	HUMAN12987	ORYLA19764
OG0000016	HUMAN03528	ORYLA05054
OG0000016	HUMAN07767	ORYLA09921
OG0000016	HUMAN25103	ORYLA00030
OG0000016	HUMAN25104	ORYLA08665
OG0000016	HUMAN06120	ORYLA11245
OG0000016	HUMAN04223	ORYLA15380
OG0000019	HUMAN06384	ORYLA07040
OG0000019	HUMAN12385	ORYLA16411
OG0000019	HUMAN18277	ORYLA20089, ORYLA20088
OG0000020	HUMAN26158	ORYLA09327
OG0000020	HUMAN12659	ORYLA12531
OG0000020	HUMAN26061	ORYLA15493
OG0000020	HUMAN08344	ORYLA10559
OG0000020	HUMAN00926	ORYLA06663
OG0000020	HUMAN02350, HUMAN02349	ORYLA16080
OG0000020	HUMAN28205	ORYLA02155, ORYLA05512
OG0000020	HUMAN16669	ORYLA11359
OG0000020	HUMAN00163	ORYLA19795
OG0000020	HUMAN17840	ORYLA09855
OG0000020	HUMAN05209, HUMAN21854	ORYLA06900
OG0000020	HUMAN21853	ORYLA09950
OG0000020	HUMAN02145	ORYLA06780
OG0000020	HUMAN30100	ORYLA01097
OG0000020	HUMAN07717, HUMAN22328	ORYLA00349
OG0000020	HUMAN00010	ORYLA15647
OG0000020	HUMAN23847	ORYLA00902
OG0000020	HUMAN23024	ORYLA00505
OG0000020	HUMAN22639	ORYLA02546
OG0000020	HUMAN20816	ORYLA06519
OG0000021	HUMAN20500	ORYLA13904, ORYLA15936
OG0000021	HUMAN30680, HUMAN30504	ORYLA20207
OG0000021	HUMAN20539	ORYLA15878, ORYLA14141
OG0000021	HUMAN05766	ORYLA10930, ORYLA14683
OG0000021	HUMAN20499	ORYLA13905
OG0000021	HUMAN11054	ORYLA12641
OG0000021	HUMAN23166	ORYLA05479
OG0000021	HUMAN12331	ORYLA03698
OG0000021	HUMAN04273	ORYLA12092
OG0000021	HUMAN30251	ORYLA14389
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	ORYLA06753
OG0000021	HUMAN24068	ORYLA04245
OG0000023	HUMAN19878, HUMAN19879	ORYLA02861, ORYLA18687
OG0000023	HUMAN08127, HUMAN08129	ORYLA06733, ORYLA07486
OG0000023	HUMAN11129	ORYLA12741, ORYLA15296
OG0000023	HUMAN18897	ORYLA13800
OG0000023	HUMAN27999	ORYLA07073, ORYLA08963
OG0000023	HUMAN07398	ORYLA02776
OG0000023	HUMAN10368, HUMAN10367	ORYLA01476
OG0000023	HUMAN12427	ORYLA03601
OG0000023	HUMAN06585, HUMAN06584	ORYLA14352, ORYLA16095
OG0000023	HUMAN05394	ORYLA03721
OG0000023	HUMAN05404	ORYLA03720
OG0000023	HUMAN11050	ORYLA12643
OG0000023	HUMAN19103	ORYLA15685
OG0000026	HUMAN07669	ORYLA09539
OG0000027	HUMAN15899, HUMAN15933	ORYLA08306
OG0000027	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463	ORYLA07922
OG0000027	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471	ORYLA15904, ORYLA15903
OG0000027	HUMAN16847	ORYLA04739
OG0000028	HUMAN22344	ORYLA00361
OG0000028	HUMAN03982	ORYLA03205, ORYLA04463
OG0000028	HUMAN01776	ORYLA01107, ORYLA00838, ORYLA05731
OG0000028	HUMAN09895	ORYLA12623
OG0000028	HUMAN09894	ORYLA12624
OG0000028	HUMAN27765	ORYLA00837, ORYLA01106
OG0000028	HUMAN27611	ORYLA11312
OG0000028	HUMAN19281	ORYLA15414
OG0000028	HUMAN27764	ORYLA01105, ORYLA00835
OG0000028	HUMAN17889	ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	HUMAN09193, HUMAN09206	ORYLA20303, ORYLA20302
OG0000029	HUMAN05232, HUMAN14995	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293
OG0000029	HUMAN11203	ORYLA15257
OG0000029	HUMAN18356	ORYLA13110
OG0000029	HUMAN17029	ORYLA04764, ORYLA00213
OG0000029	HUMAN24898	ORYLA15906
OG0000029	HUMAN17820	ORYLA08651, ORYLA09837
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	ORYLA18077
OG0000030	HUMAN01740	ORYLA01628, ORYLA19626
OG0000030	HUMAN28679	ORYLA02922
OG0000030	HUMAN30219	ORYLA07582
OG0000030	HUMAN06064	ORYLA07744, ORYLA16997
OG0000031	HUMAN29956	ORYLA04590
OG0000031	HUMAN17850	ORYLA09861
OG0000031	HUMAN06489	ORYLA13928
OG0000031	HUMAN17883	ORYLA09882
OG0000031	HUMAN26042	ORYLA05598
OG0000031	HUMAN12874	ORYLA18563
OG0000031	HUMAN26043	ORYLA01770
OG0000031	HUMAN09203	ORYLA14932
OG0000031	HUMAN28770	ORYLA17720
OG0000031	HUMAN26979, HUMAN14235	ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971
OG0000031	HUMAN07725	ORYLA04917
OG0000031	HUMAN14922	ORYLA06754, ORYLA07156
OG0000031	HUMAN14786	ORYLA02513
OG0000031	HUMAN22322	ORYLA00346
OG0000031	HUMAN18121	ORYLA09459, ORYLA08614
OG0000031	HUMAN02818, HUMAN02819	ORYLA06390
OG0000032	HUMAN27902	ORYLA09076, ORYLA06417
OG0000032	HUMAN06100	ORYLA14771, ORYLA03482
OG0000032	HUMAN21527	ORYLA12826
OG0000032	HUMAN05202	ORYLA04475, ORYLA04474
OG0000032	HUMAN10072	ORYLA14976, ORYLA12717
OG0000032	HUMAN19258	ORYLA15502
OG0000034	HUMAN10850	ORYLA07927, ORYLA16241
OG0000034	HUMAN11671	ORYLA04579
OG0000034	HUMAN07186	ORYLA02286, ORYLA17781
OG0000034	HUMAN16090	ORYLA16358
OG0000034	HUMAN04116	ORYLA12476, ORYLA15138
OG0000034	HUMAN06217	ORYLA11195
OG0000034	HUMAN01449	ORYLA16147
OG0000034	HUMAN02345	ORYLA14023, ORYLA15996
OG0000034	HUMAN06854	ORYLA11192, ORYLA14993
OG0000034	HUMAN03933	ORYLA14558
OG0000034	HUMAN13891	ORYLA07312
OG0000034	HUMAN04678	ORYLA12339, ORYLA14860
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	ORYLA19697
OG0000034	HUMAN04988	ORYLA14655
OG0000035	HUMAN06576	ORYLA16101
OG0000035	HUMAN09866	ORYLA12588, ORYLA14952
OG0000035	HUMAN06191	ORYLA11104
OG0000035	HUMAN03898	ORYLA14870, ORYLA12119
OG0000035	HUMAN01402	ORYLA18031
OG0000035	HUMAN05812, HUMAN05810	ORYLA15336, ORYLA11216
OG0000035	HUMAN06812	ORYLA11278
OG0000035	HUMAN01460	ORYLA13992
OG0000035	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953	ORYLA14838, ORYLA12754
OG0000035	HUMAN05843, HUMAN05844	ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	HUMAN04381, HUMAN04382	ORYLA14782, ORYLA12073, ORYLA12074
OG0000035	HUMAN04383	ORYLA17117, ORYLA14783
OG0000036	HUMAN08124	ORYLA07477
OG0000036	HUMAN11288	ORYLA12738
OG0000036	HUMAN11555	ORYLA15615, ORYLA15153
OG0000036	HUMAN08152, HUMAN08151	ORYLA07495
OG0000036	HUMAN15233	ORYLA20280, ORYLA12724
OG0000036	HUMAN22872	ORYLA20440
OG0000036	HUMAN15223	ORYLA12571
OG0000037	HUMAN25010, HUMAN25009	ORYLA10680
OG0000037	HUMAN25006	ORYLA05584, ORYLA10681
OG0000037	HUMAN02504	ORYLA11814
OG0000037	HUMAN08759	ORYLA11609, ORYLA10251
OG0000037	HUMAN04817	ORYLA04338, ORYLA01058
OG0000037	HUMAN02659, HUMAN02660	ORYLA05151
OG0000037	HUMAN04897	ORYLA08136
OG0000037	HUMAN15443	ORYLA03090
OG0000037	HUMAN19040	ORYLA15954
OG0000037	HUMAN28273	ORYLA02209
OG0000037	HUMAN16721	ORYLA10771, ORYLA11448
OG0000037	HUMAN03689	ORYLA04725
OG0000038	HUMAN06348	ORYLA04512
OG0000038	HUMAN06344	ORYLA16141
OG0000038	HUMAN18257	ORYLA08393, ORYLA09754
OG0000039	HUMAN02107	ORYLA13584
OG0000039	HUMAN02110	ORYLA13588
OG0000039	HUMAN29023	ORYLA07496
OG0000039	HUMAN13199	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	HUMAN27040, HUMAN27041	ORYLA15343
OG0000040	HUMAN26646, HUMAN26642	ORYLA04846, ORYLA04844
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	HUMAN16072	ORYLA07969
OG0000041	HUMAN04227	ORYLA14839
OG0000041	HUMAN01391	ORYLA15678, ORYLA15677
OG0000041	HUMAN15981	ORYLA16345, ORYLA07970
OG0000041	HUMAN01398	ORYLA13989, ORYLA15806
OG0000041	HUMAN01399	ORYLA13990, ORYLA15807
OG0000041	HUMAN05837	ORYLA14735, ORYLA19535
OG0000041	HUMAN01401	ORYLA15808
OG0000041	HUMAN05836	ORYLA14736, ORYLA19536
OG0000041	HUMAN04298	ORYLA12118
OG0000041	HUMAN19139	ORYLA13695
OG0000041	HUMAN27913	ORYLA09068
OG0000041	HUMAN16617	ORYLA11484
OG0000041	HUMAN16643	ORYLA11472
OG0000041	HUMAN28077	ORYLA05357
OG0000041	HUMAN19052	ORYLA19350
OG0000042	HUMAN21251	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	HUMAN05606	ORYLA04209
OG0000044	HUMAN24292	ORYLA04503
OG0000044	HUMAN22106	ORYLA10718
OG0000044	HUMAN27711	ORYLA02275, ORYLA17868
OG0000044	HUMAN03716, HUMAN03718, HUMAN03717	ORYLA05261
OG0000044	HUMAN24391	ORYLA01286
OG0000044	HUMAN03043	ORYLA05288
OG0000045	HUMAN02932	ORYLA09207
OG0000045	HUMAN29444	ORYLA02935
OG0000045	HUMAN28768	ORYLA02913
OG0000046	HUMAN23116	ORYLA00520
OG0000046	HUMAN22960	ORYLA07200, ORYLA07202, ORYLA07201
OG0000046	HUMAN22324, HUMAN22325, HUMAN22323	ORYLA01168
OG0000048	HUMAN29551	ORYLA15052
OG0000048	HUMAN29550	ORYLA19472
OG0000048	HUMAN12292	ORYLA03737, ORYLA03687
OG0000048	HUMAN08560, HUMAN08561	ORYLA09010, ORYLA09283, ORYLA10119
OG0000048	HUMAN16328	ORYLA08002
OG0000048	HUMAN16644	ORYLA11420
OG0000048	HUMAN11449	ORYLA15054
OG0000049	HUMAN25699	ORYLA11559, ORYLA19044
OG0000049	HUMAN05316	ORYLA04067, ORYLA03584
OG0000049	HUMAN20965	ORYLA13704, ORYLA13828
OG0000049	HUMAN26499	ORYLA15018
OG0000049	HUMAN24353	ORYLA20256, ORYLA14320
OG0000049	HUMAN24922, HUMAN24921	ORYLA15992, ORYLA14028
OG0000049	HUMAN26912	ORYLA14561
OG0000049	HUMAN20433	ORYLA15871
OG0000049	HUMAN26500	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	ORYLA05117
OG0000053	HUMAN01064	ORYLA12857
OG0000054	HUMAN23119	ORYLA00519
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	ORYLA05953
OG0000054	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895	ORYLA08804
OG0000055	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	HUMAN22445	ORYLA07324
OG0000056	HUMAN01195	ORYLA13076
OG0000056	HUMAN14849	ORYLA16605
OG0000056	HUMAN01194	ORYLA13077
OG0000056	HUMAN07396, HUMAN07395	ORYLA17860
OG0000057	HUMAN23569	ORYLA17686
OG0000057	HUMAN10014	ORYLA14639, ORYLA12170
OG0000057	HUMAN29650	ORYLA13554, ORYLA12219
OG0000058	HUMAN23378	ORYLA18104
OG0000058	HUMAN02623	ORYLA11895, ORYLA12524
OG0000058	HUMAN17157, HUMAN03406	ORYLA19070
OG0000058	HUMAN13532	ORYLA00576
OG0000058	HUMAN25949	ORYLA16972
OG0000059	HUMAN30238	ORYLA07253
OG0000059	HUMAN07577	ORYLA03181, ORYLA04042
OG0000059	HUMAN21611	ORYLA09176
OG0000059	HUMAN23845	ORYLA01146
OG0000060	HUMAN25284	ORYLA01946, ORYLA04743
OG0000060	HUMAN16007, HUMAN16006	ORYLA16841, ORYLA08032
OG0000060	HUMAN04276	ORYLA14832
OG0000060	HUMAN06988	ORYLA15092
OG0000061	HUMAN17964	ORYLA09666, ORYLA08403
OG0000061	HUMAN26554	ORYLA01785
OG0000061	HUMAN18142	ORYLA10018
OG0000061	HUMAN20809	ORYLA07904, ORYLA07058
OG0000061	HUMAN13555	ORYLA16623
OG0000061	HUMAN12027	ORYLA08288
OG0000061	HUMAN20727	ORYLA09144, ORYLA06720
OG0000061	HUMAN26146, HUMAN26147	ORYLA07094, ORYLA13357, ORYLA13574
OG0000061	HUMAN26149	ORYLA07095, ORYLA13356
OG0000061	HUMAN27338, HUMAN27337	ORYLA19115
OG0000061	HUMAN26138, HUMAN26137	ORYLA07060
OG0000061	HUMAN12821	ORYLA08273
OG0000062	HUMAN29104	ORYLA18121
OG0000062	HUMAN14474	ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500
OG0000062	HUMAN24841, HUMAN24843	ORYLA05590, ORYLA05591
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	HUMAN25285	ORYLA10585, ORYLA11804
OG0000063	HUMAN14398	ORYLA06843, ORYLA13091, ORYLA13092
OG0000063	HUMAN28499	ORYLA07328, ORYLA00312
OG0000063	HUMAN00858	ORYLA12933
OG0000063	HUMAN21099	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	HUMAN18628	ORYLA14082
OG0000063	HUMAN03783, HUMAN03782	ORYLA04940, ORYLA08134
OG0000065	HUMAN29458	ORYLA02755
OG0000065	HUMAN05357	ORYLA03358
OG0000065	HUMAN25383	ORYLA10271
OG0000066	HUMAN29798	ORYLA06398
OG0000067	HUMAN23532	ORYLA02381
OG0000067	HUMAN24070	ORYLA01183, ORYLA06203
OG0000067	HUMAN22809	ORYLA19414
OG0000068	HUMAN26982	ORYLA11081
OG0000068	HUMAN30562	ORYLA20205
OG0000068	HUMAN21443	ORYLA14465, ORYLA15429
OG0000068	HUMAN02454	ORYLA14046
OG0000068	HUMAN30510, HUMAN30509	ORYLA20259
OG0000068	HUMAN20380	ORYLA11242, ORYLA11243, ORYLA14701
OG0000068	HUMAN21486	ORYLA15913
OG0000068	HUMAN06933	ORYLA10852
OG0000069	HUMAN13360, HUMAN02573	ORYLA08015
OG0000069	HUMAN13361, HUMAN02574	ORYLA03826
OG0000070	HUMAN25671	ORYLA11329
OG0000070	HUMAN29634	ORYLA09412
OG0000070	HUMAN14097	ORYLA20376
OG0000070	HUMAN14161	ORYLA17312
OG0000071	HUMAN17352	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716
OG0000072	HUMAN24108	ORYLA01510
OG0000072	HUMAN23125	ORYLA00516
OG0000072	HUMAN05334	ORYLA03563
OG0000072	HUMAN22965, HUMAN22964	ORYLA00527
OG0000072	HUMAN04101	ORYLA04050, ORYLA03176
OG0000072	HUMAN22852	ORYLA20464
OG0000072	HUMAN03255, HUMAN03252	ORYLA05266
OG0000073	HUMAN24982	ORYLA20002
OG0000073	HUMAN25174, HUMAN25175	ORYLA06148, ORYLA06147
OG0000073	HUMAN27930	ORYLA09058, ORYLA06772
OG0000073	HUMAN11516	ORYLA12397
OG0000073	HUMAN27929	ORYLA18725
OG0000074	HUMAN21437	ORYLA15431
OG0000075	HUMAN12839	ORYLA08229
OG0000075	HUMAN02593	ORYLA07050
OG0000075	HUMAN18233	ORYLA10050
OG0000075	HUMAN06329	ORYLA15750
OG0000075	HUMAN00444	ORYLA05870, ORYLA14226
OG0000075	HUMAN05218	ORYLA04438
OG0000075	HUMAN18234	ORYLA10049
