Orthogroup	HUMAN	AMPFI_ok
OG0000000	HUMAN22097, HUMAN03752	AMPFI_12098
OG0000000	HUMAN27271, HUMAN18431	AMPFI_16114
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	AMPFI_11894
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	AMPFI_12336
OG0000000	HUMAN29337, HUMAN01254	AMPFI_08228
OG0000000	HUMAN03433	AMPFI_02168
OG0000000	HUMAN02527	AMPFI_10716
OG0000000	HUMAN07513	AMPFI_19781
OG0000000	HUMAN22154, HUMAN24253	AMPFI_12478
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	AMPFI_20876
OG0000000	HUMAN27579, HUMAN22230	AMPFI_21326
OG0000000	HUMAN18756	AMPFI_01589
OG0000000	HUMAN08319	AMPFI_10655
OG0000001	HUMAN10622	AMPFI_19631, AMPFI_17354, AMPFI_25090
OG0000001	HUMAN03140, HUMAN03346	AMPFI_03160
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	AMPFI_18148, AMPFI_13477
OG0000001	HUMAN14511	AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000001	HUMAN10621, HUMAN10623	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000002	HUMAN04207, HUMAN20269	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	HUMAN20270	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336
OG0000003	HUMAN10010	AMPFI_01423, AMPFI_22677
OG0000003	HUMAN02915	AMPFI_14748, AMPFI_23185
OG0000004	HUMAN27575	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	HUMAN27464	AMPFI_08378
OG0000004	HUMAN05920	AMPFI_14906
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	AMPFI_04189
OG0000004	HUMAN26466	AMPFI_03068
OG0000005	HUMAN01465	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	HUMAN17033	AMPFI_01603
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	AMPFI_22470
OG0000006	HUMAN02118, HUMAN29294	AMPFI_22262
OG0000006	HUMAN29691	AMPFI_22463
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	AMPFI_10542, AMPFI_00206
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	AMPFI_02520
OG0000006	HUMAN14338, HUMAN14017	AMPFI_09123
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	AMPFI_18507
OG0000006	HUMAN08856, HUMAN19716	AMPFI_06099
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	AMPFI_17130
OG0000006	HUMAN24331	AMPFI_12555
OG0000007	HUMAN09570, HUMAN28803	AMPFI_02812
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	AMPFI_07094
OG0000007	HUMAN28408	AMPFI_15871
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	AMPFI_26059
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	AMPFI_15806
OG0000007	HUMAN25936, HUMAN13634	AMPFI_22204
OG0000007	HUMAN13395	AMPFI_08786
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	AMPFI_21281
