Orthogroup	HUMAN	XENTR
OG0000000	HUMAN22097	XENTR08878
OG0000000	HUMAN18431	XENTR01079, XENTR01080
OG0000000	HUMAN03692	XENTR18066
OG0000000	HUMAN17136	XENTR07932
OG0000000	HUMAN03688	XENTR18621
OG0000000	HUMAN03744	XENTR10509
OG0000000	HUMAN03743	XENTR10508
OG0000000	HUMAN22196	XENTR13402
OG0000000	HUMAN27740	XENTR02223
OG0000000	HUMAN03805	XENTR10492
OG0000000	HUMAN22626	XENTR10560
OG0000000	HUMAN29337	XENTR07734
OG0000000	HUMAN01254	XENTR13891
OG0000000	HUMAN28889	XENTR17298
OG0000000	HUMAN05731	XENTR05705
OG0000000	HUMAN05644	XENTR16086
OG0000000	HUMAN03433	XENTR12445
OG0000000	HUMAN02527	XENTR07618
OG0000000	HUMAN17907	XENTR07167
OG0000000	HUMAN26096	XENTR03338
OG0000000	HUMAN07512	XENTR04390
OG0000000	HUMAN22413	XENTR05494
OG0000000	HUMAN12896	XENTR10849
OG0000000	HUMAN26097	XENTR03337
OG0000000	HUMAN07513	XENTR04389
OG0000000	HUMAN12904	XENTR10854
OG0000000	HUMAN06517	XENTR08539
OG0000000	HUMAN17904	XENTR07170
OG0000000	HUMAN12902, HUMAN26102	XENTR03332
OG0000000	HUMAN12901	XENTR10853
OG0000000	HUMAN26101	XENTR03333
OG0000000	HUMAN06515	XENTR08540
OG0000000	HUMAN06518	XENTR08542
OG0000000	HUMAN12899	XENTR10851
OG0000000	HUMAN26100	XENTR03334
OG0000000	HUMAN06519	XENTR08541
OG0000000	HUMAN27325	XENTR06295
OG0000000	HUMAN27326	XENTR04184
OG0000000	HUMAN26016	XENTR03185
OG0000000	HUMAN22154	XENTR12464
OG0000000	HUMAN24253	XENTR08726
OG0000000	HUMAN08317	XENTR06680
OG0000000	HUMAN18755	XENTR12982
OG0000000	HUMAN06516	XENTR08538
OG0000000	HUMAN26103	XENTR03331
OG0000000	HUMAN17903	XENTR07171
OG0000000	HUMAN12905	XENTR10855, XENTR10856
OG0000000	HUMAN26104	XENTR03330
OG0000000	HUMAN30050	XENTR00687
OG0000000	HUMAN24067	XENTR13779
OG0000000	HUMAN26107	XENTR03327
OG0000000	HUMAN17898	XENTR07175
OG0000000	HUMAN27579	XENTR01971
OG0000000	HUMAN22230	XENTR14936
OG0000000	HUMAN27580	XENTR01972
OG0000000	HUMAN03523	XENTR09547
OG0000000	HUMAN24243	XENTR08722
OG0000000	HUMAN18756	XENTR12981
OG0000000	HUMAN08319	XENTR06679
OG0000001	HUMAN01493, HUMAN01492	XENTR19191, XENTR05335, XENTR05334
OG0000001	HUMAN10622	XENTR06490
OG0000001	HUMAN03140, HUMAN03346	XENTR04259
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	HUMAN22770	XENTR12747
OG0000002	HUMAN15589	XENTR12309, XENTR12000
OG0000002	HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588	XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313
OG0000002	HUMAN04207	XENTR16022
OG0000002	HUMAN20269	XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000004	HUMAN27462, HUMAN27463	XENTR16872
