Orthogroup	HUMAN	PFLAV
OG0000000	HUMAN22097, HUMAN03752	TCONS_00026365.p1
OG0000000	HUMAN27271, HUMAN18431	TCONS_00019737.p1
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	TCONS_00027826.p1
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	TCONS_00026910.p1
OG0000000	HUMAN03743, HUMAN22196	TCONS_00026612.p1
OG0000000	HUMAN03805, HUMAN22626	TCONS_00026711.p1
OG0000000	HUMAN29337, HUMAN01254	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	HUMAN28889, HUMAN05731	TCONS_00018852.p1
OG0000000	HUMAN05644	TCONS_00017786.p1
OG0000000	HUMAN03433	TCONS_00026487.p1
OG0000000	HUMAN02527	TCONS_00010493.p1
OG0000000	HUMAN17907, HUMAN26096	TCONS_00032259.p1
OG0000000	HUMAN07512, HUMAN22413	TCONS_00043772.p1
OG0000000	HUMAN12896, HUMAN26097	TCONS_00032260.p1
OG0000000	HUMAN07513	TCONS_00043771.p1
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	TCONS_00032269.p1
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	TCONS_00032262.p1
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	TCONS_00032264.p1
OG0000000	HUMAN27325, HUMAN27326	TCONS_00019139.p1
OG0000000	HUMAN12743, HUMAN26016	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	HUMAN22154, HUMAN24253	TCONS_00027510.p1
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	TCONS_00032270.p1
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	TCONS_00042478.p1
OG0000000	HUMAN26107, HUMAN17898	TCONS_00031629.p1
OG0000000	HUMAN22230	TCONS_00026601.p1
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	TCONS_00026600.p1
OG0000000	HUMAN18756	TCONS_00009627.p1
OG0000000	HUMAN08319	TCONS_00009628.p1
OG0000001	HUMAN10622	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	TCONS_00034555.p1, TCONS_00007091.p1
OG0000001	HUMAN10621, HUMAN10623	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	HUMAN22770	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	HUMAN04207, HUMAN20269	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	HUMAN01080	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	HUMAN20270	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
