Orthogroup	HUMAN	OWEFU
OG0000000	HUMAN22097, HUMAN03752	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	HUMAN27271, HUMAN18431	OFUSG13305.1.p1
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	OFUSG18918.1.p1
OG0000000	HUMAN03743, HUMAN22196	OFUSG05755.1.p1
OG0000000	HUMAN03805, HUMAN22626	OFUSG06970.1.p1
OG0000000	HUMAN29337, HUMAN01254	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	HUMAN28889, HUMAN05731	OFUSG08786.1.p1
OG0000000	HUMAN05644	OFUSG09074.1.p1
OG0000000	HUMAN03433	OFUSG19303.1.p1
OG0000000	HUMAN02527	OFUSG12013.1.p1
OG0000000	HUMAN17907, HUMAN26096	OFUSG13332.1.p1
OG0000000	HUMAN07512, HUMAN22413	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	HUMAN12896, HUMAN26097	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	HUMAN07513	OFUSG03302.1.p1
OG0000000	HUMAN12902, HUMAN26102	OFUSG13338.1.p1
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	OFUSG13335.1.p1
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	OFUSG13336.1.p1
OG0000000	HUMAN27325, HUMAN27326	OFUSG17003.1.p1
OG0000000	HUMAN12743, HUMAN26016	OFUSG21200.1.p1
OG0000000	HUMAN22154, HUMAN24253	OFUSG05672.1.p1
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	OFUSG03177.1.p1
OG0000000	HUMAN26107, HUMAN17898	OFUSG12947.1.p1
OG0000000	HUMAN22230	OFUSG05775.1.p1
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	OFUSG06109.1.p1
OG0000000	HUMAN18756	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	HUMAN08319	OFUSG21806.1.p1
OG0000001	HUMAN01493, HUMAN01492	OFUSG18749.1.p1
OG0000001	HUMAN10622	OFUSG04205.1.p1, OFUSG01600.1.p1, OFUSG03605.1.p1, OFUSG07127.1.p1, OFUSG03269.1.p1
OG0000002	HUMAN22770	OFUSG12055.1.p1
OG0000002	HUMAN01080	OFUSG09076.1.p1
OG0000002	HUMAN20270	OFUSG22946.2.p1
OG0000003	HUMAN02915	OFUSG21073.1.p1
OG0000004	HUMAN05920	OFUSG20734.1.p1
OG0000005	HUMAN23763, HUMAN23764	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	HUMAN25469	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	HUMAN01465	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	HUMAN17033	OFUSG11531.1.p1
OG0000006	HUMAN00944	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	HUMAN22351, HUMAN05133	OFUSG02905.1.p1
OG0000006	HUMAN21718, HUMAN29537	OFUSG14509.1.p1
OG0000006	HUMAN02118, HUMAN29294	OFUSG25514.1.p1
OG0000006	HUMAN29691	OFUSG14428.1.p1
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	OFUSG07929.1.p1
