Orthogroup	HUMAN	BRALA
OG0000000	HUMAN06514, HUMAN08318	BRALA25846, BRALA11737
OG0000000	HUMAN22097, HUMAN03752	BRALA16375, BRALA16376
OG0000000	HUMAN27271, HUMAN18431	BRALA00047
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	BRALA19584, BRALA19585, BRALA25857
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	BRALA17283
OG0000000	HUMAN03743, HUMAN22196	BRALA24482
OG0000000	HUMAN03805, HUMAN22626	BRALA16262
OG0000000	HUMAN29337, HUMAN01254	BRALA18359
OG0000000	HUMAN28889, HUMAN05731	BRALA29522
OG0000000	HUMAN05644	BRALA24707
OG0000000	HUMAN03433	BRALA28387
OG0000000	HUMAN02527	BRALA21476
OG0000000	HUMAN17907, HUMAN26096	BRALA00115
OG0000000	HUMAN07512, HUMAN22413	BRALA11736
OG0000000	HUMAN12896, HUMAN26097	BRALA00116
OG0000000	HUMAN07513	BRALA11734
OG0000000	HUMAN12902, HUMAN26102	BRALA00120
OG0000000	HUMAN12901, HUMAN26101, HUMAN06515	BRALA00121
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	BRALA00118
OG0000000	HUMAN27325, HUMAN27326	BRALA00439, BRALA26541
OG0000000	HUMAN12743, HUMAN26016	BRALA00079
OG0000000	HUMAN22154, HUMAN24253	BRALA34448
OG0000000	HUMAN26104	BRALA00124
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	BRALA11733
OG0000000	HUMAN26107, HUMAN17898	BRALA00135
OG0000000	HUMAN22230	BRALA30674
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	BRALA30673
OG0000000	HUMAN08319	BRALA17840
OG0000001	HUMAN01493, HUMAN01492	BRALA17450, BRALA31564
OG0000001	HUMAN10622	BRALA14819, BRALA09015
OG0000001	HUMAN03140, HUMAN03346	BRALA12714, BRALA00678
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	HUMAN14511	BRALA25322, BRALA21156
OG0000001	HUMAN10621, HUMAN10623	BRALA19588, BRALA19586
OG0000002	HUMAN22770	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
