Orthogroup	HUMAN	LYTVA_ok
OG0000000	HUMAN06514, HUMAN08318	LYTVA_09514
OG0000000	HUMAN22097, HUMAN03752	LYTVA_01679
OG0000000	HUMAN27271, HUMAN18431	LYTVA_23170
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	LYTVA_01380
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	LYTVA_01827
OG0000000	HUMAN27740, HUMAN03805, HUMAN22626	LYTVA_18988
OG0000000	HUMAN28889, HUMAN05731	LYTVA_13103
OG0000000	HUMAN03433	LYTVA_22602
OG0000000	HUMAN02527	LYTVA_19974
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	LYTVA_08678
OG0000000	HUMAN07513	LYTVA_23667
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	LYTVA_22477
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	LYTVA_22480
OG0000000	HUMAN27325, HUMAN27326	LYTVA_23047
OG0000000	HUMAN12743, HUMAN26016	LYTVA_14838
OG0000000	HUMAN22154, HUMAN24253	LYTVA_06897
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	LYTVA_22476
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	LYTVA_22714
OG0000000	HUMAN26107, HUMAN17898	LYTVA_19015
OG0000000	HUMAN27579, HUMAN22230	LYTVA_26599
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	LYTVA_17046
OG0000000	HUMAN18756	LYTVA_23349
OG0000000	HUMAN08319	LYTVA_23351
OG0000001	HUMAN10621, HUMAN10623	LYTVA_04837, LYTVA_04757
OG0000002	HUMAN22770	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000002	HUMAN04207, HUMAN20269	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000004	HUMAN17550	LYTVA_04445
OG0000004	HUMAN27464	LYTVA_03323
OG0000004	HUMAN05920	LYTVA_07389, LYTVA_03537
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	LYTVA_11730
OG0000004	HUMAN03733	LYTVA_03880, LYTVA_11529, LYTVA_13371, LYTVA_08957, LYTVA_21459, LYTVA_00032
OG0000005	HUMAN01465	LYTVA_12392
OG0000006	HUMAN00944	LYTVA_15901
OG0000006	HUMAN22351, HUMAN05133	LYTVA_21289
OG0000006	HUMAN21718, HUMAN29537	LYTVA_12321
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	LYTVA_25253
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	LYTVA_07373
OG0000006	HUMAN25905	LYTVA_23957
OG0000006	HUMAN23524	LYTVA_29757
OG0000006	HUMAN03111	LYTVA_18169
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	LYTVA_29412, LYTVA_25462
OG0000006	HUMAN08856, HUMAN19716	LYTVA_16832
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	LYTVA_16844
OG0000006	HUMAN24331	LYTVA_08878
OG0000007	HUMAN24418, HUMAN11538	LYTVA_29912
OG0000007	HUMAN09570, HUMAN28803	LYTVA_22273
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	LYTVA_23216
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	LYTVA_27359
OG0000007	HUMAN21567	LYTVA_29395
OG0000007	HUMAN11539	LYTVA_10898
OG0000007	HUMAN24416	LYTVA_17245
OG0000007	HUMAN24417, HUMAN11533	LYTVA_04121
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	LYTVA_03206
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	LYTVA_12379, LYTVA_12378
OG0000007	HUMAN25936, HUMAN13634	LYTVA_12480
OG0000007	HUMAN13395	LYTVA_06652
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	LYTVA_19839
OG0000007	HUMAN08248	LYTVA_05177
OG0000010	HUMAN16120	LYTVA_09270
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	HUMAN11190	LYTVA_12515, LYTVA_06149
OG0000012	HUMAN11191	LYTVA_24416
OG0000014	HUMAN25476, HUMAN30053	LYTVA_13955
OG0000014	HUMAN13227	LYTVA_23372
OG0000015	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170	LYTVA_26004
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	LYTVA_26002
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	LYTVA_09631, LYTVA_17348, LYTVA_06152
OG0000015	HUMAN30169, HUMAN09177	LYTVA_06792
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	LYTVA_02179, LYTVA_09460, LYTVA_20745
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	LYTVA_21831, LYTVA_18288
OG0000016	HUMAN07767	LYTVA_27143
OG0000016	HUMAN25103	LYTVA_03299, LYTVA_00787
OG0000016	HUMAN06120, HUMAN04223	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978
OG0000019	HUMAN06384	LYTVA_17120
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	LYTVA_01420
OG0000020	HUMAN20815	LYTVA_00541
OG0000020	HUMAN12659	LYTVA_19355
OG0000020	HUMAN26061	LYTVA_21318
OG0000020	HUMAN08344	LYTVA_09793
OG0000020	HUMAN00926	LYTVA_04298
OG0000020	HUMAN02350, HUMAN02349	LYTVA_23496
OG0000020	HUMAN17840	LYTVA_05479
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	LYTVA_08129
OG0000020	HUMAN02145	LYTVA_23009
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	LYTVA_12234
OG0000020	HUMAN00010	LYTVA_17081
OG0000020	HUMAN23847	LYTVA_06231
OG0000020	HUMAN22639	LYTVA_09530
OG0000020	HUMAN20816	LYTVA_00542
OG0000021	HUMAN20500	LYTVA_04917
OG0000021	HUMAN30680, HUMAN30504	LYTVA_13831
OG0000021	HUMAN11054, HUMAN23166	LYTVA_10118
OG0000021	HUMAN12331	LYTVA_09991
OG0000021	HUMAN04273, HUMAN30251	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849
OG0000023	HUMAN03767	LYTVA_11225
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	LYTVA_24785
OG0000026	HUMAN00402	LYTVA_02302
OG0000026	HUMAN16545	LYTVA_08564
OG0000026	HUMAN26724, HUMAN26725	LYTVA_25523, LYTVA_12516, LYTVA_25399, LYTVA_26794, LYTVA_19796
OG0000028	HUMAN09193, HUMAN09206	LYTVA_12763
OG0000029	HUMAN15611	LYTVA_19314
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	LYTVA_19555, LYTVA_01403, LYTVA_23870
