Orthogroup	APOSC_ok	DANRE
OG0000000	APOSC_11837, APOSC_12606	DANRE06436, DANRE05762
OG0000000	APOSC_11472, APOSC_29094	DANRE04899, DANRE05022, DANRE06714
OG0000000	APOSC_19214	DANRE04898
OG0000000	APOSC_25410	DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	APOSC_11604	DANRE05964, DANRE19591, DANRE19592
OG0000000	APOSC_19137	DANRE34117, DANRE19532, DANRE36202
OG0000000	APOSC_11544	DANRE02487, DANRE13405
OG0000000	APOSC_06717	DANRE00977
OG0000000	APOSC_04208	DANRE04328, DANRE04330, DANRE04329
OG0000000	APOSC_07565	DANRE18867, DANRE18868
OG0000000	APOSC_22022	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	APOSC_04964	DANRE35277, DANRE35276, DANRE17824
OG0000000	APOSC_16565	DANRE24278
OG0000000	APOSC_27318	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	APOSC_14732	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	APOSC_24894	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	APOSC_24788	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	APOSC_28968	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	APOSC_18629	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	APOSC_10621	DANRE06945, DANRE06944, DANRE20512
OG0000000	APOSC_22429	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	APOSC_04636	DANRE41165, DANRE05977, DANRE05743
OG0000000	APOSC_18693	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	APOSC_00117	DANRE11796, DANRE11795, DANRE18798
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	DANRE16673
OG0000002	APOSC_19154	DANRE23574
OG0000003	APOSC_20058	DANRE05700
OG0000004	APOSC_03634	DANRE17331
OG0000004	APOSC_28059	DANRE41389, DANRE41390
OG0000005	APOSC_26754	DANRE17266
OG0000005	APOSC_21707	DANRE11160
OG0000006	APOSC_10640	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	APOSC_17637	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	APOSC_08216	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	APOSC_08805	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	APOSC_25251, APOSC_25252	DANRE11213, DANRE11212, DANRE11601
OG0000006	APOSC_19228	DANRE30064, DANRE15483
OG0000006	APOSC_11581	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	APOSC_02745	DANRE05395
OG0000006	APOSC_10711	DANRE20981, DANRE28318, DANRE19321
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	APOSC_06790, APOSC_06791	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000007	APOSC_04982	DANRE26275, DANRE17982
OG0000007	APOSC_19545	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	APOSC_11262	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	APOSC_29119	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	APOSC_07509	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	APOSC_11745	DANRE12664
OG0000007	APOSC_20868	DANRE03447
OG0000007	APOSC_21514	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	APOSC_25152	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	APOSC_15698	DANRE21702
OG0000007	APOSC_04562	DANRE08320, DANRE33659
OG0000007	APOSC_09541, APOSC_09542	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	APOSC_22651	DANRE30028, DANRE03038, DANRE28801
OG0000007	APOSC_10715	DANRE30495, DANRE03657, DANRE03658
OG0000007	APOSC_17950	DANRE02453, DANRE09326, DANRE09325
OG0000007	APOSC_07482	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	APOSC_05395	DANRE34310, DANRE39865
OG0000008	APOSC_25161	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000010	APOSC_17642	DANRE38564, DANRE38563
OG0000010	APOSC_21784	DANRE39463, DANRE39462
OG0000010	APOSC_25939	DANRE09716, DANRE09718, DANRE09717
OG0000012	APOSC_26906, APOSC_13089	DANRE38177, DANRE38176
OG0000012	APOSC_26545	DANRE12655, DANRE12656, DANRE12659
OG0000013	APOSC_00689	DANRE15807
OG0000013	APOSC_26024, APOSC_17612	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	APOSC_00187	DANRE17251, DANRE43403
OG0000015	APOSC_22269	DANRE15829, DANRE07077
OG0000015	APOSC_04279	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	APOSC_09216	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	DANRE35611
OG0000016	APOSC_14883	DANRE02012
OG0000016	APOSC_28721	DANRE13447
OG0000016	APOSC_19884	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	APOSC_06513	DANRE32666
OG0000018	APOSC_00300	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202
OG0000018	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	APOSC_01211, APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689	DANRE13954, DANRE13946
OG0000019	APOSC_14801, APOSC_11507	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	APOSC_14708	DANRE10827, DANRE10826, DANRE10743
OG0000020	APOSC_13376	DANRE10670
OG0000020	APOSC_09964	DANRE30414
OG0000020	APOSC_00691	DANRE27431, DANRE27432, DANRE27433
OG0000020	APOSC_03094	DANRE06741, DANRE06740, DANRE15747
OG0000020	APOSC_05461	DANRE06663, DANRE06664
OG0000020	APOSC_14067	DANRE18984
OG0000020	APOSC_25230	DANRE27379
OG0000021	APOSC_11990	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	APOSC_06563, APOSC_06562	DANRE39795, DANRE39796, DANRE22480
OG0000021	APOSC_02202	DANRE08348, DANRE33679
OG0000021	APOSC_27384	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	DANRE37717, DANRE02277
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	DANRE27401, DANRE27403, DANRE27400
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	APOSC_23115	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000026	APOSC_12180	DANRE25537, DANRE36265
OG0000026	APOSC_25312	DANRE09875
OG0000026	APOSC_13965	DANRE42258, DANRE07529
OG0000028	APOSC_17838, APOSC_17839	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	APOSC_07574, APOSC_20436	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	DANRE34589, DANRE34588
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	APOSC_12149	DANRE41079, DANRE41078
OG0000031	APOSC_14603	DANRE20694
OG0000031	APOSC_14687	DANRE41496, DANRE35535, DANRE23155
OG0000031	APOSC_14535	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	APOSC_00328	DANRE26516
OG0000031	APOSC_01319	DANRE35637, DANRE11621
OG0000031	APOSC_17680	DANRE20276, DANRE16190, DANRE42316
OG0000031	APOSC_02579	DANRE27399, DANRE21472, DANRE14252
OG0000031	APOSC_22997	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	DANRE24197
OG0000034	APOSC_28767, APOSC_28766	DANRE35041
OG0000034	APOSC_01056	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	APOSC_00389	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	APOSC_10138	DANRE14484, DANRE09880, DANRE38036
OG0000034	APOSC_10830	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	APOSC_23397	DANRE04100
OG0000034	APOSC_15909	DANRE25182
OG0000035	APOSC_27035	DANRE23313
OG0000035	APOSC_25872	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	APOSC_04998	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	APOSC_25573	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	APOSC_27270	DANRE38222, DANRE38223, DANRE12948
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	DANRE07186, DANRE30853
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	DANRE11991, DANRE38630
OG0000037	APOSC_01516	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	APOSC_24133	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	APOSC_28740	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	APOSC_09580, APOSC_09579	DANRE11315
OG0000038	APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299	DANRE23401
OG0000038	APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945, APOSC_22530	DANRE41584
OG0000038	APOSC_25222, APOSC_10656	DANRE15348
OG0000039	APOSC_12842, APOSC_27514	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000039	APOSC_00666	DANRE38069, DANRE38070
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255	DANRE09344
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	APOSC_19034	DANRE24726, DANRE30701, DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397
OG0000041	APOSC_26184	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	APOSC_00445	DANRE36805, DANRE27215, DANRE24076
OG0000043	APOSC_12898	DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395
OG0000044	APOSC_25765	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	APOSC_03195	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283
