Orthogroup	APOSC_ok	AENJA_ok
OG0000000	APOSC_11837, APOSC_12606	AENJA_00110
OG0000000	APOSC_11472, APOSC_29094	AENJA_26081
OG0000000	APOSC_25410	AENJA_23544
OG0000000	APOSC_11604	AENJA_09172
OG0000000	APOSC_28354	AENJA_06471
OG0000000	APOSC_19137	AENJA_01537
OG0000000	APOSC_11544	AENJA_09519
OG0000000	APOSC_13522	AENJA_01531
OG0000000	APOSC_04208	AENJA_07481
OG0000000	APOSC_07565	AENJA_25905
OG0000000	APOSC_22022	AENJA_15854
OG0000000	APOSC_04964	AENJA_12748
OG0000000	APOSC_16565	AENJA_12751
OG0000000	APOSC_27318	AENJA_05807
OG0000000	APOSC_06302	AENJA_05798
OG0000000	APOSC_14732	AENJA_15861
OG0000000	APOSC_24894	AENJA_22692
OG0000000	APOSC_24788	AENJA_20015
OG0000000	APOSC_01689	AENJA_05802
OG0000000	APOSC_01343	AENJA_19519
OG0000000	APOSC_25317	AENJA_10529
OG0000000	APOSC_25315, APOSC_25316	AENJA_10530
OG0000000	APOSC_10621	AENJA_21459
OG0000000	APOSC_22429	AENJA_01755
OG0000000	APOSC_04636	AENJA_10279
OG0000000	APOSC_18693	AENJA_05264
OG0000000	APOSC_00117	AENJA_18954
OG0000000	APOSC_08607	AENJA_18955
OG0000001	APOSC_22156	AENJA_05757
OG0000001	APOSC_01815, APOSC_16060	AENJA_05760
OG0000001	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617	AENJA_26229
OG0000001	APOSC_14768, APOSC_07507, APOSC_17360	AENJA_06007
OG0000001	APOSC_02406	AENJA_16692
OG0000001	APOSC_26455	AENJA_23742, AENJA_11626, AENJA_11402, AENJA_07468, AENJA_07469, AENJA_04325, AENJA_13572, AENJA_13548, AENJA_26364, AENJA_03867, AENJA_11948
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025	AENJA_05207, AENJA_05206
OG0000002	APOSC_17563	AENJA_03072
OG0000002	APOSC_09040, APOSC_26016	AENJA_19547
OG0000002	APOSC_19154	AENJA_05471, AENJA_03252
OG0000003	APOSC_21853	AENJA_06624
OG0000003	APOSC_21855	AENJA_13805
OG0000003	APOSC_00102	AENJA_21345
OG0000003	APOSC_08250	AENJA_20973
OG0000003	APOSC_20058	AENJA_21338
OG0000003	APOSC_22836	AENJA_12218
OG0000003	APOSC_20479	AENJA_02043
OG0000003	APOSC_06472	AENJA_21667, AENJA_15873
OG0000004	APOSC_21785	AENJA_15703
OG0000004	APOSC_28059	AENJA_03929
