Orthogroup	APOSC_ok	AMPFI_ok
OG0000000	APOSC_11837, APOSC_12606	AMPFI_12098
OG0000000	APOSC_11472, APOSC_29094	AMPFI_11894
OG0000000	APOSC_25410	AMPFI_12336
OG0000000	APOSC_28354	AMPFI_16025
OG0000000	APOSC_19137	AMPFI_08228
OG0000000	APOSC_04208	AMPFI_02168
OG0000000	APOSC_07565	AMPFI_10716
OG0000000	APOSC_16565	AMPFI_19781
OG0000000	APOSC_06302	AMPFI_22359
OG0000000	APOSC_28968	AMPFI_12478
OG0000000	APOSC_01689	AMPFI_25019
OG0000000	APOSC_01343	AMPFI_04297
OG0000000	APOSC_25317	AMPFI_05560
OG0000000	APOSC_10621	AMPFI_20876
OG0000000	APOSC_04636	AMPFI_21326
OG0000000	APOSC_00117	AMPFI_01589
OG0000000	APOSC_08607	AMPFI_10655
OG0000001	APOSC_22156	AMPFI_06127
OG0000001	APOSC_01815	AMPFI_11237
OG0000001	APOSC_16060	AMPFI_13782
OG0000001	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617	AMPFI_23521
OG0000001	APOSC_02406	AMPFI_21297
OG0000001	APOSC_22349, APOSC_16849	AMPFI_19631
OG0000001	APOSC_06282, APOSC_27210	AMPFI_25090
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025	AMPFI_00879
OG0000002	APOSC_17563	AMPFI_23102
OG0000002	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979
OG0000002	APOSC_04905	AMPFI_18855, AMPFI_10028, AMPFI_14105
OG0000002	APOSC_19154	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000002	APOSC_21951	AMPFI_17825
OG0000003	APOSC_13273, APOSC_13272	AMPFI_17434
OG0000003	APOSC_21855	AMPFI_10369
OG0000003	APOSC_00102	AMPFI_18906
OG0000003	APOSC_06907, APOSC_24394	AMPFI_11277
OG0000003	APOSC_02274	AMPFI_14508
OG0000003	APOSC_01247, APOSC_01039	AMPFI_22992
OG0000003	APOSC_08250	AMPFI_00462
OG0000003	APOSC_08634, APOSC_17084	AMPFI_16213
OG0000003	APOSC_28448, APOSC_01690, APOSC_12113	AMPFI_23034, AMPFI_24242
OG0000003	APOSC_02631, APOSC_04148, APOSC_07747	AMPFI_13081, AMPFI_01108, AMPFI_17831
OG0000003	APOSC_22836	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	APOSC_01527	AMPFI_14862
OG0000003	APOSC_05500	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846
OG0000003	APOSC_20479	AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216
OG0000003	APOSC_02027	AMPFI_23185
OG0000003	APOSC_03822	AMPFI_02366
OG0000003	APOSC_06472	AMPFI_18391, AMPFI_13137, AMPFI_11583, AMPFI_15510, AMPFI_04899, AMPFI_21369
OG0000004	APOSC_06431, APOSC_27025	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	APOSC_21785	AMPFI_07977
OG0000004	APOSC_20065, APOSC_20066, APOSC_25426, APOSC_09865, APOSC_00045	AMPFI_21283
OG0000004	APOSC_28260, APOSC_25240	AMPFI_11893
OG0000004	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837, APOSC_03036	AMPFI_11374, AMPFI_01179
OG0000004	APOSC_11365	AMPFI_03079
OG0000004	APOSC_02487	AMPFI_08501
OG0000004	APOSC_00158	AMPFI_13880
OG0000004	APOSC_08714, APOSC_11089, APOSC_11090, APOSC_17489, APOSC_17490	AMPFI_03336, AMPFI_12435
OG0000004	APOSC_28247	AMPFI_03068
OG0000005	APOSC_28430, APOSC_12554	AMPFI_18504
OG0000005	APOSC_26754	AMPFI_17853
OG0000005	APOSC_11873, APOSC_03752, APOSC_17628, APOSC_24150, APOSC_27102, APOSC_20826, APOSC_07088, APOSC_23550, APOSC_22041, APOSC_27830, APOSC_04819, APOSC_14554	AMPFI_11815, AMPFI_06236
OG0000005	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644	AMPFI_18823
OG0000005	APOSC_21707	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	APOSC_08805	AMPFI_22262
OG0000006	APOSC_08430, APOSC_08431	AMPFI_00206
OG0000006	APOSC_25251, APOSC_25252	AMPFI_02520
OG0000006	APOSC_10711	AMPFI_09123
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	AMPFI_18507
OG0000006	APOSC_06790, APOSC_06791	AMPFI_17130
OG0000006	APOSC_23470	AMPFI_05072, AMPFI_22396
OG0000007	APOSC_19545	AMPFI_02812
OG0000007	APOSC_11262	AMPFI_07094
OG0000007	APOSC_11791	AMPFI_16775
OG0000007	APOSC_20868	AMPFI_15871
OG0000007	APOSC_04562	AMPFI_26059
OG0000007	APOSC_09541, APOSC_09542	AMPFI_15806
OG0000007	APOSC_22651	AMPFI_22204
OG0000007	APOSC_10715	AMPFI_08786
OG0000007	APOSC_26829	AMPFI_17089
