Orthogroup	APOSC_ok	CAEEL
OG0000000	APOSC_11837, APOSC_12606	CAEEL18735
OG0000000	APOSC_19214	CAEEL08140
OG0000000	APOSC_25410	CAEEL18754
OG0000000	APOSC_11604	CAEEL06523
OG0000000	APOSC_28354	CAEEL00081
OG0000000	APOSC_19137, APOSC_01732	CAEEL18467, CAEEL18466
OG0000000	APOSC_06717	CAEEL04771
OG0000000	APOSC_04208	CAEEL18086
OG0000000	APOSC_11499	CAEEL05734
OG0000000	APOSC_22022	CAEEL08092
OG0000000	APOSC_04964, APOSC_22917, APOSC_16565, APOSC_27318, APOSC_06302, APOSC_14732	CAEEL08135, CAEEL08091
OG0000000	APOSC_24894	CAEEL00979
OG0000000	APOSC_28968	CAEEL19601
OG0000000	APOSC_18629, APOSC_01689, APOSC_01343, APOSC_25317, APOSC_25315, APOSC_25316	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	APOSC_10621	CAEEL07441
OG0000000	APOSC_22429	CAEEL08875
OG0000000	APOSC_18693, APOSC_00117, APOSC_08607	CAEEL16213
OG0000001	APOSC_11325, APOSC_21373	CAEEL06769
OG0000001	APOSC_22349, APOSC_16849	CAEEL17898, CAEEL19147
OG0000001	APOSC_06282, APOSC_27210	CAEEL00597, CAEEL06285
OG0000002	APOSC_19154	CAEEL18977
OG0000003	APOSC_21853	CAEEL08453, CAEEL08460
OG0000003	APOSC_02631, APOSC_04148, APOSC_07747	CAEEL14751
OG0000003	APOSC_20058	CAEEL20577
OG0000003	APOSC_07192, APOSC_04713, APOSC_02027	CAEEL19939
OG0000005	APOSC_24691	CAEEL13168
OG0000005	APOSC_28430, APOSC_12554	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	APOSC_21099	CAEEL20510
OG0000006	APOSC_17637	CAEEL00696
OG0000006	APOSC_25251, APOSC_25252	CAEEL07700
OG0000006	APOSC_19228	CAEEL05532
OG0000006	APOSC_10711	CAEEL01533
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	CAEEL12101
OG0000006	APOSC_06790, APOSC_06791	CAEEL17819
OG0000007	APOSC_19545	CAEEL04050
OG0000007	APOSC_11262	CAEEL17965
OG0000007	APOSC_29119	CAEEL05829
OG0000007	APOSC_25152	CAEEL01108
OG0000007	APOSC_04562, APOSC_09541, APOSC_09542	CAEEL10238, CAEEL04602
OG0000007	APOSC_07482	CAEEL18586
OG0000010	APOSC_12174	CAEEL10534
OG0000012	APOSC_26906, APOSC_13089	CAEEL20690
