Orthogroup	APOSC_ok	SACKO_ok
OG0000000	APOSC_11837, APOSC_12606	SACKO_12749
OG0000000	APOSC_11472, APOSC_29094	SACKO_25619
OG0000000	APOSC_19214	SACKO_25266
OG0000000	APOSC_25410	SACKO_05553
OG0000000	APOSC_11604	SACKO_16683
OG0000000	APOSC_28354	SACKO_25799
OG0000000	APOSC_19137	SACKO_08208, SACKO_08197
OG0000000	APOSC_11544	SACKO_32730, SACKO_17792
OG0000000	APOSC_13522	SACKO_03962
OG0000000	APOSC_06717	SACKO_19489
OG0000000	APOSC_04208	SACKO_31887
OG0000000	APOSC_11499	SACKO_26668
OG0000000	APOSC_22022	SACKO_24012
OG0000000	APOSC_04964	SACKO_11590
OG0000000	APOSC_22917	SACKO_24001
OG0000000	APOSC_16565	SACKO_11588
OG0000000	APOSC_27318	SACKO_24002
OG0000000	APOSC_06302	SACKO_24031
OG0000000	APOSC_14732	SACKO_24025
OG0000000	APOSC_24894	SACKO_26673
OG0000000	APOSC_24788	SACKO_06485
OG0000000	APOSC_28968	SACKO_31872
OG0000000	APOSC_18629	SACKO_24017
OG0000000	APOSC_01689	SACKO_23999
OG0000000	APOSC_01343	SACKO_23994, SACKO_24038
OG0000000	APOSC_10621	SACKO_11599
OG0000000	APOSC_22429	SACKO_22872
OG0000000	APOSC_04636	SACKO_31901
OG0000000	APOSC_18693	SACKO_31899
OG0000000	APOSC_00117	SACKO_11978
OG0000000	APOSC_08607	SACKO_12011
OG0000001	APOSC_11325, APOSC_21373	SACKO_00349
OG0000001	APOSC_14768, APOSC_07507, APOSC_17360	SACKO_04733
OG0000001	APOSC_02406	SACKO_14088
OG0000001	APOSC_22349, APOSC_16849	SACKO_30873
OG0000001	APOSC_27210	SACKO_18839
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	APOSC_17563	SACKO_14603
OG0000002	APOSC_09040, APOSC_26016	SACKO_11085
OG0000002	APOSC_00935	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706
OG0000002	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563, APOSC_04905	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	APOSC_26642	SACKO_21130
OG0000002	APOSC_19154, APOSC_21951	SACKO_00245, SACKO_00252
OG0000003	APOSC_21853	SACKO_16447
OG0000003	APOSC_02027	SACKO_32071
OG0000003	APOSC_06472	SACKO_05907
OG0000004	APOSC_21785	SACKO_02249
OG0000004	APOSC_18755	SACKO_16987
OG0000004	APOSC_28260, APOSC_25240	SACKO_20132
OG0000005	APOSC_24691	SACKO_14812
OG0000005	APOSC_28430, APOSC_12554	SACKO_15042
OG0000005	APOSC_26754	SACKO_08146
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153	SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	APOSC_21099	SACKO_21129
OG0000006	APOSC_10640	SACKO_11503
OG0000006	APOSC_17637	SACKO_02616
OG0000006	APOSC_08805	SACKO_13650
OG0000006	APOSC_25251, APOSC_25252	SACKO_23250
OG0000006	APOSC_19228	SACKO_15817
OG0000006	APOSC_11581	SACKO_32444
OG0000006	APOSC_02745	SACKO_14761, SACKO_02017
OG0000006	APOSC_10711	SACKO_32500
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	SACKO_06429
OG0000006	APOSC_06790, APOSC_06791	SACKO_20803
OG0000006	APOSC_23470	SACKO_22000
OG0000007	APOSC_04982	SACKO_33112
OG0000007	APOSC_19545	SACKO_16486
OG0000007	APOSC_11262	SACKO_25751
OG0000007	APOSC_11791	SACKO_30170
OG0000007	APOSC_29119	SACKO_17363
OG0000007	APOSC_07509	SACKO_03410
OG0000007	APOSC_11745	SACKO_33128
OG0000007	APOSC_20868	SACKO_15684
OG0000007	APOSC_21514	SACKO_15694
OG0000007	APOSC_25152	SACKO_22717
OG0000007	APOSC_15698	SACKO_04591
OG0000007	APOSC_04562	SACKO_27771
OG0000007	APOSC_09541, APOSC_09542	SACKO_27817
OG0000007	APOSC_22651	SACKO_00927
OG0000007	APOSC_10715	SACKO_02233
OG0000007	APOSC_26829	SACKO_03579
OG0000007	APOSC_17950	SACKO_31102, SACKO_31073
OG0000007	APOSC_07482	SACKO_11981
OG0000008	APOSC_02254, APOSC_22517	SACKO_09217
OG0000008	APOSC_29142	SACKO_31986, SACKO_33937, SACKO_05540
