Orthogroup	APOSC_ok	SCHMD
OG0000000	APOSC_11837, APOSC_12606	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	APOSC_25410	SCHMD20523, SCHMD24588
OG0000000	APOSC_11604	SCHMD03805
OG0000000	APOSC_28354	SCHMD20256, SCHMD22099
OG0000000	APOSC_19137	SCHMD09133, SCHMD27825
OG0000000	APOSC_13522	SCHMD03766
OG0000000	APOSC_06717	SCHMD27182, SCHMD16896
OG0000000	APOSC_22022	SCHMD18969
OG0000000	APOSC_27318	SCHMD22390, SCHMD21735
OG0000000	APOSC_24894	SCHMD21303
OG0000000	APOSC_28968	SCHMD01868
OG0000000	APOSC_22429	SCHMD24693
OG0000000	APOSC_04636	SCHMD05281, SCHMD04291
OG0000000	APOSC_18693, APOSC_00117, APOSC_08607	SCHMD13268
OG0000001	APOSC_27210	SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603
OG0000002	APOSC_26642	SCHMD15297
OG0000003	APOSC_28448, APOSC_01690, APOSC_12113	SCHMD24187, SCHMD29314, SCHMD02634
OG0000003	APOSC_20058	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	APOSC_22836, APOSC_06957, APOSC_05483, APOSC_22147, APOSC_01527, APOSC_27026, APOSC_05500, APOSC_20479	SCHMD00325
OG0000005	APOSC_24691	SCHMD06848
OG0000005	APOSC_28430, APOSC_12554	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541	SCHMD15919
OG0000006	APOSC_17637	SCHMD00178
OG0000006	APOSC_08216	SCHMD18704
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431, APOSC_25251, APOSC_25252, APOSC_19228, APOSC_11581	SCHMD09638
OG0000006	APOSC_02745	SCHMD23237
OG0000006	APOSC_10711	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	SCHMD13710
OG0000007	APOSC_04982	SCHMD12323
OG0000007	APOSC_11262	SCHMD08294
OG0000007	APOSC_11791	SCHMD22164, SCHMD13502
OG0000007	APOSC_29119	SCHMD14635, SCHMD17075
OG0000007	APOSC_07509	SCHMD03666
OG0000007	APOSC_20868, APOSC_21514, APOSC_25152	SCHMD12296, SCHMD02893
OG0000007	APOSC_15698	SCHMD08423
OG0000007	APOSC_04562, APOSC_09541, APOSC_09542	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	APOSC_22651	SCHMD19134
OG0000007	APOSC_10715	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	APOSC_07482	SCHMD02246
OG0000010	APOSC_21784	SCHMD16346
OG0000011	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118	SCHMD05659
OG0000012	APOSC_26906, APOSC_13089	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	APOSC_14826	SCHMD06045, SCHMD22580
OG0000015	APOSC_08494	SCHMD16725
OG0000015	APOSC_04279	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	APOSC_09217	SCHMD13029
OG0000016	APOSC_26907	SCHMD16694
OG0000016	APOSC_14883	SCHMD02183
OG0000016	APOSC_28721	SCHMD09773, SCHMD05700
OG0000017	APOSC_21350, APOSC_13768, APOSC_04701, APOSC_10126, APOSC_14993, APOSC_04363, APOSC_10874, APOSC_19675, APOSC_17962, APOSC_16160, APOSC_27563, APOSC_14184, APOSC_24575, APOSC_11424, APOSC_16019, APOSC_08524, APOSC_17481, APOSC_14095, APOSC_11982, APOSC_11683, APOSC_01963, APOSC_00742, APOSC_00743, APOSC_28296, APOSC_22083, APOSC_26544, APOSC_25070, APOSC_25071, APOSC_24315, APOSC_02943, APOSC_15991, APOSC_14206, APOSC_06737, APOSC_16567, APOSC_27905, APOSC_05780, APOSC_22360, APOSC_27877, APOSC_17687, APOSC_06955, APOSC_23186	SCHMD13346
OG0000018	APOSC_17923	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969
OG0000020	APOSC_14708	SCHMD00005
OG0000020	APOSC_20703	SCHMD23721
OG0000020	APOSC_00691	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	APOSC_09814	SCHMD10526, SCHMD19498
OG0000021	APOSC_23486, APOSC_20200	SCHMD09793, SCHMD07893
OG0000023	APOSC_23115	SCHMD05376
OG0000023	APOSC_29076	SCHMD14075
OG0000026	APOSC_12180	SCHMD10899
OG0000026	APOSC_14214	SCHMD22460
OG0000028	APOSC_18684	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	APOSC_14441	SCHMD22912, SCHMD03422
OG0000028	APOSC_17838, APOSC_17839	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	APOSC_07574, APOSC_20436	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	SCHMD17295
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	APOSC_00359	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	APOSC_25084, APOSC_18736, APOSC_12149	SCHMD25391
OG0000031	APOSC_14687, APOSC_14535	SCHMD16950
OG0000031	APOSC_22115, APOSC_01319	SCHMD00185
OG0000031	APOSC_17680, APOSC_02579	SCHMD17865
OG0000031	APOSC_06756, APOSC_06755	SCHMD04192
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	SCHMD05709, SCHMD01866
OG0000034	APOSC_28767, APOSC_28766	SCHMD13190, SCHMD26745
OG0000034	APOSC_00389	SCHMD11160, SCHMD18247
OG0000034	APOSC_10138	SCHMD04875
OG0000034	APOSC_15909	SCHMD07081
OG0000035	APOSC_21179	SCHMD06303
OG0000035	APOSC_27035	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	SCHMD15627, SCHMD19701
OG0000036	APOSC_05772, APOSC_15090, APOSC_26588	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	APOSC_17096, APOSC_16399, APOSC_03749, APOSC_00065, APOSC_01516, APOSC_24133, APOSC_09300	SCHMD19933
OG0000037	APOSC_28740	SCHMD00542, SCHMD17538
OG0000037	APOSC_09580, APOSC_09579	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	APOSC_14337, APOSC_20507, APOSC_00307	SCHMD26619
OG0000038	APOSC_23718	SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443
OG0000038	APOSC_28699	SCHMD17582, SCHMD27730
OG0000038	APOSC_13411, APOSC_17001	SCHMD07372
OG0000038	APOSC_06556	SCHMD06914, SCHMD04983
OG0000039	APOSC_12842, APOSC_27514, APOSC_00666, APOSC_28386, APOSC_17065, APOSC_22387, APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255	SCHMD12270
OG0000040	APOSC_11722	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146
OG0000041	APOSC_19034	SCHMD16871, SCHMD04540, SCHMD27454, SCHMD18676, SCHMD26156, SCHMD24512, SCHMD26802, SCHMD13244, SCHMD23473, SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533
OG0000041	APOSC_26184	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	APOSC_00445	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	APOSC_10405, APOSC_20159, APOSC_07558	SCHMD11455
OG0000043	APOSC_12898	SCHMD00424
OG0000048	APOSC_03154	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000048	APOSC_04736, APOSC_11238	SCHMD19708, SCHMD13779
OG0000049	APOSC_16875	SCHMD02961, SCHMD14840
OG0000049	APOSC_21344	SCHMD26352
OG0000049	APOSC_00932	SCHMD17006
OG0000049	APOSC_13440	SCHMD22370
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000058	APOSC_09888	SCHMD04270
OG0000058	APOSC_06035	SCHMD06371
OG0000058	APOSC_20919	SCHMD12285
OG0000058	APOSC_07162	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000058	APOSC_22832, APOSC_21555	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329
OG0000059	APOSC_17410	SCHMD27096
OG0000059	APOSC_10123	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210
OG0000060	APOSC_26756	SCHMD17528
OG0000060	APOSC_09536, APOSC_09537	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	APOSC_08992	SCHMD03062
OG0000061	APOSC_14996	SCHMD24930
OG0000061	APOSC_26114, APOSC_02472	SCHMD11039
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763, APOSC_18486, APOSC_01084	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	APOSC_16969	SCHMD13250
OG0000063	APOSC_25041	SCHMD04855
OG0000063	APOSC_17949	SCHMD09653
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709
OG0000065	APOSC_03762, APOSC_19098	SCHMD25473, SCHMD19118
OG0000066	APOSC_23538	SCHMD06601
OG0000066	APOSC_20821	SCHMD06030
OG0000066	APOSC_10537, APOSC_19939, APOSC_15688	SCHMD05807
OG0000066	APOSC_00077	SCHMD01861
OG0000066	APOSC_07080, APOSC_23919	SCHMD26212
OG0000066	APOSC_19084	SCHMD17583
OG0000068	APOSC_20989, APOSC_25395, APOSC_02568	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	APOSC_27459	SCHMD05798, SCHMD12262
OG0000069	APOSC_07708	SCHMD18974
OG0000071	APOSC_00250	SCHMD08674, SCHMD04226
OG0000073	APOSC_20982	SCHMD10978, SCHMD10977, SCHMD12234
OG0000075	APOSC_06620	SCHMD03704
OG0000075	APOSC_08706	SCHMD21424
OG0000077	APOSC_15032	SCHMD17571
OG0000077	APOSC_19689	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	APOSC_21239	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	APOSC_06807	SCHMD25666
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	APOSC_14696	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	APOSC_06744, APOSC_18934, APOSC_10580	SCHMD06941, SCHMD04736
OG0000080	APOSC_24368, APOSC_04715, APOSC_01450, APOSC_22940, APOSC_28029, APOSC_24503, APOSC_15378, APOSC_18689, APOSC_22834, APOSC_25525, APOSC_01210, APOSC_13316, APOSC_20361, APOSC_15858, APOSC_21235, APOSC_10809, APOSC_25615, APOSC_14922, APOSC_07639, APOSC_12622	SCHMD10387, SCHMD06434
OG0000082	APOSC_14161	SCHMD03263, SCHMD10119
OG0000082	APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806	SCHMD29028
OG0000082	APOSC_11149	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	APOSC_04906, APOSC_05380, APOSC_05381	SCHMD03363
OG0000082	APOSC_17996	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892
OG0000082	APOSC_15864	SCHMD23210
OG0000082	APOSC_09850	SCHMD16400
OG0000084	APOSC_25447	SCHMD19821, SCHMD23941, SCHMD23870
