Orthogroup	APOSC_ok	BRAFL
OG0000000	APOSC_11837, APOSC_12606	bflo_10712, bflo_10733
OG0000000	APOSC_11472, APOSC_29094	bflo_24421, bflo_24425, bflo_09165
OG0000000	APOSC_25410	bflo_09701
OG0000000	APOSC_11604	bflo_10072
OG0000000	APOSC_28354	bflo_10147
OG0000000	APOSC_19137	bflo_16599
OG0000000	APOSC_11544	bflo_24252
OG0000000	APOSC_13522	bflo_16111, bflo_10815
OG0000000	APOSC_06717	bflo_08732
OG0000000	APOSC_04208	bflo_10637
OG0000000	APOSC_07565	bflo_19045
OG0000000	APOSC_11499	bflo_00450
OG0000000	APOSC_22022	bflo_00191
OG0000000	APOSC_04964	bflo_15523
OG0000000	APOSC_27318	bflo_00195
OG0000000	APOSC_14732	bflo_00197
OG0000000	APOSC_24894	bflo_00617, bflo_23916
OG0000000	APOSC_24788	bflo_00176
OG0000000	APOSC_28968	bflo_10639
OG0000000	APOSC_18629	bflo_26449, bflo_00194, bflo_00920
OG0000000	APOSC_10621	bflo_14857
OG0000000	APOSC_22429	bflo_26417, bflo_00526
OG0000000	APOSC_04636	bflo_10437
OG0000000	APOSC_18693	bflo_10148
OG0000000	APOSC_08607	bflo_18457
OG0000001	APOSC_22156, APOSC_01815, APOSC_16060, APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	APOSC_14768, APOSC_07507, APOSC_17360	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000001	APOSC_06282, APOSC_27210	bflo_27403
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025, APOSC_02499, APOSC_01751, APOSC_07766	bflo_24437, bflo_24440
OG0000002	APOSC_17563	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	APOSC_09040, APOSC_26016	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000003	APOSC_09420	bflo_09100, bflo_09110
OG0000003	APOSC_02274	bflo_23600
OG0000003	APOSC_20058	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	APOSC_20479	bflo_22230, bflo_24151, bflo_26929, bflo_27439
OG0000003	APOSC_06472	bflo_02645
OG0000004	APOSC_06431, APOSC_27025	bflo_21581, bflo_07267
OG0000004	APOSC_21785	bflo_07498, bflo_20660
OG0000004	APOSC_18755	bflo_05437
OG0000004	APOSC_18438, APOSC_13722, APOSC_00273, APOSC_24885, APOSC_24884, APOSC_01498, APOSC_16623, APOSC_02533, APOSC_05543, APOSC_04330	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206
OG0000005	APOSC_24691	bflo_13407
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153	bflo_10917
OG0000006	APOSC_21099	bflo_10484
OG0000006	APOSC_10640	bflo_07660
OG0000006	APOSC_17637	bflo_14856, bflo_15258
OG0000006	APOSC_08216	bflo_22120
OG0000006	APOSC_08805	bflo_16305
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	bflo_10066, bflo_10065
OG0000006	APOSC_25251, APOSC_25252	bflo_12576
OG0000006	APOSC_19228	bflo_23572
OG0000006	APOSC_11581	bflo_06220
OG0000006	APOSC_02745	bflo_08237
OG0000006	APOSC_10711	bflo_06222
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	bflo_08431
OG0000006	APOSC_06790, APOSC_06791	bflo_15412
OG0000007	APOSC_04982	bflo_13266
OG0000007	APOSC_19545	bflo_05651
OG0000007	APOSC_11262	bflo_16444, bflo_15598
OG0000007	APOSC_11791	bflo_06255
OG0000007	APOSC_29119	bflo_25603
OG0000007	APOSC_07509	bflo_10207
OG0000007	APOSC_11745	bflo_13761
OG0000007	APOSC_20868	bflo_13742
OG0000007	APOSC_21514	bflo_13892
OG0000007	APOSC_25152	bflo_13084
OG0000007	APOSC_15698	bflo_16800
OG0000007	APOSC_04562	bflo_12369, bflo_21087
OG0000007	APOSC_09541, APOSC_09542	bflo_23309
OG0000007	APOSC_22651	bflo_23091
OG0000007	APOSC_10715	bflo_23283
OG0000007	APOSC_26829	bflo_09771
OG0000007	APOSC_17950	bflo_24497
OG0000007	APOSC_07482	bflo_11392
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	APOSC_27045	bflo_01785
OG0000008	APOSC_21976, APOSC_21294, APOSC_21293	bflo_17089
OG0000008	APOSC_25161	bflo_12140
OG0000009	APOSC_11177, APOSC_07331	bflo_13612, bflo_25945
OG0000009	APOSC_11617	bflo_25982
OG0000010	APOSC_17642	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	APOSC_14960	bflo_05472
OG0000010	APOSC_00985	bflo_03815, bflo_02970
OG0000010	APOSC_25939	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000010	APOSC_26738, APOSC_01123, APOSC_00727	bflo_15348, bflo_17410, bflo_07653, bflo_07652, bflo_08405, bflo_08413, bflo_08396, bflo_08404, bflo_07883
OG0000011	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118	bflo_20761, bflo_05867
OG0000011	APOSC_13969, APOSC_10113, APOSC_25340, APOSC_02325	bflo_04324, bflo_26561, bflo_24248, bflo_06820
OG0000011	APOSC_13401	bflo_15139
OG0000012	APOSC_26906, APOSC_13089	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	APOSC_13357	bflo_00214
OG0000012	APOSC_26545	bflo_14731, bflo_13607, bflo_24594
OG0000013	APOSC_26024, APOSC_17612	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	APOSC_19789	bflo_01206, bflo_05905
OG0000014	APOSC_00187	bflo_04326, bflo_04339, bflo_04331
OG0000015	APOSC_04279	bflo_14874
OG0000016	APOSC_09216	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	APOSC_26372, APOSC_26868, APOSC_26028	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	APOSC_14883	bflo_12769
