Orthogroup	APOSC_ok	XENTR
OG0000000	APOSC_11837, APOSC_12606	XENTR08878
OG0000000	APOSC_11472, APOSC_29094	XENTR18066, XENTR08976, XENTR07932
OG0000000	APOSC_25410	XENTR10509, XENTR10508, XENTR13402
OG0000000	APOSC_11604	XENTR10492, XENTR10560
OG0000000	APOSC_19137	XENTR07734, XENTR13891
OG0000000	APOSC_11544	XENTR17298, XENTR05705
OG0000000	APOSC_06717	XENTR16086
OG0000000	APOSC_04208	XENTR12445
OG0000000	APOSC_07565	XENTR07618
OG0000000	APOSC_22022	XENTR07167, XENTR10848, XENTR03338
OG0000000	APOSC_04964	XENTR04390, XENTR05494
OG0000000	APOSC_16565	XENTR04389
OG0000000	APOSC_27318	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540
OG0000000	APOSC_14732	XENTR10852, XENTR03334, XENTR08541
OG0000000	APOSC_24894	XENTR06295, XENTR04184
OG0000000	APOSC_24788	XENTR03185
OG0000000	APOSC_28968	XENTR12464, XENTR08726
OG0000000	APOSC_18629	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330
OG0000000	APOSC_10621	XENTR04388, XENTR00687, XENTR13779
OG0000000	APOSC_22429	XENTR03327, XENTR07175
OG0000000	APOSC_04636	XENTR01971, XENTR14936, XENTR09546
OG0000000	APOSC_18693	XENTR01972, XENTR09547, XENTR08722
OG0000000	APOSC_00117	XENTR12981
OG0000000	APOSC_08607	XENTR06679
OG0000001	APOSC_22349, APOSC_16849	XENTR06490
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	XENTR12747
OG0000002	APOSC_19154, APOSC_21951	XENTR17667
OG0000004	APOSC_03634	XENTR16872, XENTR15834
OG0000004	APOSC_06431, APOSC_27025	XENTR18073
OG0000004	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837, APOSC_03036, APOSC_11365, APOSC_02487, APOSC_00158, APOSC_18438, APOSC_13722, APOSC_00273, APOSC_24885, APOSC_24884, APOSC_01498, APOSC_16623, APOSC_02533, APOSC_05543, APOSC_04330	XENTR07291
OG0000005	APOSC_21707	XENTR16849, XENTR09568
OG0000006	APOSC_10640	XENTR00026
OG0000006	APOSC_17637	XENTR03474, XENTR03473, XENTR14730
OG0000006	APOSC_08216	XENTR03090, XENTR09060
OG0000006	APOSC_08805	XENTR03954, XENTR14945
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	XENTR00399, XENTR09859
OG0000006	APOSC_25251, APOSC_25252	XENTR09947, XENTR11692
OG0000006	APOSC_19228	XENTR11329
OG0000006	APOSC_11581	XENTR15046
OG0000006	APOSC_02745	XENTR13548
OG0000006	APOSC_10711	XENTR15729, XENTR08627
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	XENTR04854, XENTR07280, XENTR07527
OG0000006	APOSC_06790, APOSC_06791	XENTR12339, XENTR03854, XENTR12781
OG0000006	APOSC_16303, APOSC_23470	XENTR18680, XENTR15398
OG0000007	APOSC_04982	XENTR04989, XENTR07641
OG0000007	APOSC_19545	XENTR10435
OG0000007	APOSC_11262	XENTR12787, XENTR08906, XENTR06676
OG0000007	APOSC_29119	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	APOSC_07509	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	APOSC_11745	XENTR07642
OG0000007	APOSC_20868	XENTR11347, XENTR18406
OG0000007	APOSC_21514	XENTR04991
OG0000007	APOSC_25152	XENTR04990, XENTR05942
OG0000007	APOSC_04562	XENTR09461, XENTR01137
OG0000007	APOSC_09541, APOSC_09542	XENTR03031, XENTR06562
OG0000007	APOSC_22651	XENTR16583
OG0000007	APOSC_10715	XENTR07405, XENTR01816
OG0000007	APOSC_17950	XENTR09232, XENTR15271
OG0000008	APOSC_05395	XENTR07747
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125
OG0000008	APOSC_25161	XENTR00105
OG0000009	APOSC_14640	XENTR08209
OG0000009	APOSC_16724, APOSC_19765	XENTR08321, XENTR13550
OG0000010	APOSC_17642	XENTR06633
OG0000010	APOSC_28942, APOSC_04520	XENTR14832, XENTR09844, XENTR05875
OG0000010	APOSC_12174	XENTR08588
