Orthogroup	APOSC_ok	ASTMX
OG0000000	APOSC_11837, APOSC_12606	ASTMX02793
OG0000000	APOSC_11472, APOSC_29094	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	APOSC_19214	ASTMX22570
OG0000000	APOSC_25410	ASTMX13971, ASTMX13970
OG0000000	APOSC_11604	ASTMX05790, ASTMX17479
OG0000000	APOSC_19137	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	APOSC_11544	ASTMX14561, ASTMX07042
OG0000000	APOSC_06717	ASTMX10847
OG0000000	APOSC_04208	ASTMX20299
OG0000000	APOSC_07565	ASTMX10234
OG0000000	APOSC_22022	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	APOSC_04964	ASTMX16946, ASTMX11106
OG0000000	APOSC_16565	ASTMX06178
OG0000000	APOSC_27318	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	APOSC_14732	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	APOSC_24894	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	APOSC_24788	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	APOSC_28968	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	APOSC_18629	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	APOSC_10621	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	APOSC_22429	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	APOSC_04636	ASTMX17267, ASTMX11612, ASTMX02802
OG0000000	APOSC_18693	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	APOSC_00117	ASTMX09511
OG0000000	APOSC_08607	ASTMX08520
OG0000001	APOSC_06282	ASTMX18932
OG0000001	APOSC_02499, APOSC_01751, APOSC_07766	ASTMX16759, ASTMX18180
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	ASTMX13878
OG0000003	APOSC_00102	ASTMX16763
OG0000003	APOSC_07192	ASTMX21256
OG0000004	APOSC_03634	ASTMX09901
OG0000004	APOSC_28059	ASTMX13606
OG0000004	APOSC_28247	ASTMX13574
OG0000005	APOSC_21707	ASTMX03244
OG0000006	APOSC_21099	ASTMX20216
OG0000006	APOSC_10640	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	APOSC_17637	ASTMX16363, ASTMX04345
OG0000006	APOSC_08216	ASTMX11700, ASTMX00138
OG0000006	APOSC_08805	ASTMX03791, ASTMX03123
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	APOSC_25251, APOSC_25252	ASTMX03256, ASTMX09680
OG0000006	APOSC_19228	ASTMX14682, ASTMX19702
OG0000006	APOSC_11581	ASTMX21126, ASTMX03352
OG0000006	APOSC_02745	ASTMX06644
OG0000006	APOSC_10711	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	APOSC_06790, APOSC_06791	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000007	APOSC_04982	ASTMX14980
OG0000007	APOSC_19545	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	APOSC_11262	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	APOSC_29119	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	APOSC_07509	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	APOSC_20868	ASTMX20070
OG0000007	APOSC_21514	ASTMX22376, ASTMX11119
OG0000007	APOSC_25152	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	APOSC_04562	ASTMX18062, ASTMX21262
OG0000007	APOSC_09541, APOSC_09542	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	APOSC_22651	ASTMX04966, ASTMX11650
