Orthogroup	APOSC_ok	HELIO_ok
OG0000000	APOSC_11837, APOSC_12606	HELIO_01999
OG0000000	APOSC_11472, APOSC_29094	HELIO_08880
OG0000000	APOSC_25410	HELIO_06752
OG0000000	APOSC_11604	HELIO_10666
OG0000000	APOSC_28354	HELIO_00795
OG0000000	APOSC_06717	HELIO_03148
OG0000000	APOSC_04208	HELIO_02157
OG0000000	APOSC_07565	HELIO_11687
OG0000000	APOSC_16565	HELIO_04988
OG0000000	APOSC_06302	HELIO_00700
OG0000000	APOSC_24894	HELIO_00534
OG0000000	APOSC_28968	HELIO_08573
OG0000000	APOSC_01343	HELIO_11400
OG0000000	APOSC_25317	HELIO_04994
OG0000000	APOSC_22429	HELIO_06829
OG0000000	APOSC_00117	HELIO_00816
OG0000000	APOSC_08607	HELIO_04090
OG0000001	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025	HELIO_06455
OG0000002	APOSC_17563	HELIO_06940
OG0000002	APOSC_09040, APOSC_26016	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154
OG0000002	APOSC_12200, APOSC_12199, APOSC_23614	HELIO_04237
OG0000002	APOSC_00935	HELIO_03388, HELIO_11987
OG0000002	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641
OG0000002	APOSC_26642	HELIO_06844
OG0000002	APOSC_19154	HELIO_12021, HELIO_07207
OG0000003	APOSC_21855	HELIO_02559
OG0000003	APOSC_00102	HELIO_06998, HELIO_07220
OG0000003	APOSC_02631, APOSC_04148, APOSC_07747	HELIO_07118, HELIO_08034
OG0000003	APOSC_22836	HELIO_06283
OG0000003	APOSC_06957	HELIO_05042
OG0000003	APOSC_01527	HELIO_00523, HELIO_01732
OG0000003	APOSC_27026, APOSC_05500	HELIO_04687
OG0000003	APOSC_20479	HELIO_09894, HELIO_06251, HELIO_00920, HELIO_07587
OG0000003	APOSC_06472	HELIO_06683, HELIO_04847, HELIO_01179, HELIO_04393, HELIO_00919
OG0000004	APOSC_21785	HELIO_07102
OG0000004	APOSC_15566, APOSC_24597	HELIO_05964, HELIO_06973
OG0000004	APOSC_28059	HELIO_06422
OG0000004	APOSC_18755	HELIO_08003
OG0000004	APOSC_20065, APOSC_20066, APOSC_25426, APOSC_09865, APOSC_00045	HELIO_01465, HELIO_01464
OG0000004	APOSC_28260	HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598
OG0000004	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837	HELIO_00370
OG0000004	APOSC_03036	HELIO_07295, HELIO_04128, HELIO_00658, HELIO_12195
OG0000004	APOSC_11365	HELIO_09679
OG0000004	APOSC_04330	HELIO_07359, HELIO_02720
OG0000004	APOSC_28247	HELIO_05213
OG0000005	APOSC_09560, APOSC_20452, APOSC_23355, APOSC_10626	HELIO_07411, HELIO_06771
OG0000005	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644	HELIO_04530, HELIO_05062, HELIO_02098
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153	HELIO_00211
OG0000005	APOSC_23541	HELIO_09686
OG0000005	APOSC_21707	HELIO_04655
OG0000006	APOSC_21099	HELIO_00413
OG0000006	APOSC_10640	HELIO_09248
OG0000006	APOSC_27173	HELIO_08707
OG0000006	APOSC_08430, APOSC_08431	HELIO_08259, HELIO_08264
OG0000006	APOSC_25251, APOSC_25252	HELIO_06349
OG0000006	APOSC_19228	HELIO_00150
OG0000006	APOSC_11581	HELIO_12770
OG0000006	APOSC_10711	HELIO_08890
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	HELIO_11381, HELIO_00450
OG0000006	APOSC_06790, APOSC_06791	HELIO_06418
OG0000006	APOSC_23470	HELIO_00028
OG0000007	APOSC_04982	HELIO_01296
OG0000007	APOSC_19545	HELIO_10106
OG0000007	APOSC_11262	HELIO_00643
OG0000007	APOSC_11791	HELIO_06396
OG0000007	APOSC_29119	HELIO_00352
OG0000007	APOSC_07509	HELIO_11362
OG0000007	APOSC_11745	HELIO_11129
OG0000007	APOSC_25152	HELIO_04873
OG0000007	APOSC_15698	HELIO_06738
OG0000007	APOSC_04562	HELIO_03703
OG0000007	APOSC_09541, APOSC_09542	HELIO_07978
OG0000007	APOSC_22651	HELIO_03118
OG0000007	APOSC_10715	HELIO_07991
OG0000007	APOSC_26829	HELIO_01456
OG0000007	APOSC_17950	HELIO_04275
OG0000007	APOSC_07482	HELIO_11721
OG0000008	APOSC_29142	HELIO_09201
OG0000008	APOSC_21668	HELIO_07041
OG0000008	APOSC_19242	HELIO_01945
OG0000008	APOSC_27045, APOSC_15945, APOSC_29112, APOSC_03545	HELIO_05140
OG0000008	APOSC_21976, APOSC_21294, APOSC_21293	HELIO_07090
OG0000009	APOSC_25141	HELIO_05064
OG0000009	APOSC_18517	HELIO_06693
OG0000009	APOSC_11202, APOSC_23861, APOSC_08876	HELIO_04671
OG0000009	APOSC_15628	HELIO_06781
OG0000009	APOSC_14640	HELIO_07702, HELIO_07076, HELIO_12655
OG0000009	APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128	HELIO_07493
OG0000009	APOSC_18831	HELIO_07413
OG0000009	APOSC_11500	HELIO_05505
OG0000009	APOSC_26261	HELIO_04932
OG0000009	APOSC_11617	HELIO_10113, HELIO_06297, HELIO_04676
OG0000010	APOSC_14960	HELIO_11860
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	HELIO_09797
OG0000011	APOSC_02459	HELIO_07225
OG0000011	APOSC_17763, APOSC_18129	HELIO_04043
OG0000011	APOSC_13105, APOSC_01020, APOSC_26009, APOSC_20690, APOSC_20691	HELIO_04510
OG0000011	APOSC_16872, APOSC_22419, APOSC_02153, APOSC_18658, APOSC_11283	HELIO_03543
OG0000011	APOSC_16967	HELIO_08950
