factor	targetScaled	GscoreScaled	sumScaled	directTargets	targetsore	factor_fc
TCONS00011489	0.8541666666666666	0.9999999999999999	0.9999999999999999	1718	1405.3269069036048	12.0455762343641
TCONS00009689	0.7708333333333333	0.8958333333333333	0.9743589743589743	1549	1319.4447513287926	9.081254475828619
TCONS00027932	0.7291666666666666	0.8541666666666666	0.9487179487179487	1486	1289.440524427726	7.8665093196617315
TCONS00021998	0.9999999999999999	0.5833333333333333	0.923076923076923	2213	1647.0653296282012	4.19438247340695
TCONS00014206	0.9791666666666666	0.5416666666666666	0.8974358974358974	2366	1544.1816122885268	3.30809458888183
TCONS00016588	0.6041666666666666	0.8749999999999999	0.8717948717948717	1132	1101.0872456012332	8.5095755021391
TCONS00005144	0.9583333333333333	0.4791666666666667	0.8461538461538461	2324	1512.3358968116909	2.88583343615754
TCONS00057143	0.4166666666666667	0.9791666666666666	0.8205128205128205	547	800.764123800945	10.090206690834401
TCONS00019578	0.9374999999999999	0.4583333333333333	0.8205128205128205	1898	1505.1103491973315	2.83008312798434
TCONS00019620	0.5624999999999999	0.8124999999999999	0.7948717948717948	939	993.5263797022948	6.83626058327884
TCONS00005143	0.8958333333333333	0.4375	0.7692307692307692	2380	1466.2630129761483	2.7489577573556696
TCONS00008464	0.9166666666666666	0.3958333333333333	0.7435897435897435	1926	1490.6319501543207	2.61435845096759
TCONS00028953	0.4791666666666667	0.7499999999999999	0.717948717948718	727	889.1057322893004	5.819627898315001
TCONS00056455	0.5416666666666666	0.6458333333333333	0.6923076923076923	839	952.1445744878412	4.7032390123364
TCONS00042478	0.2708333333333333	0.9166666666666666	0.6923076923076923	273	610.3253963830045	9.10423979572022
TCONS00011327	0.8749999999999999	0.2708333333333333	0.6666666666666666	1965	1434.3670058076762	1.80079666095069
TCONS00029574	0.375	0.7708333333333333	0.6666666666666666	396	698.1146083407602	5.9478037175216505
TCONS00017786	0.4375	0.6874999999999999	0.641025641025641	569	814.4091311667054	5.70745022344834
TCONS00008967	0.16666666666666666	0.9374999999999999	0.6153846153846153	124	489.8570207730018	9.83658326535688
TCONS00037097	0.8333333333333333	0.24999999999999997	0.5897435897435898	1857	1369.683413432487	1.7173094134111802
TCONS00054588	0.5833333333333333	0.49999999999999994	0.5897435897435898	1068	1065.3334940942411	3.2641905194262404
TCONS00012754	0.08333333333333333	0.9583333333333333	0.5641025641025641	80	454.8647162868792	9.99720320562985
TCONS00045354	0.3541666666666667	0.6666666666666666	0.5384615384615384	351	667.476314914263	5.22183688010459
TCONS00052518	0.18749999999999997	0.8333333333333333	0.5384615384615384	132	492.7150672886385	7.17405429504772
TCONS00001049	0.6666666666666666	0.3541666666666667	0.5384615384615384	1312	1194.2786670672924	2.28785991423363
TCONS00009611	0.8124999999999999	0.20833333333333331	0.5384615384615384	2197	1369.2828076597675	1.5046386766554498
TCONS00034215	0.2916666666666667	0.7083333333333333	0.5128205128205128	308	640.5186008830161	5.7350401891635086
TCONS00009627	0.20833333333333331	0.7916666666666666	0.5128205128205128	158	523.9901887442069	6.08845465878241
TCONS00027931	0.3958333333333333	0.6041666666666666	0.5128205128205128	436	730.3701579714734	4.38797604672909
TCONS00052139	0.7499999999999999	0.22916666666666666	0.4871794871794871	1642	1313.9140002335632	1.5341227086828602
TCONS00044893	0.22916666666666666	0.7291666666666666	0.4615384615384615	191	548.0661264840246	5.80347288283909
TCONS00013334	0.5208333333333333	0.4166666666666667	0.43589743589743585	770	914.0233722452396	2.62904918031064
TCONS00023129	0.3125	0.6249999999999999	0.41025641025641024	320	647.0767301050154	4.61019862821212
TCONS00051631	0.7916666666666666	0.12499999999999999	0.3846153846153846	1828	1332.7619955948064	1.1439587284559298
TCONS00017935	0.49999999999999994	0.375	0.3589743589743589	746	903.9912006935393	2.5298873719116
TCONS00041694	0.6874999999999999	0.16666666666666666	0.3333333333333333	1468	1229.285981977955	1.38874861686685
TCONS00026365	0.24999999999999997	0.5624999999999999	0.30769230769230765	200	556.1739386599909	3.32967123467412
TCONS00011491	0.7083333333333333	0.04166666666666667	0.28205128205128205	2009	1273.0750156254635	0.766652506992168
TCONS00003964	0.6458333333333333	0.08333333333333333	0.2564102564102564	1596	1181.7827388376313	0.8736173537097549
TCONS00019012	0.6249999999999999	0.0625	0.23076923076923075	1563	1173.1388484761826	0.8405741059485901
TCONS00007126	0.4583333333333333	0.18749999999999997	0.20512820512820512	661	858.0836970293927	1.4024060821401398
TCONS00009628	0.04166666666666667	0.5208333333333333	0.1794871794871795	48	426.24412278469634	3.29308246706919
TCONS00020805	0.10416666666666667	0.3333333333333333	0.15384615384615385	99	463.6915259107427	2.17487855636506
TCONS00005618	0.3333333333333333	0.020833333333333332	0.12820512820512822	357	655.9495651947907	0.757287111806196
TCONS00029005	0.020833333333333332	0.3125	0.10256410256410256	23	329.1299991079693	1.901651681512
TCONS00011650	0.0	0.2916666666666667	0.07692307692307693	3	8.135066424629919	1.81655876786368
TCONS00053546	0.12499999999999999	0.10416666666666667	0.05128205128205129	103	474.13442323811563	0.8798559691966291
TCONS00036511	0.0625	0.14583333333333331	0.02564102564102564	56	432.4680087771637	1.16426218758643
TCONS00020216	0.14583333333333331	0.0	0.0	115	483.19647388890564	0.707525104359235
