Orthogroup	BRALA	SCHMD
OG0000000	BRALA25846, BRALA11737	SCHMD15791
OG0000000	BRALA16375, BRALA16376	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	BRALA00047, BRALA18569	SCHMD09645
OG0000000	BRALA24482	SCHMD20523, SCHMD24588
OG0000000	BRALA16262	SCHMD03805
OG0000000	BRALA16263	SCHMD20256, SCHMD22099
OG0000000	BRALA16378, BRALA16379, BRALA25044	SCHMD07815
OG0000000	BRALA18359	SCHMD09133, SCHMD27825
OG0000000	BRALA21349	SCHMD03766
OG0000000	BRALA24707	SCHMD27182, SCHMD16896
OG0000000	BRALA18600	SCHMD28523
OG0000000	BRALA00115	SCHMD18969
OG0000000	BRALA00116	SCHMD08046
OG0000000	BRALA00119, BRALA00120, BRALA00121	SCHMD22390, SCHMD21735
OG0000000	BRALA00439, BRALA26541	SCHMD21303
OG0000000	BRALA34448	SCHMD01868, SCHMD02255
OG0000000	BRALA00135	SCHMD24693
OG0000000	BRALA30674	SCHMD05281, SCHMD04291
OG0000000	BRALA30673, BRALA17840	SCHMD13268
OG0000001	BRALA09015	SCHMD23406
OG0000001	BRALA12714, BRALA00678	SCHMD16091
OG0000002	BRALA20754	SCHMD15297
OG0000003	BRALA03414	SCHMD14034
OG0000003	BRALA30232, BRALA07610	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	BRALA09721	SCHMD08141, SCHMD02635, SCHMD12732
OG0000003	BRALA24754, BRALA19933, BRALA07599, BRALA23550, BRALA02710, BRALA31768, BRALA11276, BRALA10124, BRALA01167, BRALA02711, BRALA07070, BRALA31766, BRALA29565, BRALA07069, BRALA20351, BRALA07154	SCHMD00325
OG0000003	BRALA02712, BRALA07571	SCHMD11370
OG0000004	BRALA03960	SCHMD06794
OG0000005	BRALA25414, BRALA34368	SCHMD06848
OG0000005	BRALA00382	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	BRALA15577, BRALA04488	SCHMD06849
OG0000005	BRALA15288, BRALA15287	SCHMD15919
OG0000006	BRALA03676	SCHMD07888, SCHMD24507, SCHMD09008
OG0000006	BRALA27911	SCHMD08632
OG0000006	BRALA19242	SCHMD00178
OG0000006	BRALA06109	SCHMD18704
OG0000006	BRALA23800, BRALA07568, BRALA29276, BRALA22280, BRALA06185, BRALA06182, BRALA06186, BRALA24212, BRALA17603, BRALA30843	SCHMD09638
OG0000006	BRALA03602	SCHMD23237
OG0000006	BRALA24372	SCHMD13710
OG0000006	BRALA22628	SCHMD18814
OG0000007	BRALA03259	SCHMD12323
OG0000007	BRALA20872, BRALA20870	SCHMD08294
OG0000007	BRALA09541	SCHMD22164, SCHMD13502
OG0000007	BRALA31416	SCHMD03666
OG0000007	BRALA20579, BRALA03286, BRALA03282	SCHMD12296, SCHMD02893
OG0000007	BRALA08350, BRALA09316, BRALA25787	SCHMD08423
OG0000007	BRALA26097, BRALA14947, BRALA22487	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	BRALA06491	SCHMD19134
OG0000007	BRALA18647	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	BRALA30788	SCHMD02246
OG0000008	BRALA19914	SCHMD02053
OG0000010	BRALA24210, BRALA03886	SCHMD19321
OG0000010	BRALA03920, BRALA03888, BRALA03922	SCHMD16346
OG0000010	BRALA20380, BRALA25997, BRALA21212, BRALA10410, BRALA13100	SCHMD02594, SCHMD02592
OG0000010	BRALA23788	SCHMD09515
OG0000010	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969	SCHMD05789, SCHMD04868
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	SCHMD05659
OG0000011	BRALA25154	SCHMD25643
OG0000012	BRALA23780, BRALA12214, BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	BRALA20558, BRALA12213, BRALA23779, BRALA32735	SCHMD06045, SCHMD22580
OG0000015	BRALA06628	SCHMD16725
OG0000015	BRALA22448	SCHMD16724
OG0000015	BRALA22447	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	BRALA34743	SCHMD21264, SCHMD01350, SCHMD17302
OG0000016	BRALA21428	SCHMD23829
OG0000016	BRALA18621	SCHMD09774, SCHMD19607, SCHMD01356, SCHMD01351
OG0000016	BRALA12120, BRALA09688	SCHMD16694
OG0000017	BRALA05160, BRALA33969, BRALA05159, BRALA12730, BRALA24981, BRALA28546, BRALA31994, BRALA23160, BRALA12731	SCHMD13346
OG0000018	BRALA26433	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969
OG0000019	BRALA23185, BRALA13461, BRALA09553	SCHMD07568
OG0000020	BRALA28177, BRALA04365	SCHMD01272
OG0000020	BRALA09136, BRALA09135	SCHMD00005
OG0000020	BRALA27241	SCHMD08736
OG0000020	BRALA30618	SCHMD24153
OG0000020	BRALA18984	SCHMD09886
OG0000020	BRALA27392	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	BRALA22428	SCHMD09794
OG0000021	BRALA06012	SCHMD09793, SCHMD07893
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000026	BRALA07901, BRALA07423	SCHMD10899
OG0000026	BRALA01767	SCHMD22460
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	BRALA08523	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000030	BRALA04160, BRALA13442	SCHMD17295
OG0000030	BRALA21433	SCHMD07576, SCHMD09292
