Orthogroup	BRALA	DROME
OG0000000	BRALA16375, BRALA16376	DROME16218, DROME16219
OG0000000	BRALA00047	DROME04813
OG0000000	BRALA18569	DROME07346
OG0000000	BRALA19584, BRALA19585, BRALA25857	DROME14805, DROME14806
OG0000000	BRALA25847	DROME15599
OG0000000	BRALA24482	DROME15463, DROME15462
OG0000000	BRALA16262	DROME11250
OG0000000	BRALA16263	DROME14878
OG0000000	BRALA18359	DROME21328, DROME21327
OG0000000	BRALA21349	DROME20419
OG0000000	BRALA24707	DROME03422
OG0000000	BRALA18600	DROME12799
OG0000000	BRALA28387	DROME16097
OG0000000	BRALA21476	DROME01107
OG0000000	BRALA00440	DROME17319
OG0000000	BRALA00115	DROME13389, DROME13388
OG0000000	BRALA11736	DROME11314
OG0000000	BRALA11734	DROME13415
OG0000000	BRALA00120	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	BRALA00118	DROME13414
OG0000000	BRALA00439, BRALA26541	DROME10025
OG0000000	BRALA00079	DROME16399
OG0000000	BRALA34448	DROME17718
OG0000000	BRALA00125, BRALA00124	DROME15341, DROME15342, DROME15343
OG0000000	BRALA11733	DROME03546, DROME03545
OG0000000	BRALA00135	DROME04989
OG0000000	BRALA30674	DROME16202
OG0000000	BRALA30673, BRALA17840	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939	DROME04936, DROME08706, DROME19770
OG0000002	BRALA28279, BRALA02635, BRALA12500	DROME21552, DROME21551
OG0000002	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797	DROME14626, DROME12189, DROME02894
OG0000005	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234	DROME15227
OG0000006	BRALA19242	DROME08113
OG0000006	BRALA06109	DROME01994, DROME01995, DROME01996
OG0000006	BRALA23800	DROME00104
OG0000006	BRALA22280	DROME19258, DROME19257, DROME19259
OG0000006	BRALA06185	DROME21396
OG0000006	BRALA24212	DROME15583
OG0000006	BRALA17603	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	BRALA03602	DROME19786, DROME00664
OG0000006	BRALA24372	DROME18045, DROME18046, DROME18044
OG0000006	BRALA24993	DROME00147, DROME00148
OG0000006	BRALA24994	DROME19780, DROME19779, DROME19781
OG0000006	BRALA22628	DROME21674, DROME21675, DROME21673
OG0000007	BRALA03259	DROME12545
OG0000007	BRALA13447, BRALA13448	DROME16994, DROME16993
OG0000007	BRALA20872, BRALA20870	DROME17568, DROME17567
OG0000007	BRALA31416, BRALA11149, BRALA03260	DROME09292
OG0000007	BRALA08350	DROME18346
OG0000007	BRALA26097	DROME14142
OG0000007	BRALA22487	DROME19603, DROME19602
OG0000007	BRALA06491	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	BRALA30788	DROME21792, DROME00712, DROME00713
OG0000008	BRALA19914	DROME05669
OG0000008	BRALA20539	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	BRALA28057	DROME15136
OG0000010	BRALA05894	DROME18661
OG0000010	BRALA20380, BRALA25997	DROME10941
OG0000010	BRALA23756, BRALA23757, BRALA23755, BRALA23754	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	BRALA23780, BRALA12214, BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	DROME14687, DROME14686
OG0000013	BRALA10995, BRALA11091, BRALA10996	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994
OG0000013	BRALA18430, BRALA18428, BRALA02691, BRALA18429	DROME03979, DROME03978
OG0000014	BRALA07540	DROME06381
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456, BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196, BRALA14079	DROME05409, DROME03987
OG0000014	BRALA28626, BRALA28625, BRALA28624	DROME14595, DROME14594
OG0000015	BRALA22447	DROME11913, DROME20981, DROME20982
OG0000015	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	BRALA32113, BRALA10406	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	BRALA12120, BRALA09688	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000019	BRALA31027, BRALA00002, BRALA17788	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	BRALA28177, BRALA04365	DROME18145, DROME18146
OG0000020	BRALA09135	DROME22108
OG0000020	BRALA28848, BRALA05608	DROME02490
OG0000020	BRALA27392	DROME11466, DROME11467
OG0000020	BRALA11912	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	BRALA10628	DROME14454, DROME14455
OG0000021	BRALA18963	DROME18320, DROME18321
OG0000021	BRALA30352	DROME08269
OG0000021	BRALA34639, BRALA31905	DROME00802, DROME00801
OG0000021	BRALA06012	DROME08091
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437	DROME04919, DROME04917, DROME04918
OG0000023	BRALA17881, BRALA21074, BRALA03421	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000027	BRALA20955, BRALA26178, BRALA25170, BRALA33815	DROME13849, DROME08050
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	BRALA08523	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	BRALA04160, BRALA13442	DROME12966
OG0000030	BRALA13032	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	BRALA31250, BRALA14315, BRALA04297, BRALA10449	DROME06898
OG0000030	BRALA06142	DROME12965
OG0000031	BRALA04543	DROME19945
OG0000031	BRALA04547	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	BRALA28311	DROME09230
OG0000031	BRALA15572	DROME16481
OG0000032	BRALA11179, BRALA11177, BRALA09647	DROME01213
OG0000034	BRALA27570	DROME20092, DROME20090, DROME20091
OG0000034	BRALA08901, BRALA03079	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	BRALA17580	DROME13496
OG0000034	BRALA08885	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	BRALA18444	DROME03104, DROME03105
OG0000034	BRALA02412	DROME20524
OG0000035	BRALA21367, BRALA35402	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	BRALA29588	DROME19358, DROME19359
OG0000035	BRALA13915, BRALA22877	DROME17164, DROME17163
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	BRALA22402, BRALA22404	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	BRALA16393, BRALA16390, BRALA16391	DROME20237
OG0000037	BRALA16388	DROME08695, DROME15640, DROME04516
OG0000038	BRALA27417	DROME13993
OG0000039	BRALA19542	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	BRALA18485, BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395, BRALA35825, BRALA27751, BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	BRALA29257	DROME01788, DROME01789
OG0000041	BRALA35158	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	BRALA27215	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	BRALA28596	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	BRALA27747	DROME03638
OG0000044	BRALA03916, BRALA26507, BRALA16452, BRALA25594, BRALA12952	DROME17013
OG0000046	BRALA05184, BRALA05187	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304
OG0000048	BRALA08224	DROME07309
OG0000048	BRALA06772	DROME15626, DROME15625
OG0000048	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407, BRALA17809	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	BRALA03524	DROME01500
OG0000049	BRALA17285	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
