Orthogroup	BRALA	HELIO_ok
OG0000000	BRALA16375, BRALA16376	HELIO_01999
OG0000000	BRALA19584, BRALA19585, BRALA25857	HELIO_08880
OG0000000	BRALA25847	HELIO_10837
OG0000000	BRALA24482	HELIO_06752
OG0000000	BRALA16262	HELIO_10666
OG0000000	BRALA16263	HELIO_00795
OG0000000	BRALA24707	HELIO_03148
OG0000000	BRALA18600	HELIO_09005
OG0000000	BRALA28387	HELIO_02157
OG0000000	BRALA21476	HELIO_11687
OG0000000	BRALA11734	HELIO_04988
OG0000000	BRALA00439, BRALA26541	HELIO_00534
OG0000000	BRALA34448	HELIO_08573
OG0000000	BRALA00135	HELIO_06829
OG0000000	BRALA17840	HELIO_04090
OG0000001	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838	HELIO_11550
OG0000001	BRALA25322, BRALA21156	HELIO_00196, HELIO_00018, HELIO_00128
OG0000001	BRALA19588, BRALA19586	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	HELIO_06940
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154
OG0000002	BRALA20754	HELIO_06844
OG0000002	BRALA27121	HELIO_12021, HELIO_07207
OG0000003	BRALA33939, BRALA01916	HELIO_07277
OG0000003	BRALA11277	HELIO_03324
OG0000003	BRALA25224	HELIO_07172
OG0000003	BRALA24754	HELIO_06283
OG0000003	BRALA02710	HELIO_10386
OG0000003	BRALA31768, BRALA11276, BRALA10124	HELIO_04687
OG0000003	BRALA02711	HELIO_09894
OG0000003	BRALA07069, BRALA20351	HELIO_07587
OG0000003	BRALA01914	HELIO_06683, HELIO_04847
OG0000003	BRALA01313	HELIO_01179
OG0000004	BRALA27667	HELIO_07102
OG0000004	BRALA08526	HELIO_08003
OG0000005	BRALA15287	HELIO_00211
OG0000006	BRALA07705	HELIO_00413
OG0000006	BRALA06686	HELIO_09248
OG0000006	BRALA07568, BRALA29276	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	BRALA22280	HELIO_06349
OG0000006	BRALA06185	HELIO_00150
OG0000006	BRALA17603	HELIO_12770
OG0000006	BRALA17591	HELIO_08890
OG0000006	BRALA24372	HELIO_11381, HELIO_00450
OG0000006	BRALA24993	HELIO_08227
OG0000006	BRALA24994	HELIO_06418
OG0000007	BRALA03259	HELIO_01296
OG0000007	BRALA13447, BRALA13448	HELIO_10106
OG0000007	BRALA20872, BRALA20870	HELIO_00643
OG0000007	BRALA09541	HELIO_06396
OG0000007	BRALA31416	HELIO_11362
OG0000007	BRALA03260	HELIO_11129
OG0000007	BRALA03282	HELIO_04873
OG0000007	BRALA25787	HELIO_06738
OG0000007	BRALA26097, BRALA14947	HELIO_03703
OG0000007	BRALA22487	HELIO_07978
OG0000007	BRALA06491	HELIO_03118
OG0000007	BRALA18647	HELIO_07991
OG0000007	BRALA23348	HELIO_01456
OG0000007	BRALA05625	HELIO_04275
OG0000007	BRALA30788	HELIO_11721
OG0000008	BRALA19914	HELIO_10953, HELIO_01917
OG0000008	BRALA09673, BRALA27036	HELIO_05140
OG0000008	BRALA26942	HELIO_07090
OG0000009	BRALA34913	HELIO_03078
OG0000009	BRALA26278, BRALA32982	HELIO_04671, HELIO_06781
OG0000009	BRALA26344, BRALA34657	HELIO_07076, HELIO_12655
OG0000009	BRALA12697, BRALA27847	HELIO_05505, HELIO_04932
OG0000009	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338	HELIO_10113, HELIO_06297, HELIO_04676
OG0000010	BRALA17508, BRALA01650	HELIO_11860
OG0000010	BRALA01026, BRALA09806	HELIO_07073
OG0000010	BRALA12875	HELIO_05291
OG0000011	BRALA22896, BRALA17910	HELIO_09981, HELIO_04800
OG0000011	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249	HELIO_01844, HELIO_04250, HELIO_06749, HELIO_07221
OG0000011	BRALA19887	HELIO_04650
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	HELIO_01241, HELIO_00959
OG0000011	BRALA06517, BRALA01847, BRALA32798	HELIO_05340
OG0000011	BRALA25154, BRALA13222, BRALA19792	HELIO_09607
OG0000011	BRALA17612	HELIO_07282
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	HELIO_04072, HELIO_05750
OG0000012	BRALA22947	HELIO_06831
OG0000014	BRALA28626, BRALA28625, BRALA28624	HELIO_12068
OG0000014	BRALA15621, BRALA12274	HELIO_07123
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	HELIO_10724
OG0000015	BRALA18748, BRALA15755	HELIO_10798
OG0000016	BRALA34743	HELIO_04641
OG0000016	BRALA00485	HELIO_05159, HELIO_08806
OG0000016	BRALA00484, BRALA00482, BRALA24680	HELIO_08070
OG0000016	BRALA13647	HELIO_05626, HELIO_09411
OG0000016	BRALA32113, BRALA10406	HELIO_05456
OG0000016	BRALA21418, BRALA29534, BRALA13585	HELIO_03738
OG0000016	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808	HELIO_07791
OG0000016	BRALA09686	HELIO_11041
OG0000016	BRALA22170	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000017	BRALA05160	HELIO_09340
OG0000018	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561	HELIO_01806, HELIO_11953, HELIO_04805, HELIO_09132, HELIO_05854, HELIO_05254, HELIO_06191, HELIO_05532, HELIO_03926, HELIO_06035
OG0000018	BRALA13704, BRALA27948, BRALA23173, BRALA12914, BRALA25800, BRALA23152, BRALA29804, BRALA18094	HELIO_05318
OG0000018	BRALA34486	HELIO_05992, HELIO_04247
OG0000018	BRALA27952, BRALA31952	HELIO_04613
OG0000018	BRALA27097	HELIO_06631, HELIO_07465
OG0000018	BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799	HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946
OG0000019	BRALA00309, BRALA00310, BRALA00311	HELIO_07628, HELIO_05932, HELIO_06034, HELIO_06893
OG0000019	BRALA00404, BRALA00405	HELIO_11234
OG0000020	BRALA28848	HELIO_01087
OG0000020	BRALA05608	HELIO_03892
OG0000020	BRALA18984	HELIO_08119
OG0000020	BRALA16287	HELIO_10764
OG0000020	BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062	HELIO_10811
OG0000020	BRALA27392	HELIO_12285
OG0000020	BRALA11912	HELIO_05828
OG0000020	BRALA18130	HELIO_07729
OG0000020	BRALA12599	HELIO_08365
OG0000020	BRALA10628	HELIO_01918
OG0000020	BRALA23615	HELIO_11794
OG0000021	BRALA18098	HELIO_05564
OG0000021	BRALA34639, BRALA31905	HELIO_09128
OG0000021	BRALA06012	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	BRALA20360, BRALA20164	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	BRALA34393, BRALA34449, BRALA33273	HELIO_07781
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	BRALA17881, BRALA21074, BRALA03421	HELIO_07887, HELIO_10788, HELIO_06647
OG0000024	BRALA13162, BRALA17266	HELIO_10427, HELIO_10803, HELIO_04927, HELIO_04554, HELIO_07194, HELIO_07601, HELIO_04022
OG0000025	BRALA32180	HELIO_06624
OG0000025	BRALA21990, BRALA01764, BRALA20092	HELIO_06776
OG0000025	BRALA29928, BRALA29404, BRALA24909	HELIO_01616
OG0000025	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555	HELIO_04661, HELIO_01319, HELIO_11891, HELIO_06548, HELIO_05151, HELIO_05386, HELIO_05130, HELIO_05684, HELIO_07410, HELIO_06241, HELIO_08914, HELIO_07084, HELIO_05071, HELIO_06217, HELIO_04102, HELIO_05474, HELIO_04209, HELIO_04160, HELIO_03948, HELIO_05479, HELIO_06857
OG0000025	BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554, BRALA29691, BRALA31389, BRALA33393, BRALA22035, BRALA31817, BRALA04997	HELIO_05333
OG0000025	BRALA23330	HELIO_02268
OG0000025	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347	HELIO_05243, HELIO_04943, HELIO_07532, HELIO_06878, HELIO_07309, HELIO_06949, HELIO_05701, HELIO_05635, HELIO_06741
OG0000026	BRALA01767	HELIO_09541
OG0000027	BRALA16500, BRALA16502	HELIO_06026, HELIO_07228, HELIO_05233, HELIO_07068, HELIO_05709
OG0000028	BRALA08523	HELIO_06306
OG0000028	BRALA00011, BRALA12956, BRALA12957	HELIO_06269
OG0000028	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277	HELIO_12146
OG0000029	BRALA01099	HELIO_05447
OG0000029	BRALA00240	HELIO_05915, HELIO_11308
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	HELIO_11942
OG0000030	BRALA32549, BRALA32573	HELIO_06719
OG0000030	BRALA32176	HELIO_06628
OG0000031	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606	HELIO_00637
OG0000031	BRALA04543	HELIO_00475
OG0000031	BRALA04547	HELIO_11237
OG0000031	BRALA04610	HELIO_10166
OG0000031	BRALA13458	HELIO_00951
OG0000031	BRALA16640	HELIO_11573
OG0000031	BRALA28311	HELIO_00638
OG0000032	BRALA11179, BRALA11177, BRALA09647	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000033	BRALA24907, BRALA25475, BRALA07998, BRALA07997, BRALA14864, BRALA20167, BRALA15709, BRALA30462, BRALA29514, BRALA21331, BRALA01502, BRALA25179	HELIO_05494
OG0000033	BRALA33421, BRALA14172	HELIO_06429, HELIO_06966
OG0000033	BRALA10011, BRALA12783, BRALA04117, BRALA04068	HELIO_06082
OG0000033	BRALA13255, BRALA23215, BRALA25545, BRALA32441	HELIO_04366
OG0000033	BRALA27795, BRALA10774, BRALA00010	HELIO_05274
OG0000033	BRALA22615, BRALA32032, BRALA32815, BRALA33133, BRALA19402	HELIO_05169
OG0000033	BRALA00758, BRALA22567, BRALA31294, BRALA28294	HELIO_06635, HELIO_07393
OG0000033	BRALA30835, BRALA20226, BRALA25684, BRALA27595, BRALA30827, BRALA34440, BRALA21407, BRALA29940, BRALA33100, BRALA11728, BRALA22616, BRALA29799, BRALA33689, BRALA15957, BRALA23169, BRALA32611, BRALA24594, BRALA32612, BRALA10244	HELIO_06447
OG0000034	BRALA27570	HELIO_03041, HELIO_03040
OG0000034	BRALA08751	HELIO_11045
OG0000034	BRALA08901, BRALA03079	HELIO_10910
OG0000034	BRALA17580	HELIO_05981
OG0000034	BRALA08885	HELIO_12487
OG0000034	BRALA06594	HELIO_11629
OG0000035	BRALA21367, BRALA35402	HELIO_04621
OG0000035	BRALA13925	HELIO_03945, HELIO_04376
OG0000035	BRALA13921	HELIO_03534
OG0000035	BRALA29588	HELIO_07811, HELIO_06366
OG0000035	BRALA13915, BRALA22877	HELIO_00732, HELIO_11539
OG0000035	BRALA13917	HELIO_04984
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	HELIO_07711
OG0000036	BRALA22402, BRALA22404	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	BRALA22275	HELIO_01421
OG0000037	BRALA16015	HELIO_01377
OG0000037	BRALA16388	HELIO_04770
OG0000038	BRALA18077	HELIO_07209
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	HELIO_01180
OG0000039	BRALA21586	HELIO_07214
OG0000039	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092	HELIO_00133
OG0000040	BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000042	BRALA07355	HELIO_05918, HELIO_12031
OG0000043	BRALA06439, BRALA20722	HELIO_00563
OG0000043	BRALA09159	HELIO_03541
OG0000044	BRALA16330, BRALA33207	HELIO_05461
OG0000044	BRALA28596	HELIO_02529
OG0000044	BRALA34838	HELIO_07264
OG0000044	BRALA12952	HELIO_01656
OG0000045	BRALA00161, BRALA00165, BRALA00163, BRALA00162	HELIO_07351, HELIO_00342
OG0000045	BRALA01913, BRALA01918, BRALA01920	HELIO_03034
OG0000045	BRALA22894	HELIO_01585
OG0000046	BRALA28946	HELIO_08475
OG0000047	BRALA26369, BRALA32034, BRALA34020, BRALA28823, BRALA03575, BRALA05399, BRALA24725, BRALA07480, BRALA17974, BRALA28047, BRALA13926	HELIO_06314, HELIO_04036
OG0000047	BRALA23218, BRALA14165, BRALA14164, BRALA28069	HELIO_01306
OG0000047	BRALA32269	HELIO_06838
OG0000048	BRALA08224	HELIO_10223
OG0000048	BRALA06772	HELIO_05568
OG0000048	BRALA17809	HELIO_11655
OG0000048	BRALA10830	HELIO_08708
OG0000048	BRALA23587	HELIO_04435, HELIO_12559
OG0000048	BRALA03524	HELIO_05605
OG0000050	BRALA29504, BRALA33239	HELIO_04635
