Orthogroup	BRALA	ORYLA
OG0000000	BRALA16375, BRALA16376	ORYLA04928
OG0000000	BRALA00047	ORYLA07037, ORYLA08538
OG0000000	BRALA19584, BRALA19585, BRALA25857	ORYLA05297
OG0000000	BRALA17283	ORYLA07510, ORYLA04677
OG0000000	BRALA24482	ORYLA04924, ORYLA08113
OG0000000	BRALA16262	ORYLA18170
OG0000000	BRALA18359	ORYLA02858, ORYLA12900
OG0000000	BRALA29522	ORYLA03677
OG0000000	BRALA21476	ORYLA11446
OG0000000	BRALA00115	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	BRALA11736	ORYLA04170, ORYLA18990
OG0000000	BRALA00116	ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	BRALA11734	ORYLA09108
OG0000000	BRALA00121	ORYLA08249, ORYLA17160
OG0000000	BRALA00118	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	BRALA00439, BRALA26541	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	BRALA00079	ORYLA08225, ORYLA06162
OG0000000	BRALA34448	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	BRALA00124	ORYLA01827, ORYLA05617
OG0000000	BRALA11733	ORYLA01029, ORYLA04459
OG0000000	BRALA00135	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	BRALA30674	ORYLA05044, ORYLA00932
OG0000000	BRALA30673	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	BRALA17840	ORYLA10060
OG0000001	BRALA14819	ORYLA01580
OG0000001	BRALA00762, BRALA09667, BRALA20490, BRALA27259	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	BRALA25322, BRALA21156	ORYLA02547
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500	ORYLA00438
OG0000002	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468	ORYLA03051
OG0000002	BRALA20754	ORYLA03052, ORYLA16692
OG0000002	BRALA27121	ORYLA13467, ORYLA16691
OG0000004	BRALA03918	ORYLA08163
OG0000004	BRALA02003, BRALA02015	ORYLA04400, ORYLA08919
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234	ORYLA11550
OG0000006	BRALA03676	ORYLA04794
OG0000006	BRALA06686	ORYLA13568, ORYLA06565
OG0000006	BRALA19242	ORYLA20407, ORYLA03595
OG0000006	BRALA06109	ORYLA03421, ORYLA09483
OG0000006	BRALA23800	ORYLA09038
OG0000006	BRALA07568, BRALA29276	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	BRALA22280	ORYLA10511, ORYLA11827
OG0000006	BRALA06185	ORYLA16517
OG0000006	BRALA06182	ORYLA16515
OG0000006	BRALA17603	ORYLA17394
OG0000006	BRALA03602	ORYLA05082
OG0000006	BRALA17591	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	BRALA24372	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	BRALA24994	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	BRALA22628	ORYLA04691
OG0000007	BRALA03259	ORYLA13334
OG0000007	BRALA13447, BRALA13448	ORYLA14937, ORYLA17526
OG0000007	BRALA20872, BRALA20870	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	BRALA01304	ORYLA13596
OG0000007	BRALA31416	ORYLA10719
OG0000007	BRALA11149	ORYLA18472
OG0000007	BRALA03260	ORYLA15197
OG0000007	BRALA20579	ORYLA09030
OG0000007	BRALA03282	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	BRALA25787	ORYLA13010
OG0000007	BRALA26097	ORYLA03471, ORYLA17615
OG0000007	BRALA22487	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	BRALA06491	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	BRALA18647	ORYLA16317
OG0000007	BRALA05625	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	BRALA30788	ORYLA10158, ORYLA04736
OG0000008	BRALA05591	ORYLA06372, ORYLA06647, ORYLA13248
OG0000008	BRALA27340	ORYLA02437, ORYLA18129
OG0000008	BRALA20539	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014	ORYLA18857
OG0000008	BRALA28057	ORYLA13726
OG0000008	BRALA20418	ORYLA15397
OG0000008	BRALA19645	ORYLA01552, ORYLA11813
OG0000010	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209	ORYLA12063, ORYLA05561
OG0000010	BRALA24210, BRALA03886	ORYLA06892, ORYLA19685, ORYLA19686
OG0000010	BRALA01026, BRALA09806	ORYLA03275, ORYLA06010, ORYLA03414
OG0000010	BRALA23756, BRALA23757, BRALA23755, BRALA23754	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136
OG0000010	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969	ORYLA18230
OG0000011	BRALA26291	ORYLA04501
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	ORYLA07628
OG0000012	BRALA22947	ORYLA15199
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456	ORYLA07442, ORYLA17297, ORYLA15314
OG0000014	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196	ORYLA04835, ORYLA19923
OG0000014	BRALA14079	ORYLA15682
OG0000014	BRALA28626, BRALA28625, BRALA28624	ORYLA11600, ORYLA01088
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	ORYLA07812, ORYLA17200
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858	ORYLA04638
OG0000015	BRALA22448	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	BRALA22447	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	BRALA00485	ORYLA12720, ORYLA00945
OG0000016	BRALA32113, BRALA10406	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	BRALA12120, BRALA09688	ORYLA09921
OG0000016	BRALA24127	ORYLA00030
OG0000016	BRALA22170	ORYLA11245, ORYLA15380
OG0000018	BRALA27097, BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799	ORYLA02836, ORYLA14501
OG0000018	BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	BRALA00002	ORYLA16405, ORYLA07040
OG0000019	BRALA00404, BRALA00405	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	BRALA12010	ORYLA09327
OG0000020	BRALA09135	ORYLA12531
OG0000020	BRALA27241	ORYLA15493
OG0000020	BRALA28848	ORYLA10559
OG0000020	BRALA05608	ORYLA06663
OG0000020	BRALA18984	ORYLA16080
OG0000020	BRALA21902, BRALA16840	ORYLA11359
OG0000020	BRALA05743, BRALA25854, BRALA14414	ORYLA19795
OG0000020	BRALA16287	ORYLA09855
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	ORYLA06900
OG0000020	BRALA14062	ORYLA09950
OG0000020	BRALA11167	ORYLA16727
OG0000020	BRALA27392	ORYLA06780
OG0000020	BRALA11912	ORYLA01097, ORYLA00349
OG0000020	BRALA12599	ORYLA02546
OG0000020	BRALA10628	ORYLA06519
OG0000021	BRALA18963	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	BRALA18043	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905
OG0000021	BRALA22428	ORYLA12641, ORYLA05479
OG0000021	BRALA30352	ORYLA03698, ORYLA17601
OG0000021	BRALA34639, BRALA31905	ORYLA04373
OG0000021	BRALA06012	ORYLA12092
OG0000021	BRALA20360, BRALA20164	ORYLA06753
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	ORYLA04245
OG0000023	BRALA34393, BRALA34449, BRALA33273	ORYLA08126
