Orthogroup	BRALA	CAPO3
OG0000003	BRALA07619, BRALA34994, BRALA34493, BRALA07602, BRALA07598, BRALA23609, BRALA32340, BRALA28950, BRALA33939, BRALA01916, BRALA04606, BRALA11277, BRALA03414, BRALA35199, BRALA21392, BRALA32239, BRALA17860, BRALA17865, BRALA17861, BRALA17866, BRALA03419, BRALA35907, BRALA31353, BRALA11278, BRALA27165, BRALA34993, BRALA18601, BRALA05750, BRALA07140, BRALA25224, BRALA30232, BRALA07610, BRALA09721, BRALA02709, BRALA24754, BRALA19933, BRALA07599, BRALA23550, BRALA02710, BRALA31768, BRALA11276, BRALA10124, BRALA01167, BRALA02711, BRALA07070, BRALA31766, BRALA29565, BRALA07069, BRALA20351, BRALA07154, BRALA23384, BRALA02712, BRALA07571, BRALA14502, BRALA01914, BRALA01313, BRALA17936, BRALA23610, BRALA23910, BRALA01314, BRALA16566	CAPO301945
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416, BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234, BRALA25414, BRALA34368, BRALA00382, BRALA31589, BRALA15577, BRALA04488, BRALA16471, BRALA07928, BRALA04490, BRALA04489, BRALA08015, BRALA08013, BRALA16467, BRALA16464, BRALA31590, BRALA24865, BRALA24860, BRALA24861, BRALA00380, BRALA26703, BRALA00381, BRALA15288, BRALA15287	CAPO308356, CAPO307946
OG0000006	BRALA22628	CAPO302620
OG0000007	BRALA26097, BRALA14947, BRALA22487	CAPO304209
OG0000007	BRALA06491	CAPO303284
OG0000007	BRALA05625	CAPO300935
OG0000007	BRALA30788	CAPO305123
OG0000012	BRALA09401, BRALA09395, BRALA26096, BRALA05662, BRALA23780, BRALA12214, BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215, BRALA00546, BRALA02238, BRALA10950, BRALA10951, BRALA20781, BRALA12637, BRALA12640, BRALA12639, BRALA12638, BRALA09310, BRALA03124, BRALA11928, BRALA12632, BRALA12634, BRALA12636, BRALA22025, BRALA22013, BRALA27149, BRALA13116, BRALA30617, BRALA01515, BRALA11191, BRALA13154, BRALA13813, BRALA30615, BRALA30614, BRALA30613, BRALA35525, BRALA30616, BRALA30612, BRALA33283, BRALA20556, BRALA29089, BRALA20557, BRALA20559, BRALA22947, BRALA08457, BRALA20558, BRALA12213, BRALA23779, BRALA32735	CAPO302923, CAPO302931
OG0000015	BRALA06628, BRALA21863, BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858, BRALA21865, BRALA07699, BRALA22448, BRALA22447, BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	CAPO302521
OG0000016	BRALA00485	CAPO300049
