Orthogroup	BRALA	NEMVE
OG0000000	BRALA16375, BRALA16376	NEMVE15388
OG0000000	BRALA00047	NEMVE01834
OG0000000	BRALA18569	NEMVE15910, NEMVE03396
OG0000000	BRALA19584, BRALA19585, BRALA25857	NEMVE09627, NEMVE02365
OG0000000	BRALA25847	NEMVE04822
OG0000000	BRALA24482	NEMVE05015
OG0000000	BRALA16262	NEMVE11246
OG0000000	BRALA16263	NEMVE02875
OG0000000	BRALA16378, BRALA16379	NEMVE01399
OG0000000	BRALA29522	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	BRALA21349	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	BRALA18600	NEMVE07200
OG0000000	BRALA28387	NEMVE02364
OG0000000	BRALA21476	NEMVE04732, NEMVE07124
OG0000000	BRALA00440	NEMVE03387
OG0000000	BRALA11736	NEMVE06009
OG0000000	BRALA00116	NEMVE05929
OG0000000	BRALA11734	NEMVE05986
OG0000000	BRALA00119, BRALA00120, BRALA00121, BRALA00118	NEMVE15281
OG0000000	BRALA00439, BRALA26541	NEMVE07211
OG0000000	BRALA00079	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	BRALA34448	NEMVE05017
OG0000000	BRALA11733	NEMVE15350
OG0000000	BRALA00135	NEMVE07203
OG0000000	BRALA30674	NEMVE17362
OG0000000	BRALA30673	NEMVE17363
OG0000000	BRALA17840	NEMVE14999, NEMVE10106
OG0000001	BRALA22338, BRALA22325	NEMVE07386
OG0000001	BRALA22324, BRALA14825	NEMVE09207, NEMVE01893, NEMVE23127
OG0000001	BRALA34804	NEMVE05041, NEMVE09133
OG0000001	BRALA14819	NEMVE17781
OG0000001	BRALA27259	NEMVE11138
OG0000001	BRALA21021	NEMVE05643, NEMVE12281
OG0000001	BRALA25322, BRALA21156	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586, BRALA28279, BRALA02635, BRALA12500, BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500, BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468, BRALA10501, BRALA20754, BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	BRALA35199	NEMVE03291
OG0000003	BRALA21392, BRALA32239	NEMVE03233, NEMVE08502
