Orthogroup	BRALA	AMPFI_ok
OG0000000	BRALA16375, BRALA16376	AMPFI_12098
OG0000000	BRALA00047	AMPFI_16114
OG0000000	BRALA19584, BRALA19585, BRALA25857	AMPFI_11894
OG0000000	BRALA24482	AMPFI_12336
OG0000000	BRALA16263	AMPFI_16025
OG0000000	BRALA18359	AMPFI_08228
OG0000000	BRALA28387	AMPFI_02168
OG0000000	BRALA21476	AMPFI_10716
OG0000000	BRALA11734	AMPFI_19781
OG0000000	BRALA34448	AMPFI_12478
OG0000000	BRALA11733	AMPFI_20876
OG0000000	BRALA30674	AMPFI_21326
OG0000000	BRALA17840	AMPFI_10655
OG0000001	BRALA22338, BRALA22325	AMPFI_19192
OG0000001	BRALA22324, BRALA14825	AMPFI_06127, AMPFI_11237, AMPFI_13782, AMPFI_23521
OG0000001	BRALA14819	AMPFI_19631
OG0000001	BRALA09015	AMPFI_25090
OG0000001	BRALA12714, BRALA00678	AMPFI_03160
OG0000001	BRALA00762, BRALA09667, BRALA20490	AMPFI_18148, AMPFI_13477
OG0000001	BRALA21021	AMPFI_25597, AMPFI_23362, AMPFI_20167
OG0000001	BRALA25322, BRALA21156	AMPFI_07438, AMPFI_25876, AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000001	BRALA19588, BRALA19586	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487, AMPFI_00879
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	AMPFI_23102
OG0000002	BRALA20754	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336
OG0000002	BRALA27121	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000002	BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797	AMPFI_24271
OG0000003	BRALA34994, BRALA34493, BRALA07602, BRALA07598, BRALA23609	AMPFI_15515
OG0000003	BRALA33939, BRALA01916	AMPFI_12750
OG0000003	BRALA11277	AMPFI_04384
OG0000003	BRALA03414	AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419
OG0000003	BRALA17860, BRALA17865, BRALA17861, BRALA17866, BRALA03419	AMPFI_00352
OG0000003	BRALA31353	AMPFI_07815
OG0000003	BRALA11278	AMPFI_25889
OG0000003	BRALA27165	AMPFI_11277
OG0000003	BRALA34993, BRALA18601	AMPFI_13080, AMPFI_14508
OG0000003	BRALA24754	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	BRALA31768	AMPFI_09603, AMPFI_21929, AMPFI_23519
OG0000003	BRALA11276	AMPFI_13846
OG0000003	BRALA10124	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596
OG0000003	BRALA02711	AMPFI_16630, AMPFI_04001
OG0000003	BRALA07070	AMPFI_18895
OG0000003	BRALA31766	AMPFI_14207
OG0000003	BRALA29565	AMPFI_01423, AMPFI_22677
OG0000003	BRALA02712, BRALA07571	AMPFI_04480
OG0000003	BRALA14502	AMPFI_02366
OG0000003	BRALA01914	AMPFI_18391, AMPFI_13137
OG0000003	BRALA01313	AMPFI_11583
OG0000003	BRALA17936, BRALA23610	AMPFI_04899
OG0000003	BRALA23910, BRALA01314, BRALA16566	AMPFI_09604
OG0000004	BRALA16167	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	BRALA27667	AMPFI_07977
OG0000004	BRALA03961	AMPFI_08501, AMPFI_13880
OG0000004	BRALA02003, BRALA02015	AMPFI_04189, AMPFI_03317
OG0000005	BRALA00382	AMPFI_18504
OG0000005	BRALA31589	AMPFI_17853
