Orthogroup	BRALA	ASTMX
OG0000000	BRALA16375, BRALA16376	ASTMX02793
OG0000000	BRALA00047	ASTMX17483, ASTMX11444
OG0000000	BRALA19584, BRALA19585, BRALA25857	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	BRALA17283	ASTMX19308, ASTMX03273
OG0000000	BRALA24482	ASTMX13970
OG0000000	BRALA16262	ASTMX05790, ASTMX17479
OG0000000	BRALA18359	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	BRALA29522	ASTMX14561, ASTMX07042
OG0000000	BRALA24707	ASTMX10847
OG0000000	BRALA28387	ASTMX20299
OG0000000	BRALA21476	ASTMX10234
OG0000000	BRALA00115	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	BRALA11736	ASTMX16946, ASTMX11106
OG0000000	BRALA00116	ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	BRALA11734	ASTMX06178
OG0000000	BRALA00120	ASTMX16049
OG0000000	BRALA00121	ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	BRALA00118	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	BRALA00439, BRALA26541	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	BRALA00079	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	BRALA34448	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	BRALA00124	ASTMX01905, ASTMX20159
OG0000000	BRALA11733	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	BRALA00135	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	BRALA30674	ASTMX11612, ASTMX02802
OG0000000	BRALA30673	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	BRALA17840	ASTMX08520
OG0000001	BRALA00762, BRALA09667, BRALA20490, BRALA27259	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000001	BRALA25322, BRALA21156	ASTMX07755, ASTMX07756
OG0000001	BRALA19588, BRALA19586	ASTMX07323, ASTMX16759, ASTMX18180
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500	ASTMX13878
