Orthogroup	BRALA	DANRE
OG0000000	BRALA16375, BRALA16376	DANRE06436, DANRE05762
OG0000000	BRALA00047	DANRE24636, DANRE35926
OG0000000	BRALA19584, BRALA19585, BRALA25857	DANRE04899, DANRE05022, DANRE06714
OG0000000	BRALA17283	DANRE37544, DANRE11226
OG0000000	BRALA24482	DANRE11232, DANRE16357, DANRE04386
OG0000000	BRALA16262	DANRE05964, DANRE19591, DANRE19592
OG0000000	BRALA18359	DANRE34117, DANRE19532, DANRE36202
OG0000000	BRALA29522	DANRE02487, DANRE13405
OG0000000	BRALA24707	DANRE00977
OG0000000	BRALA28387	DANRE04328, DANRE04330, DANRE04329
OG0000000	BRALA21476	DANRE18867, DANRE18868
OG0000000	BRALA00115	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	BRALA11736	DANRE35277, DANRE35276, DANRE17824
OG0000000	BRALA00116	DANRE29250, DANRE09540
OG0000000	BRALA11734	DANRE24278
OG0000000	BRALA00120	DANRE29241, DANRE29242
OG0000000	BRALA00121	DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	BRALA00118	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	BRALA00439, BRALA26541	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	BRALA00079	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	BRALA34448	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	BRALA00124	DANRE09538, DANRE29237
OG0000000	BRALA11733	DANRE06945, DANRE06944, DANRE20512
OG0000000	BRALA00135	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	BRALA30674	DANRE05977, DANRE05743
OG0000000	BRALA30673	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000001	BRALA00762, BRALA09667, BRALA20490, BRALA27259	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	BRALA19588, BRALA19586	DANRE29550
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500	DANRE16673
OG0000002	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468	DANRE07411, DANRE07410, DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573
OG0000002	BRALA20754	DANRE28739
OG0000002	BRALA27121	DANRE23574
OG0000003	BRALA30232, BRALA07610	DANRE05700
OG0000004	BRALA09016	DANRE17331
OG0000004	BRALA03918	DANRE15804, DANRE15805, DANRE05052, DANRE05051, DANRE04104, DANRE04103
OG0000004	BRALA02003, BRALA02015	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234	DANRE18161
OG0000005	BRALA31589	DANRE17266
OG0000006	BRALA03676	DANRE07563
OG0000006	BRALA17590	DANRE02891
OG0000006	BRALA06686	DANRE35529, DANRE26614, DANRE26613
OG0000006	BRALA19242	DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	BRALA06109	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	BRALA23800	DANRE20396, DANRE24336
OG0000006	BRALA07568, BRALA29276	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	BRALA22280	DANRE11213, DANRE11212, DANRE11601
OG0000006	BRALA06185	DANRE30064, DANRE15483
OG0000006	BRALA06182	DANRE30060
OG0000006	BRALA17603	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	BRALA03602	DANRE05395
OG0000006	BRALA17591	DANRE20981, DANRE28318, DANRE19321
