Orthogroup	DANRE	LYTVA_ok
OG0000000	DANRE06436, DANRE05762	LYTVA_01679
OG0000000	DANRE24636, DANRE35926	LYTVA_23170
OG0000000	DANRE04899, DANRE05022, DANRE06714	LYTVA_01380
OG0000000	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386	LYTVA_01827
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	LYTVA_18988
OG0000000	DANRE02487, DANRE13405	LYTVA_13103
OG0000000	DANRE04328, DANRE04330, DANRE04329	LYTVA_22602
OG0000000	DANRE18867, DANRE18868	LYTVA_19974
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	LYTVA_08678
OG0000000	DANRE24278	LYTVA_23667
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	LYTVA_22477
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	LYTVA_22480
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	LYTVA_23047
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	LYTVA_14838
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	LYTVA_06897
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	LYTVA_22476
OG0000000	DANRE06945, DANRE06944, DANRE20512	LYTVA_22714
OG0000000	DANRE24055	LYTVA_09826
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	LYTVA_19015
OG0000000	DANRE41165, DANRE05977, DANRE05743	LYTVA_26599
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	LYTVA_17046
OG0000000	DANRE11796, DANRE11795, DANRE18798	LYTVA_23349
OG0000001	DANRE16475, DANRE16476, DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406	LYTVA_19190, LYTVA_26158
OG0000001	DANRE29550	LYTVA_04837, LYTVA_04757
OG0000002	DANRE16673	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000002	DANRE38244, DANRE38242, DANRE38243	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000004	DANRE10231	LYTVA_03323
OG0000004	DANRE31040	LYTVA_03048, LYTVA_08289, LYTVA_29289, LYTVA_22297, LYTVA_07389, LYTVA_03537
OG0000004	DANRE41389, DANRE41390	LYTVA_23131
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	LYTVA_11730
OG0000005	DANRE11160	LYTVA_12392
OG0000006	DANRE07563	LYTVA_27651
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	LYTVA_15901
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	LYTVA_21289
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	LYTVA_12321
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	LYTVA_25253
OG0000006	DANRE11213, DANRE11212, DANRE11601	LYTVA_07373
OG0000006	DANRE30064, DANRE15483	LYTVA_23957
OG0000006	DANRE30060	LYTVA_14827
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	LYTVA_29757
OG0000006	DANRE05395	LYTVA_18169
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	LYTVA_29412, LYTVA_25462
OG0000006	DANRE11156, DANRE11155	LYTVA_16832
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	LYTVA_16844
OG0000006	DANRE04654, DANRE04655	LYTVA_08878
OG0000007	DANRE26275, DANRE17982	LYTVA_29912
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	LYTVA_22273
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	LYTVA_23216
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	LYTVA_27359
OG0000007	DANRE23214, DANRE28394, DANRE07751, DANRE07750	LYTVA_29395
OG0000007	DANRE12664	LYTVA_10898
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	LYTVA_17245
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	LYTVA_04121
OG0000007	DANRE21702	LYTVA_25288
OG0000007	DANRE08320, DANRE33659	LYTVA_03206
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	LYTVA_12379, LYTVA_12378
OG0000007	DANRE30028, DANRE03038, DANRE28801	LYTVA_12480
OG0000007	DANRE30495, DANRE03657, DANRE03658	LYTVA_06652
OG0000007	DANRE02453, DANRE09326, DANRE09325	LYTVA_19839
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	LYTVA_05177
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	LYTVA_19305
OG0000012	DANRE38177, DANRE38176	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	DANRE12655, DANRE12656, DANRE12659	LYTVA_12515, LYTVA_06149
OG0000014	DANRE17251, DANRE43403	LYTVA_13955
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	LYTVA_23372
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	LYTVA_26004
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	LYTVA_26002
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	LYTVA_09631, LYTVA_17348, LYTVA_06152
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	LYTVA_02179, LYTVA_09460, LYTVA_20745
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	LYTVA_21831, LYTVA_18288
OG0000016	DANRE35611	LYTVA_27143
OG0000016	DANRE02012	LYTVA_03299, LYTVA_00787
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138, DANRE32666, DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202, DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	LYTVA_18794
