Orthogroup	DANRE	DROME
OG0000000	DANRE06436, DANRE05762	DROME16218, DROME16219
OG0000000	DANRE24636, DANRE35926	DROME04813
OG0000000	DANRE04899, DANRE05022, DANRE06714	DROME14805, DROME14806
OG0000000	DANRE11234, DANRE11232, DANRE16357, DANRE04386	DROME15463, DROME15462
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	DROME11250
OG0000000	DANRE34117, DANRE19532, DANRE36202	DROME21328, DROME21327
OG0000000	DANRE00977	DROME03422
OG0000000	DANRE04328, DANRE04330, DANRE04329	DROME16097
OG0000000	DANRE18867, DANRE18868	DROME01107
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	DROME13389, DROME13388
OG0000000	DANRE35277, DANRE35276, DANRE17824	DROME11314
OG0000000	DANRE24278	DROME13415
OG0000000	DANRE29241, DANRE29242	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335	DROME13413
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	DROME13414
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	DROME10025
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	DROME16399
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	DROME17718
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	DROME15341, DROME15342, DROME15343
OG0000000	DANRE06945, DANRE06944, DANRE20512	DROME03546, DROME03545
OG0000000	DANRE24055	DROME13420
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	DROME04989
OG0000000	DANRE41165, DANRE05977, DANRE05743	DROME16202
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657, DANRE11796, DANRE11795, DANRE18798	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	DANRE23574	DROME14626, DROME12189, DROME02894
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000005	DANRE18161	DROME15227
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	DROME08113
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	DROME01994, DROME01995, DROME01996
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	DROME07928
OG0000006	DANRE20396, DANRE24336	DROME00104
OG0000006	DANRE11213, DANRE11212, DANRE11601	DROME19258, DROME19257, DROME19259
OG0000006	DANRE30064, DANRE15483	DROME21396
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	DANRE05395	DROME19786, DROME00664
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	DROME18045, DROME18046, DROME18044
OG0000006	DANRE11156, DANRE11155	DROME00147, DROME00148
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	DROME19780, DROME19779, DROME19781
OG0000006	DANRE04654, DANRE04655	DROME21674, DROME21675, DROME21673
OG0000007	DANRE26275, DANRE17982	DROME12545
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	DROME16994, DROME16993
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	DROME17568, DROME17567
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210, DANRE23214, DANRE28394, DANRE07751, DANRE07750, DANRE12664, DANRE03566	DROME09292
OG0000007	DANRE08320, DANRE33659	DROME14142
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	DROME19603, DROME19602
OG0000007	DANRE30028, DANRE03038, DANRE28801	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	DROME21792, DROME00712, DROME00713
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	DANRE36653, DANRE31436, DANRE25708, DANRE25705, DANRE25707, DANRE25706	DROME15136
OG0000010	DANRE25470	DROME04358
OG0000010	DANRE21309, DANRE21308	DROME12016
OG0000010	DANRE01777, DANRE23482, DANRE09723, DANRE09722, DANRE13204, DANRE13205, DANRE09716, DANRE09718, DANRE09717, DANRE09779, DANRE09778, DANRE01775, DANRE01774, DANRE01776, DANRE23481	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	DANRE38177, DANRE38176	DROME14687, DROME14686
