Orthogroup	DANRE	MOUSE
OG0000000	DANRE06436	MOUSE35835
OG0000000	DANRE05762	MOUSE46731
OG0000000	DANRE24636	MOUSE35499
OG0000000	DANRE35926	MOUSE22971
OG0000000	DANRE04899	MOUSE40493
OG0000000	DANRE05022	MOUSE21445
OG0000000	DANRE37544	MOUSE40450
OG0000000	DANRE11226	MOUSE21440
OG0000000	DANRE11234	MOUSE46719
OG0000000	DANRE11232	MOUSE46718
OG0000000	DANRE16357	MOUSE35959
OG0000000	DANRE40795	MOUSE47799
OG0000000	DANRE05964	MOUSE46854
OG0000000	DANRE19591, DANRE19592	MOUSE36974
OG0000000	DANRE34117, DANRE19532	MOUSE25533
OG0000000	DANRE36202	MOUSE37056
OG0000000	DANRE02487	MOUSE09344
OG0000000	DANRE13405	MOUSE50563
OG0000000	DANRE00977	MOUSE50880
OG0000000	DANRE04328, DANRE04330, DANRE04329	MOUSE20961
OG0000000	DANRE18867, DANRE18868	MOUSE24692
OG0000000	DANRE14339, DANRE14340	MOUSE39799
OG0000000	DANRE35277, DANRE35276	MOUSE38794
OG0000000	DANRE17824	MOUSE36509
OG0000000	DANRE29250	MOUSE05221
OG0000000	DANRE09540	MOUSE39801
OG0000000	DANRE24278	MOUSE38795
OG0000000	DANRE29240	MOUSE05214, MOUSE05213
OG0000000	DANRE23428	MOUSE14888
OG0000000	DANRE29241	MOUSE05215
OG0000000	DANRE29242	MOUSE39813, MOUSE39810
OG0000000	DANRE03837, DANRE29246	MOUSE05216
OG0000000	DANRE23430, DANRE23429, DANRE01703	MOUSE14889
OG0000000	DANRE23433	MOUSE14890, MOUSE14891
OG0000000	DANRE29249	MOUSE05218
OG0000000	DANRE29247, DANRE03838	MOUSE05217
OG0000000	DANRE14338	MOUSE39807
OG0000000	DANRE23432, DANRE23431	MOUSE14885
OG0000000	DANRE38770	MOUSE35589, MOUSE35590
OG0000000	DANRE03853, DANRE03854	MOUSE05644
OG0000000	DANRE14679, DANRE08590	MOUSE06967
OG0000000	DANRE06002	MOUSE36056
OG0000000	DANRE20421, DANRE06649	MOUSE09425
OG0000000	DANRE05182, DANRE16636	MOUSE46881
OG0000000	DANRE11732	MOUSE07113
OG0000000	DANRE11786, DANRE11785, DANRE18799	MOUSE28108
OG0000000	DANRE23427	MOUSE14887
OG0000000	DANRE41435	MOUSE39814, MOUSE26488
OG0000000	DANRE29239, DANRE29238	MOUSE05211
OG0000000	DANRE09538	MOUSE39816
OG0000000	DANRE29237	MOUSE39817
OG0000000	DANRE06945, DANRE06944	MOUSE54681
OG0000000	DANRE20512	MOUSE19588
OG0000000	DANRE24055	MOUSE42582
OG0000000	DANRE14325, DANRE14326	MOUSE39822
OG0000000	DANRE41441	MOUSE26482, MOUSE26483
OG0000000	DANRE41165	MOUSE12761
OG0000000	DANRE05977	MOUSE36110
OG0000000	DANRE41166	MOUSE12760
OG0000000	DANRE05745, DANRE05744	MOUSE21123
OG0000000	DANRE06657	MOUSE17205
OG0000000	DANRE11796, DANRE11795	MOUSE28110
OG0000000	DANRE18798	MOUSE28109
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435
OG0000001	DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663	MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	DANRE16673	MOUSE31557, MOUSE31558
OG0000002	DANRE07411, DANRE07410	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000002	DANRE38244, DANRE38242, DANRE38243	MOUSE45935
OG0000002	DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	DANRE28739	MOUSE33129
OG0000002	DANRE23574	MOUSE15413, MOUSE15412
OG0000004	DANRE17331	MOUSE12693, MOUSE12692
OG0000004	DANRE30388, DANRE30387, DANRE30389, DANRE30390	MOUSE06318, MOUSE06317, MOUSE06316
OG0000004	DANRE15804, DANRE15805	MOUSE31437
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042	MOUSE46906, MOUSE46905
OG0000004	DANRE30830, DANRE30828, DANRE30829, DANRE31045	MOUSE41373, MOUSE41374
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
