Orthogroup	DANRE	ORYLA
OG0000000	DANRE05762	ORYLA04928
OG0000000	DANRE00109	ORYLA02333
OG0000000	DANRE24636	ORYLA07037
OG0000000	DANRE35926	ORYLA08538
OG0000000	DANRE05022	ORYLA05297
OG0000000	DANRE37544	ORYLA07510
OG0000000	DANRE11226	ORYLA04677
OG0000000	DANRE04898	ORYLA10797
OG0000000	DANRE16356	ORYLA00843
OG0000000	DANRE11234	ORYLA04925
OG0000000	DANRE11232	ORYLA04924
OG0000000	DANRE16357	ORYLA08113
OG0000000	DANRE05964, DANRE19591, DANRE19592	ORYLA18170
OG0000000	DANRE34117, DANRE19532	ORYLA02858
OG0000000	DANRE36202	ORYLA12900
OG0000000	DANRE13405	ORYLA03677
OG0000000	DANRE18867, DANRE18868	ORYLA11446
OG0000000	DANRE03839, DANRE29251	ORYLA08246
OG0000000	DANRE14339, DANRE14340	ORYLA01821
OG0000000	DANRE35277, DANRE35276	ORYLA04170
OG0000000	DANRE17824	ORYLA18990
OG0000000	DANRE29250	ORYLA17164
OG0000000	DANRE09540	ORYLA01822
OG0000000	DANRE24278	ORYLA09108
OG0000000	DANRE29240	ORYLA17159
OG0000000	DANRE23428	ORYLA15774
OG0000000	DANRE03837, DANRE29246	ORYLA08249
OG0000000	DANRE23433	ORYLA15776
OG0000000	DANRE29249	ORYLA17162
OG0000000	DANRE41434	ORYLA09898
OG0000000	DANRE29247, DANRE03838	ORYLA08248
OG0000000	DANRE23432, DANRE23431	ORYLA15775
OG0000000	DANRE38770	ORYLA09198
OG0000000	DANRE41587, DANRE15352, DANRE15353	ORYLA12232
OG0000000	DANRE03853, DANRE03854	ORYLA08225
OG0000000	DANRE14679, DANRE08590	ORYLA06162
OG0000000	DANRE06002	ORYLA14471
OG0000000	DANRE05182, DANRE16636	ORYLA05095
OG0000000	DANRE11732	ORYLA10061
OG0000000	DANRE11786, DANRE11785, DANRE18799	ORYLA11798
OG0000000	DANRE23427	ORYLA15773
OG0000000	DANRE41435	ORYLA09896
OG0000000	DANRE29239, DANRE29238	ORYLA17158
OG0000000	DANRE09539	ORYLA05618
OG0000000	DANRE09538	ORYLA01827, ORYLA05617
OG0000000	DANRE06945, DANRE06944	ORYLA01029
OG0000000	DANRE20512	ORYLA04459
OG0000000	DANRE24055	ORYLA04630
OG0000000	DANRE29235, DANRE29234	ORYLA17155
OG0000000	DANRE14325, DANRE14326	ORYLA01830
OG0000000	DANRE41441	ORYLA09892
OG0000000	DANRE41165	ORYLA17729
OG0000000	DANRE05977	ORYLA00932
OG0000000	DANRE05745, DANRE05744	ORYLA05045
OG0000000	DANRE06657	ORYLA01322
OG0000000	DANRE11796, DANRE11795	ORYLA10603
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576
OG0000001	DANRE13812	ORYLA01896, ORYLA01897
OG0000001	DANRE15519	ORYLA07199
OG0000001	DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406	ORYLA07206, ORYLA07208, ORYLA07207
OG0000002	DANRE16673	ORYLA00438
OG0000002	DANRE07411, DANRE07410	ORYLA03051
OG0000002	DANRE38244, DANRE38242, DANRE38243	ORYLA12350
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827	ORYLA11640, ORYLA16693
OG0000002	DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588	ORYLA13465
OG0000002	DANRE17903	ORYLA13463, ORYLA13464
OG0000002	DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919	ORYLA13468, ORYLA13466, ORYLA13469
OG0000002	DANRE28739	ORYLA03052, ORYLA16692
OG0000002	DANRE23574	ORYLA13467, ORYLA16691
OG0000004	DANRE30388, DANRE30387, DANRE30389, DANRE30390	ORYLA16672
OG0000004	DANRE05052, DANRE05051, DANRE04104, DANRE04103	ORYLA08163
OG0000004	DANRE33319	ORYLA04400
OG0000004	DANRE29697	ORYLA08919
OG0000005	DANRE20576	ORYLA03896
OG0000005	DANRE20588, DANRE20587	ORYLA03897
OG0000005	DANRE20586	ORYLA03895
OG0000005	DANRE11253, DANRE11252, DANRE11254	ORYLA19606
OG0000005	DANRE11251, DANRE11250	ORYLA19605
OG0000005	DANRE02588	ORYLA00089
OG0000005	DANRE20012, DANRE20011, DANRE20010	ORYLA04143
OG0000005	DANRE20517, DANRE20518	ORYLA04443
OG0000005	DANRE17265	ORYLA11947
OG0000005	DANRE14948	ORYLA01858
OG0000005	DANRE27010	ORYLA06713, ORYLA06714
OG0000005	DANRE24204	ORYLA09160
OG0000005	DANRE18161	ORYLA11550
OG0000005	DANRE11160	ORYLA04733
OG0000006	DANRE07563	ORYLA04794
OG0000006	DANRE40167	ORYLA13204
OG0000006	DANRE35529	ORYLA13568
OG0000006	DANRE26614, DANRE26613	ORYLA06565
OG0000006	DANRE06496, DANRE06495	ORYLA20407
OG0000006	DANRE08940	ORYLA03595
OG0000006	DANRE07561, DANRE07562	ORYLA03421
OG0000006	DANRE42479, DANRE42480	ORYLA09483
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	ORYLA13382
OG0000006	DANRE20396, DANRE24336	ORYLA09038
OG0000006	DANRE40393	ORYLA15680
OG0000006	DANRE12604	ORYLA07217
