Orthogroup	DANRE	NEMVE
OG0000000	DANRE01559, DANRE05955	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947
OG0000000	DANRE06436, DANRE05762	NEMVE15388
OG0000000	DANRE24636, DANRE35926	NEMVE01834
OG0000000	DANRE04899, DANRE05022, DANRE06714	NEMVE09627, NEMVE02365
OG0000000	DANRE04898	NEMVE09082, NEMVE00451
OG0000000	DANRE11234, DANRE11232, DANRE16357, DANRE04386	NEMVE05015
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	NEMVE11246
OG0000000	DANRE02487, DANRE13405	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	DANRE04328, DANRE04330, DANRE04329	NEMVE02364
OG0000000	DANRE18867, DANRE18868	NEMVE04732, NEMVE07124
OG0000000	DANRE43385	NEMVE03466
OG0000000	DANRE35277, DANRE35276, DANRE17824	NEMVE06009
OG0000000	DANRE29250, DANRE09540	NEMVE05929
OG0000000	DANRE24278	NEMVE05986
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	NEMVE15281
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	NEMVE07211
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	NEMVE10161
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	NEMVE05017
OG0000000	DANRE06945, DANRE06944, DANRE20512, DANRE24055	NEMVE15350
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	NEMVE07203
OG0000000	DANRE05977, DANRE05743	NEMVE17362
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	NEMVE17363
OG0000000	DANRE11796, DANRE11795, DANRE18798	NEMVE10113
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	NEMVE11138
OG0000002	DANRE16673, DANRE07411, DANRE07410, DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573, DANRE38244, DANRE38242, DANRE38243, DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919, DANRE28739, DANRE23574	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000004	DANRE17331	NEMVE02712, NEMVE03345
OG0000004	DANRE41389, DANRE41390	NEMVE08317
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	NEMVE02378
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000005	DANRE17266	NEMVE16926, NEMVE07207
OG0000006	DANRE07563	NEMVE06318
OG0000006	DANRE02891	NEMVE10951
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	NEMVE12700, NEMVE08468
OG0000006	DANRE20396, DANRE24336	NEMVE10906
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	NEMVE21901
OG0000006	DANRE11213, DANRE11212, DANRE11601	NEMVE02590
OG0000006	DANRE30064, DANRE15483	NEMVE03392
OG0000006	DANRE30060	NEMVE06316
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	NEMVE16957
OG0000006	DANRE05395	NEMVE02351
OG0000006	DANRE20981, DANRE28318, DANRE19321	NEMVE14647
OG0000006	DANRE29642, DANRE29641	NEMVE02879
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	NEMVE04712
OG0000006	DANRE11156, DANRE11155	NEMVE13538
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	DANRE04654, DANRE04655	NEMVE08464
OG0000006	DANRE18618	NEMVE06164
OG0000007	DANRE26275, DANRE17982	NEMVE15003
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	NEMVE14764
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	NEMVE13570
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	NEMVE06210
OG0000007	DANRE16014, DANRE16015, DANRE40142	NEMVE02350, NEMVE21807
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	NEMVE09701, NEMVE03333
OG0000007	DANRE23214, DANRE28394, DANRE07751, DANRE07750	NEMVE03816
OG0000007	DANRE03447, DANRE26278, DANRE26279, DANRE17980, DANRE17979, DANRE26277, DANRE17981, DANRE12992, DANRE12991	NEMVE16064
OG0000007	DANRE03039	NEMVE09056
OG0000007	DANRE08320, DANRE33659	NEMVE09467
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	NEMVE03824
OG0000007	DANRE30028, DANRE03038, DANRE28801	NEMVE09051
OG0000007	DANRE30495, DANRE03657, DANRE03658	NEMVE03714
OG0000007	DANRE02453, DANRE09326, DANRE09325	NEMVE09289
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	NEMVE05677
OG0000008	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383	NEMVE06079, NEMVE05558
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	NEMVE12766
OG0000008	DANRE36653, DANRE31436, DANRE25708, DANRE25705, DANRE25707, DANRE25706	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	DANRE21309, DANRE21308	NEMVE08421
