Orthogroup	DANRE	HUMAN
OG0000000	DANRE06436	HUMAN22097
OG0000000	DANRE05762	HUMAN03752
OG0000000	DANRE00109	HUMAN03811
OG0000000	DANRE24636	HUMAN27271
OG0000000	DANRE35926	HUMAN18431
OG0000000	DANRE04899	HUMAN17135
OG0000000	DANRE05022	HUMAN03692
OG0000000	DANRE37544	HUMAN17114
OG0000000	DANRE11226	HUMAN03688
OG0000000	DANRE11234	HUMAN03744
OG0000000	DANRE11232	HUMAN03743
OG0000000	DANRE16357	HUMAN22196
OG0000000	DANRE40795	HUMAN27740
OG0000000	DANRE05964	HUMAN03805
OG0000000	DANRE19591, DANRE19592	HUMAN22626
OG0000000	DANRE34117, DANRE19532	HUMAN29337
OG0000000	DANRE36202	HUMAN01254
OG0000000	DANRE02487	HUMAN28889
OG0000000	DANRE13405	HUMAN05731
OG0000000	DANRE00977	HUMAN05644
OG0000000	DANRE04328, DANRE04330, DANRE04329	HUMAN03433
OG0000000	DANRE18867, DANRE18868	HUMAN02527
OG0000000	DANRE14339, DANRE14340	HUMAN26096
OG0000000	DANRE35277, DANRE35276	HUMAN07512
OG0000000	DANRE17824	HUMAN22413
OG0000000	DANRE29250	HUMAN12896
OG0000000	DANRE09540	HUMAN26097
OG0000000	DANRE24278	HUMAN07513
OG0000000	DANRE29240	HUMAN12904
OG0000000	DANRE23428	HUMAN06517
OG0000000	DANRE29241	HUMAN12902
OG0000000	DANRE29242	HUMAN26102
OG0000000	DANRE03837, DANRE29246	HUMAN12901
OG0000000	DANRE23430, DANRE23429, DANRE01703	HUMAN06515
OG0000000	DANRE23433	HUMAN06518
OG0000000	DANRE29249	HUMAN12899
OG0000000	DANRE29247, DANRE03838	HUMAN12900
OG0000000	DANRE14338	HUMAN26100
OG0000000	DANRE23432, DANRE23431	HUMAN06519
OG0000000	DANRE38770	HUMAN27325
OG0000000	DANRE03853, DANRE03854	HUMAN12743
OG0000000	DANRE14679, DANRE08590	HUMAN26016
OG0000000	DANRE06002	HUMAN22154
OG0000000	DANRE20421, DANRE06649	HUMAN24253
OG0000000	DANRE11732	HUMAN08317
OG0000000	DANRE11786, DANRE11785, DANRE18799	HUMAN18755
OG0000000	DANRE23427	HUMAN06516
OG0000000	DANRE41435	HUMAN26103, HUMAN17903
OG0000000	DANRE29239, DANRE29238	HUMAN12905
OG0000000	DANRE09538	HUMAN26104
OG0000000	DANRE06945, DANRE06944	HUMAN30050
OG0000000	DANRE20512	HUMAN24067
OG0000000	DANRE14325, DANRE14326	HUMAN26107
OG0000000	DANRE41441	HUMAN17898
OG0000000	DANRE41165	HUMAN27579
OG0000000	DANRE05977	HUMAN22230
OG0000000	DANRE41166	HUMAN27580
OG0000000	DANRE05745, DANRE05744	HUMAN03523
OG0000000	DANRE06657	HUMAN24243
OG0000000	DANRE11796, DANRE11795	HUMAN18756
