Orthogroup	DANRE	HELIO_ok
OG0000000	DANRE06436, DANRE05762	HELIO_01999
OG0000000	DANRE04899, DANRE05022, DANRE06714	HELIO_08880
OG0000000	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386	HELIO_06752
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	HELIO_10666
OG0000000	DANRE00977	HELIO_03148
OG0000000	DANRE04328, DANRE04330, DANRE04329	HELIO_02157
OG0000000	DANRE18867, DANRE18868	HELIO_11687
OG0000000	DANRE24278	HELIO_04988
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	HELIO_00534
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	HELIO_08573
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	HELIO_06829
OG0000000	DANRE11796, DANRE11795, DANRE18798	HELIO_00816
OG0000001	DANRE29550	HELIO_06891, HELIO_10957
OG0000002	DANRE16673	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237
OG0000002	DANRE38244, DANRE38242, DANRE38243	HELIO_05342, HELIO_01248
OG0000002	DANRE23574	HELIO_12021, HELIO_07207
OG0000004	DANRE31040	HELIO_03376, HELIO_00029, HELIO_11549, HELIO_05294
OG0000004	DANRE41389, DANRE41390	HELIO_06422
OG0000005	DANRE11160	HELIO_04655
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	HELIO_09248
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	DANRE11213, DANRE11212, DANRE11601	HELIO_06349
OG0000006	DANRE30064, DANRE15483	HELIO_00150
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	HELIO_12770
OG0000006	DANRE20981, DANRE28318, DANRE19321	HELIO_08890
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	HELIO_11381, HELIO_00450
OG0000006	DANRE11156, DANRE11155	HELIO_08227
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	HELIO_06418
