Orthogroup	DANRE	AENJA_ok
OG0000000	DANRE06436, DANRE05762	AENJA_00110
OG0000000	DANRE24636, DANRE35926	AENJA_23461
OG0000000	DANRE04899, DANRE05022, DANRE06714	AENJA_26081
OG0000000	DANRE37544, DANRE11226	AENJA_24355
OG0000000	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386	AENJA_23544
OG0000000	DANRE05964, DANRE19591, DANRE19592	AENJA_09172
OG0000000	DANRE34117, DANRE19532, DANRE36202	AENJA_01537
OG0000000	DANRE02487, DANRE13405	AENJA_00111, AENJA_09519
OG0000000	DANRE04328, DANRE04330, DANRE04329	AENJA_07481
OG0000000	DANRE18867, DANRE18868	AENJA_25905
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	AENJA_15854
OG0000000	DANRE35277, DANRE35276, DANRE17824	AENJA_12748
OG0000000	DANRE29250, DANRE09540	AENJA_15855
OG0000000	DANRE24278	AENJA_12751
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	AENJA_05807
OG0000000	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335	AENJA_15859
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	AENJA_15861
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	AENJA_22692
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	AENJA_20015
OG0000000	DANRE06945, DANRE06944, DANRE20512	AENJA_21459
OG0000000	DANRE24055	AENJA_05805
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	AENJA_01755
OG0000000	DANRE05977, DANRE05743	AENJA_10279
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	AENJA_05264
OG0000000	DANRE11796, DANRE11795, DANRE18798	AENJA_18954
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471	AENJA_26118
