Orthogroup	DANRE	OWEFU
OG0000000	DANRE06436, DANRE05762	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	DANRE24636, DANRE35926	OFUSG13305.1.p1
OG0000000	DANRE04899, DANRE05022, DANRE06714	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	DANRE37544, DANRE11226	OFUSG18918.1.p1
OG0000000	DANRE11232, DANRE16357, DANRE04386	OFUSG05755.1.p1
OG0000000	DANRE05964, DANRE19591, DANRE19592	OFUSG06970.1.p1
OG0000000	DANRE34117, DANRE19532, DANRE36202	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	DANRE02487, DANRE13405	OFUSG08786.1.p1
OG0000000	DANRE00977	OFUSG09074.1.p1
OG0000000	DANRE04328, DANRE04330, DANRE04329	OFUSG19303.1.p1
OG0000000	DANRE18867, DANRE18868	OFUSG12013.1.p1
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	OFUSG13332.1.p1
OG0000000	DANRE35277, DANRE35276, DANRE17824	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	DANRE29250, DANRE09540	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	DANRE24278	OFUSG03302.1.p1
OG0000000	DANRE29241, DANRE29242	OFUSG13338.1.p1
OG0000000	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335	OFUSG13335.1.p1
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	OFUSG13336.1.p1
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	OFUSG17003.1.p1
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	OFUSG21200.1.p1
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	OFUSG05672.1.p1
OG0000000	DANRE06945, DANRE06944, DANRE20512	OFUSG03177.1.p1
OG0000000	DANRE24055	OFUSG13341.1.p1
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	OFUSG12947.1.p1
OG0000000	DANRE05977, DANRE05743	OFUSG05775.1.p1
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	OFUSG06109.1.p1
OG0000000	DANRE11796, DANRE11795, DANRE18798	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000002	DANRE16673	OFUSG12055.1.p1
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919	OFUSG09076.1.p1
OG0000002	DANRE28739	OFUSG22946.2.p1
OG0000003	DANRE05700	OFUSG12884.1.p1
OG0000004	DANRE02933	OFUSG14165.1.p1
OG0000004	DANRE31040	OFUSG26229.2.p1, OFUSG18850.1.p1, OFUSG20734.1.p1
OG0000004	DANRE41389, DANRE41390	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	DANRE18161	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	DANRE11160	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	OFUSG02905.1.p1
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	OFUSG14509.1.p1
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	OFUSG25514.1.p1
OG0000006	DANRE20396, DANRE24336	OFUSG14428.1.p1
