Orthogroup	DANRE	APOSC_ok
OG0000000	DANRE06436, DANRE05762	APOSC_11837, APOSC_12606
OG0000000	DANRE04899, DANRE05022, DANRE06714	APOSC_11472, APOSC_29094
OG0000000	DANRE04898	APOSC_19214
OG0000000	DANRE11234, DANRE11232, DANRE16357, DANRE04386	APOSC_25410
OG0000000	DANRE05964, DANRE19591, DANRE19592	APOSC_11604
OG0000000	DANRE34117, DANRE19532, DANRE36202	APOSC_19137
OG0000000	DANRE02487, DANRE13405	APOSC_11544
OG0000000	DANRE00977	APOSC_06717
OG0000000	DANRE04328, DANRE04330, DANRE04329	APOSC_04208
OG0000000	DANRE18867, DANRE18868	APOSC_07565
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	APOSC_22022
OG0000000	DANRE35277, DANRE35276, DANRE17824	APOSC_04964
OG0000000	DANRE24278	APOSC_16565
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	APOSC_27318
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	APOSC_14732
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	APOSC_24894
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	APOSC_24788
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	APOSC_28968
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	APOSC_18629
OG0000000	DANRE06945, DANRE06944, DANRE20512	APOSC_10621
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	APOSC_22429
OG0000000	DANRE41165, DANRE05977, DANRE05743	APOSC_04636
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	APOSC_18693
OG0000000	DANRE11796, DANRE11795, DANRE18798	APOSC_00117
OG0000002	DANRE16673	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	DANRE23574	APOSC_19154
OG0000003	DANRE05700	APOSC_20058
OG0000004	DANRE17331	APOSC_03634
OG0000004	DANRE41389, DANRE41390	APOSC_28059
OG0000005	DANRE17266	APOSC_26754
OG0000005	DANRE11160	APOSC_21707
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	APOSC_10640
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	APOSC_17637
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	APOSC_08216
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	APOSC_08805
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	DANRE11213, DANRE11212, DANRE11601	APOSC_25251, APOSC_25252
OG0000006	DANRE30064, DANRE15483	APOSC_19228
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	APOSC_11581
OG0000006	DANRE05395	APOSC_02745
OG0000006	DANRE20981, DANRE28318, DANRE19321	APOSC_10711
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	APOSC_06790, APOSC_06791
OG0000007	DANRE26275, DANRE17982	APOSC_04982
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	APOSC_19545
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	APOSC_11262
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	APOSC_29119
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	APOSC_07509
OG0000007	DANRE12664	APOSC_11745
OG0000007	DANRE03447	APOSC_20868
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	APOSC_21514
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	APOSC_25152
OG0000007	DANRE21702	APOSC_15698
OG0000007	DANRE08320, DANRE33659	APOSC_04562
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	APOSC_09541, APOSC_09542
OG0000007	DANRE30028, DANRE03038, DANRE28801	APOSC_22651
OG0000007	DANRE30495, DANRE03657, DANRE03658	APOSC_10715
OG0000007	DANRE02453, DANRE09326, DANRE09325	APOSC_17950
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	APOSC_07482
OG0000008	DANRE34310, DANRE39865	APOSC_05395
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	APOSC_25161
OG0000010	DANRE38564, DANRE38563	APOSC_17642
OG0000010	DANRE39463, DANRE39462	APOSC_21784
OG0000010	DANRE09716, DANRE09718, DANRE09717	APOSC_25939
OG0000012	DANRE38177, DANRE38176	APOSC_26906, APOSC_13089
OG0000012	DANRE12655, DANRE12656, DANRE12659	APOSC_26545
OG0000013	DANRE15807	APOSC_00689
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	APOSC_26024, APOSC_17612
OG0000014	DANRE17251, DANRE43403	APOSC_00187
OG0000015	DANRE15829, DANRE07077	APOSC_22269
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	APOSC_04279
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	APOSC_09216
OG0000016	DANRE35611	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	DANRE02012	APOSC_14883
OG0000016	DANRE13447	APOSC_28721
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	APOSC_19884
OG0000018	DANRE32666	APOSC_06513
OG0000018	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202	APOSC_00300
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807
OG0000018	DANRE13954, DANRE13946	APOSC_01211, APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	APOSC_14801, APOSC_11507
OG0000020	DANRE10827, DANRE10826, DANRE10743	APOSC_14708
OG0000020	DANRE10670	APOSC_13376
OG0000020	DANRE30414	APOSC_09964
OG0000020	DANRE27431, DANRE27432, DANRE27433	APOSC_00691
OG0000020	DANRE06741, DANRE06740, DANRE15747	APOSC_03094
OG0000020	DANRE06663, DANRE06664	APOSC_05461
OG0000020	DANRE18984	APOSC_14067
OG0000020	DANRE27379	APOSC_25230
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	APOSC_11990
OG0000021	DANRE39795, DANRE39796, DANRE22480	APOSC_06563, APOSC_06562
OG0000021	DANRE08348, DANRE33679	APOSC_02202
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	APOSC_27384
OG0000021	DANRE37717, DANRE02277	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	DANRE27401, DANRE27403, DANRE27400	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248	APOSC_23115
OG0000026	DANRE25537, DANRE36265	APOSC_12180
OG0000026	DANRE09875	APOSC_25312
OG0000026	DANRE42258, DANRE07529	APOSC_13965
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	APOSC_17838, APOSC_17839
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	APOSC_07574, APOSC_20436
OG0000029	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971
OG0000030	DANRE34589, DANRE34588	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	DANRE41079, DANRE41078	APOSC_12149
OG0000031	DANRE20694	APOSC_14603
OG0000031	DANRE41496, DANRE35535, DANRE23155	APOSC_14687
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	APOSC_14535
OG0000031	DANRE26516	APOSC_00328
OG0000031	DANRE35637, DANRE11621	APOSC_01319
OG0000031	DANRE20276, DANRE16190, DANRE42316	APOSC_17680
OG0000031	DANRE27399, DANRE21472, DANRE14252	APOSC_02579
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	APOSC_22997
