Orthogroup	DANRE	SCHMD
OG0000000	DANRE06436, DANRE05762	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	DANRE24636, DANRE35926	SCHMD09645
OG0000000	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386	SCHMD20523, SCHMD24588
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	SCHMD03805
OG0000000	DANRE34117, DANRE19532, DANRE36202	SCHMD09133, SCHMD27825
OG0000000	DANRE00977	SCHMD27182, SCHMD16896
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	SCHMD18969
OG0000000	DANRE29250, DANRE09540	SCHMD08046
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	SCHMD22390, SCHMD21735
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	SCHMD21303
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	SCHMD01868
OG0000000	DANRE24055	SCHMD11888, SCHMD08259
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	SCHMD24693
OG0000000	DANRE41165, DANRE05977, DANRE05743	SCHMD05281, SCHMD04291
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657, DANRE11796, DANRE11795, DANRE18798	SCHMD13268
OG0000002	DANRE28739	SCHMD15297
OG0000003	DANRE05700	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000004	DANRE10231	SCHMD20392, SCHMD06188
OG0000004	DANRE31040	SCHMD22004
OG0000006	DANRE07563	SCHMD07888, SCHMD24507, SCHMD09008
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	SCHMD00178
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	SCHMD18704
OG0000006	DANRE20396, DANRE24336, DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191, DANRE11213, DANRE11212, DANRE11601, DANRE30064, DANRE15483, DANRE30060, DANRE19266, DANRE19265, DANRE34833, DANRE34834	SCHMD09638
OG0000006	DANRE05395	SCHMD23237
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	SCHMD13710
OG0000006	DANRE04654, DANRE04655	SCHMD18814
OG0000007	DANRE26275, DANRE17982	SCHMD12323
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	SCHMD08294
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	SCHMD03666
OG0000007	DANRE03447, DANRE26278, DANRE26279, DANRE17980, DANRE17979, DANRE26277, DANRE17981, DANRE12992, DANRE12991	SCHMD12296, SCHMD02893
OG0000007	DANRE21702	SCHMD08423
OG0000007	DANRE03039	SCHMD08922, SCHMD00556
OG0000007	DANRE08320, DANRE33659, DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	DANRE30028, DANRE03038, DANRE28801	SCHMD19134
OG0000007	DANRE30495, DANRE03657, DANRE03658	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	SCHMD02246
OG0000010	DANRE30968	SCHMD19321
OG0000010	DANRE25470	SCHMD12053
OG0000010	DANRE39463, DANRE39462	SCHMD16346
OG0000012	DANRE38177, DANRE38176	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000015	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	SCHMD16724
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	DANRE04448	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	DANRE35611	SCHMD16694
OG0000016	DANRE02012	SCHMD02183
OG0000016	DANRE13447	SCHMD09773, SCHMD05700
OG0000020	DANRE10827, DANRE10826, DANRE10743	SCHMD00005
OG0000020	DANRE40536	SCHMD09886
OG0000020	DANRE27431, DANRE27432, DANRE27433	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	SCHMD09794
OG0000021	DANRE37717, DANRE02277	SCHMD09793, SCHMD07893
OG0000021	DANRE20108	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000022	DANRE31996	SCHMD04466
OG0000022	DANRE32408, DANRE32244	SCHMD24329, SCHMD24328
OG0000023	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248	SCHMD05376
OG0000026	DANRE25537, DANRE36265	SCHMD10899
OG0000027	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	DANRE07178	SCHMD01093
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	DANRE22154	SCHMD03695, SCHMD08074
OG0000030	DANRE34589, DANRE34588	SCHMD17295
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	DANRE41079, DANRE41078	SCHMD25391
OG0000030	DANRE08391	SCHMD25427
OG0000031	DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238	SCHMD16950
OG0000031	DANRE13622, DANRE13623	SCHMD11094
OG0000031	DANRE35637, DANRE11621	SCHMD00185
OG0000031	DANRE02768, DANRE23382, DANRE20276, DANRE16190, DANRE42316, DANRE27399, DANRE21472, DANRE14252, DANRE16189, DANRE42315, DANRE15746	SCHMD17865
OG0000032	DANRE24197	SCHMD05709
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	SCHMD13190, SCHMD26745
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	DANRE14484, DANRE09880, DANRE38036	SCHMD04875
OG0000034	DANRE25182	SCHMD07081
OG0000035	DANRE23313	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	SCHMD15627, SCHMD19701
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	SCHMD19933
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	DANRE11315	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	DANRE01550, DANRE01549	SCHMD06293
OG0000038	DANRE23401	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	DANRE41584	SCHMD01619, SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036, SCHMD28404
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252, DANRE38069, DANRE38070, DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063, DANRE09344	SCHMD12270
OG0000040	DANRE30036	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	DANRE24726	SCHMD08254
OG0000041	DANRE30701	SCHMD16501, SCHMD03485, SCHMD03487
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	DANRE36805, DANRE27215, DANRE24076	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	DANRE34152, DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395, DANRE00964	SCHMD00424
OG0000043	DANRE43265	SCHMD29206, SCHMD09758
OG0000044	DANRE13593	SCHMD00319
OG0000048	DANRE06169	SCHMD13771, SCHMD03961
OG0000048	DANRE16165	SCHMD28788
OG0000048	DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	DANRE10820	SCHMD16048
OG0000049	DANRE30744	SCHMD22370
OG0000055	DANRE26046, DANRE37399	SCHMD17892, SCHMD29195
OG0000056	DANRE30239	SCHMD18401, SCHMD20469
OG0000058	DANRE01466, DANRE01467	SCHMD04270
OG0000058	DANRE03528	SCHMD06371
OG0000058	DANRE15450	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	SCHMD03062
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	SCHMD24930
OG0000061	DANRE30136	SCHMD12952
OG0000061	DANRE26341, DANRE29170	SCHMD11039
OG0000062	DANRE28563, DANRE28564, DANRE28575, DANRE28567, DANRE08108	SCHMD03372
OG0000062	DANRE35118, DANRE16967, DANRE16966, DANRE16965, DANRE16964, DANRE16968, DANRE16963, DANRE16977, DANRE16975, DANRE16976, DANRE16978, DANRE16969, DANRE08527, DANRE08526, DANRE09429, DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570, DANRE18807, DANRE18806	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
