Orthogroup	DANRE	ASTMX
OG0000000	DANRE01559	ASTMX22979
OG0000000	DANRE05762	ASTMX02793
OG0000000	DANRE00109	ASTMX22512
OG0000000	DANRE24636	ASTMX17483
OG0000000	DANRE35926	ASTMX11444
OG0000000	DANRE04899	ASTMX18513
OG0000000	DANRE05022	ASTMX02535
OG0000000	DANRE06714	ASTMX04736
OG0000000	DANRE37544	ASTMX19308
OG0000000	DANRE11226	ASTMX03273
OG0000000	DANRE04898	ASTMX22570
OG0000000	DANRE16356	ASTMX10474, ASTMX18080
OG0000000	DANRE11234	ASTMX13971
OG0000000	DANRE11232	ASTMX13970
OG0000000	DANRE40795	ASTMX12494
OG0000000	DANRE05964	ASTMX05790
OG0000000	DANRE19591, DANRE19592	ASTMX17479
OG0000000	DANRE34117	ASTMX20577
OG0000000	DANRE19532	ASTMX08977
OG0000000	DANRE36202	ASTMX08271
OG0000000	DANRE02487	ASTMX14561
OG0000000	DANRE13405	ASTMX07042
OG0000000	DANRE00977	ASTMX10847
OG0000000	DANRE04328, DANRE04330, DANRE04329	ASTMX20299
OG0000000	DANRE18867, DANRE18868	ASTMX10234
OG0000000	DANRE23434	ASTMX20113
OG0000000	DANRE03839	ASTMX01439
OG0000000	DANRE29251	ASTMX16054
OG0000000	DANRE14339, DANRE14340	ASTMX20165
OG0000000	DANRE35277, DANRE35276	ASTMX16946
OG0000000	DANRE17824	ASTMX11106
OG0000000	DANRE29250	ASTMX16053
OG0000000	DANRE09540	ASTMX01903
OG0000000	DANRE24278	ASTMX06178
OG0000000	DANRE29240	ASTMX16048
OG0000000	DANRE23428	ASTMX20108
OG0000000	DANRE29241	ASTMX16049
OG0000000	DANRE03837	ASTMX01436
OG0000000	DANRE29246	ASTMX16050
OG0000000	DANRE23430, DANRE23429	ASTMX20109
OG0000000	DANRE01703	ASTMX05322
OG0000000	DANRE23433	ASTMX20111
OG0000000	DANRE29249	ASTMX16051
OG0000000	DANRE41434	ASTMX12038
OG0000000	DANRE14335	ASTMX20162
OG0000000	DANRE29247, DANRE03838	ASTMX01437
OG0000000	DANRE14338	ASTMX20161
OG0000000	DANRE23432, DANRE23431	ASTMX20110
OG0000000	DANRE38770	ASTMX17422
OG0000000	DANRE41587, DANRE15352, DANRE15353	ASTMX12684, ASTMX17005
OG0000000	DANRE03853, DANRE03854	ASTMX01447
OG0000000	DANRE14679	ASTMX00835
OG0000000	DANRE08590	ASTMX16253
OG0000000	DANRE06002	ASTMX20873
OG0000000	DANRE20421	ASTMX04077
OG0000000	DANRE06649	ASTMX07972
OG0000000	DANRE05182	ASTMX05835
OG0000000	DANRE16636	ASTMX11919
OG0000000	DANRE11732	ASTMX08519
OG0000000	DANRE11786, DANRE11785	ASTMX09510
OG0000000	DANRE18799	ASTMX01253
OG0000000	DANRE23427	ASTMX05324, ASTMX20107
OG0000000	DANRE41435	ASTMX12036
OG0000000	DANRE29239, DANRE29238	ASTMX16047
OG0000000	DANRE09539	ASTMX01904
OG0000000	DANRE09538	ASTMX01905
OG0000000	DANRE29237	ASTMX20159
OG0000000	DANRE06945, DANRE06944	ASTMX08795
OG0000000	DANRE20512	ASTMX17999
OG0000000	DANRE29235, DANRE29234	ASTMX16045
OG0000000	DANRE14325, DANRE14326	ASTMX20156
OG0000000	DANRE41441	ASTMX12031
OG0000000	DANRE41165	ASTMX17267
OG0000000	DANRE05977	ASTMX11612
OG0000000	DANRE05743	ASTMX02802
OG0000000	DANRE41166	ASTMX17266
OG0000000	DANRE05745, DANRE05744	ASTMX02801
OG0000000	DANRE06657	ASTMX07975
OG0000000	DANRE11796, DANRE11795	ASTMX09511
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847
OG0000001	DANRE09569	ASTMX09144
OG0000001	DANRE13671, DANRE13664, DANRE13665	ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492
OG0000001	DANRE13666, DANRE13667, DANRE13668, DANRE13663	ASTMX00884
OG0000001	DANRE13812	ASTMX14749, ASTMX14750
OG0000001	DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406	ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473
OG0000001	DANRE29550	ASTMX07323
OG0000002	DANRE16673	ASTMX13878
OG0000002	DANRE07411, DANRE07410	ASTMX20124
OG0000002	DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573	ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120
OG0000002	DANRE38244, DANRE38242, DANRE38243	ASTMX19248
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826	ASTMX14857, ASTMX14858
OG0000002	DANRE28828, DANRE28827	ASTMX14859
OG0000002	DANRE17907, DANRE17906, DANRE17905	ASTMX12466
OG0000002	DANRE17904	ASTMX12460
OG0000002	DANRE17908	ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463
OG0000002	DANRE23589, DANRE23588	ASTMX18376, ASTMX15952
OG0000002	DANRE17903	ASTMX12459
OG0000002	DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919	ASTMX12467, ASTMX12468
OG0000002	DANRE28739	ASTMX20125
OG0000004	DANRE17331	ASTMX09901
OG0000004	DANRE30388, DANRE30387, DANRE30389, DANRE30390	ASTMX21576
OG0000004	DANRE02933	ASTMX19416
OG0000004	DANRE10231	ASTMX13906
OG0000004	DANRE41389, DANRE41390	ASTMX13606
OG0000004	DANRE15804, DANRE15805	ASTMX22075
OG0000004	DANRE05052, DANRE05051	ASTMX12117
OG0000004	DANRE04104, DANRE04103	ASTMX01551
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043	ASTMX20045
OG0000004	DANRE31042	ASTMX20996, ASTMX20716
OG0000004	DANRE30830, DANRE30828, DANRE30829, DANRE31045	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044
OG0000004	DANRE33319	ASTMX09630
OG0000004	DANRE29697	ASTMX17273
OG0000005	DANRE20576	ASTMX16020
OG0000005	DANRE20586	ASTMX16021
OG0000005	DANRE11253, DANRE11252, DANRE11254	ASTMX14148
OG0000005	DANRE11251, DANRE11250	ASTMX14149
OG0000005	DANRE20012, DANRE20011, DANRE20010	ASTMX13051
OG0000005	DANRE20517, DANRE20518	ASTMX18005
OG0000005	DANRE17265	ASTMX12914
OG0000005	DANRE14948	ASTMX04261
OG0000005	DANRE24204	ASTMX08691
OG0000005	DANRE18558	ASTMX01192
OG0000005	DANRE10777	ASTMX08164
OG0000005	DANRE18161	ASTMX10242
OG0000005	DANRE11160	ASTMX03244
OG0000006	DANRE02891	ASTMX00775
OG0000006	DANRE40167	ASTMX03985
OG0000006	DANRE35529	ASTMX00495
OG0000006	DANRE26614, DANRE26613	ASTMX16379
OG0000006	DANRE06496, DANRE06495	ASTMX16363
OG0000006	DANRE08940	ASTMX04345
OG0000006	DANRE07561, DANRE07562	ASTMX11700
OG0000006	DANRE42479, DANRE42480	ASTMX00138
OG0000006	DANRE18291, DANRE26970, DANRE26971	ASTMX03123
OG0000006	DANRE20396	ASTMX12191
OG0000006	DANRE24336	ASTMX07931
OG0000006	DANRE40393	ASTMX15917
OG0000006	DANRE12604	ASTMX06292
OG0000006	DANRE38227, DANRE13192, DANRE13191	ASTMX15319
OG0000006	DANRE11213, DANRE11212	ASTMX03256
OG0000006	DANRE11601	ASTMX09680
OG0000006	DANRE30064	ASTMX14682
OG0000006	DANRE15483	ASTMX19702
OG0000006	DANRE19266, DANRE19265	ASTMX21126
OG0000006	DANRE34833, DANRE34834	ASTMX03352
