Orthogroup	DANRE	CAEEL
OG0000000	DANRE06436, DANRE05762	CAEEL18735
OG0000000	DANRE37544, DANRE11226	CAEEL01893
OG0000000	DANRE04898	CAEEL08140
OG0000000	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386	CAEEL18754
OG0000000	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592	CAEEL06523
OG0000000	DANRE34117, DANRE19532, DANRE36202	CAEEL18467, CAEEL18466
OG0000000	DANRE00977	CAEEL04771
OG0000000	DANRE04328, DANRE04330, DANRE04329	CAEEL18086
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	CAEEL08092
OG0000000	DANRE35277, DANRE35276, DANRE17824, DANRE29250, DANRE09540, DANRE24278, DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	CAEEL08135, CAEEL08091
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	CAEEL00979
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	CAEEL19601
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	DANRE06945, DANRE06944, DANRE20512	CAEEL07441
OG0000000	DANRE24055	CAEEL08137, CAEEL17599
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	CAEEL08875
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657, DANRE11796, DANRE11795, DANRE18798	CAEEL16213
OG0000002	DANRE23574	CAEEL18977
OG0000003	DANRE05700	CAEEL20577
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777	CAEEL01924
OG0000006	DANRE02891	CAEEL18976
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	CAEEL00696
OG0000006	DANRE11213, DANRE11212, DANRE11601	CAEEL07700
OG0000006	DANRE30064, DANRE15483, DANRE30060	CAEEL05532
OG0000006	DANRE20981, DANRE28318, DANRE19321	CAEEL01533
OG0000006	DANRE29642, DANRE29641	CAEEL19718
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	CAEEL12101
OG0000006	DANRE11156, DANRE11155	CAEEL00153
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	CAEEL17819
OG0000006	DANRE04654, DANRE04655	CAEEL15182
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	CAEEL04050
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	CAEEL17965
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	CAEEL05829
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	CAEEL01108
OG0000007	DANRE03039, DANRE08320, DANRE33659, DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	CAEEL10238, CAEEL04602
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	CAEEL18586
OG0000010	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	CAEEL04259
OG0000012	DANRE38177, DANRE38176	CAEEL20690
OG0000013	DANRE15807, DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	CAEEL19127
OG0000015	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409	CAEEL09145
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	CAEEL15587
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	CAEEL20493
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064, DANRE04448	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	DANRE35611	CAEEL18647
OG0000019	DANRE29946, DANRE21114, DANRE41681	CAEEL15403
OG0000020	DANRE27431, DANRE27432, DANRE27433	CAEEL00627
OG0000020	DANRE22958, DANRE22959, DANRE06663, DANRE06664, DANRE15816	CAEEL05927
OG0000020	DANRE18984	CAEEL13362
OG0000020	DANRE27379	CAEEL09273
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	CAEEL15603
OG0000021	DANRE08348, DANRE33679	CAEEL00422
OG0000021	DANRE37717, DANRE02277	CAEEL00784, CAEEL15377
OG0000023	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248	CAEEL13426
OG0000027	DANRE02909	CAEEL17825
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	CAEEL20612
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	DANRE08391, DANRE03978	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	DANRE20274, DANRE20275, DANRE20273	CAEEL17953
OG0000031	DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238	CAEEL02023
OG0000031	DANRE26516, DANRE26019	CAEEL04718
OG0000031	DANRE20276, DANRE16190, DANRE42316	CAEEL07076
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	CAEEL19615
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488, DANRE24197	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	CAEEL07900
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	CAEEL13037
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	DANRE14484, DANRE09880, DANRE38036	CAEEL01132
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	CAEEL03140, CAEEL03141
OG0000035	DANRE23313	CAEEL01943
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	DANRE11991, DANRE38630	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	CAEEL17629, CAEEL17628
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	CAEEL03654, CAEEL20275
OG0000037	DANRE11315	CAEEL09012, CAEEL08645
OG0000038	DANRE15348	CAEEL07106
OG0000039	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063	CAEEL01773
OG0000039	DANRE09344	CAEEL18993
OG0000041	DANRE24726, DANRE30701	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397	CAEEL19747
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	CAEEL05494
OG0000041	DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	DANRE13593	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	CAEEL02028
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	CAEEL19631
OG0000049	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833	CAEEL10349
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	CAEEL08906
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	CAEEL09464
OG0000054	DANRE06791, DANRE15743	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	DANRE26054, DANRE39498, DANRE26047, DANRE26089, DANRE26053, DANRE39510, DANRE39505, DANRE39493, DANRE39490, DANRE26176, DANRE37402, DANRE26086, DANRE26057, DANRE26058, DANRE26171, DANRE26168, DANRE37434, DANRE37411, DANRE37465, DANRE37408, DANRE37417, DANRE37462, DANRE37455, DANRE37449, DANRE37437, DANRE37430, DANRE37398, DANRE26061, DANRE26102, DANRE00963, DANRE26066, DANRE26162, DANRE26083, DANRE26079	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000055	DANRE26046, DANRE37399, DANRE26075	CAEEL14858
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	CAEEL05273
OG0000058	DANRE01466, DANRE01467	CAEEL06550
OG0000058	DANRE15448, DANRE15450	CAEEL09297
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	CAEEL08422
OG0000062	DANRE18807, DANRE18806	CAEEL02955
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	CAEEL05773
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	CAEEL04400
OG0000065	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	CAEEL20109
OG0000068	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357	CAEEL09504
OG0000068	DANRE22551	CAEEL06439
OG0000069	DANRE26091	CAEEL14766, CAEEL06233
