Orthogroup	APOSJ_ok	DROME
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	DROME16218, DROME16219
OG0000000	APOSJ_43984, APOSJ_47154	DROME14805, DROME14806
OG0000000	APOSJ_18686	DROME11250
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	DROME14878
OG0000000	APOSJ_32352	DROME21328, DROME21327
OG0000000	APOSJ_34245	DROME16097
OG0000000	APOSJ_60507	DROME01107
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	DROME13389, DROME13388
OG0000000	APOSJ_36728	DROME13415
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	APOSJ_40396	DROME13414
OG0000000	APOSJ_37520	DROME10025
OG0000000	APOSJ_38857, APOSJ_38860	DROME16399
OG0000000	APOSJ_32562, APOSJ_32561	DROME17718
OG0000000	APOSJ_47531, APOSJ_29010	DROME15341, DROME15342, DROME15343
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	DROME03546, DROME03545
OG0000000	APOSJ_56734	DROME16202
OG0000000	APOSJ_31415, APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633, APOSJ_02527	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	APOSJ_40516, APOSJ_28860	DROME04936, DROME08706, DROME19770
OG0000002	APOSJ_21931	DROME14626, DROME12189, DROME02894
OG0000006	APOSJ_43757	DROME08113
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	DROME07928
OG0000006	APOSJ_52128	DROME21396
OG0000006	APOSJ_25002	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	APOSJ_24425, APOSJ_24424	DROME19786
OG0000006	APOSJ_38154	DROME18045, DROME18046, DROME18044
OG0000006	APOSJ_46492	DROME19780, DROME19779, DROME19781
OG0000007	APOSJ_59584	DROME12545
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	DROME16994, DROME16993
OG0000007	APOSJ_59909	DROME17568, DROME17567
OG0000007	APOSJ_46494	DROME07864
OG0000007	APOSJ_04151, APOSJ_32909	DROME09292
OG0000007	APOSJ_45510, APOSJ_50337	DROME14142
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	DROME19603, DROME19602
OG0000007	APOSJ_06582, APOSJ_20594	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	APOSJ_55940, APOSJ_55941	DROME21792, DROME00712, DROME00713
OG0000008	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246	DROME12246
OG0000008	APOSJ_50496	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
