Orthogroup	APOSJ_ok	YEAST
OG0000000	APOSJ_33268, APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578, APOSJ_43984, APOSJ_47154, APOSJ_18686, APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962, APOSJ_32352, APOSJ_60141, APOSJ_18136, APOSJ_34245, APOSJ_60507, APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220, APOSJ_36728, APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396, APOSJ_37520, APOSJ_38857, APOSJ_38860	YEAST00701
OG0000007	APOSJ_06582, APOSJ_20594	YEAST01568, YEAST05134
OG0000011	APOSJ_58687, APOSJ_29863, APOSJ_47620, APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820, APOSJ_42157, APOSJ_42159, APOSJ_64504, APOSJ_62275, APOSJ_62276, APOSJ_29621, APOSJ_39313, APOSJ_64598, APOSJ_30512, APOSJ_60967, APOSJ_60972, APOSJ_60947, APOSJ_60926, APOSJ_29637, APOSJ_06281, APOSJ_08389, APOSJ_53297, APOSJ_53305, APOSJ_08388, APOSJ_46070, APOSJ_46074, APOSJ_48717, APOSJ_48715, APOSJ_48713, APOSJ_46071, APOSJ_46069, APOSJ_46067, APOSJ_48712, APOSJ_48716, APOSJ_48714, APOSJ_48710, APOSJ_46073, APOSJ_46072, APOSJ_46068, APOSJ_14278, APOSJ_31625, APOSJ_55692, APOSJ_01636, APOSJ_36340, APOSJ_37738, APOSJ_37733, APOSJ_37734, APOSJ_17966, APOSJ_17967, APOSJ_17965, APOSJ_35621, APOSJ_35622, APOSJ_09852, APOSJ_09853, APOSJ_09854, APOSJ_18476, APOSJ_34765, APOSJ_34766, APOSJ_34767, APOSJ_34768, APOSJ_34769, APOSJ_34770, APOSJ_34771, APOSJ_34772, APOSJ_63639, APOSJ_09851, APOSJ_18989, APOSJ_09282, APOSJ_13252, APOSJ_13251, APOSJ_13253, APOSJ_13008, APOSJ_16660, APOSJ_51166, APOSJ_16663, APOSJ_51108, APOSJ_60394, APOSJ_60398, APOSJ_60769, APOSJ_28585, APOSJ_60768, APOSJ_02928, APOSJ_61879, APOSJ_15677, APOSJ_37350, APOSJ_09521, APOSJ_64652, APOSJ_38837, APOSJ_06721, APOSJ_60676, APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471, APOSJ_25283, APOSJ_25285, APOSJ_31966, APOSJ_35318, APOSJ_21982, APOSJ_27428, APOSJ_62277, APOSJ_49051, APOSJ_29636, APOSJ_29638, APOSJ_54676, APOSJ_31861, APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591, APOSJ_58988, APOSJ_31311, APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509, APOSJ_52676, APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847, APOSJ_60286, APOSJ_57608	YEAST02600, YEAST01619
OG0000013	APOSJ_62947, APOSJ_26006, APOSJ_16913, APOSJ_41894, APOSJ_41895, APOSJ_61052, APOSJ_61056, APOSJ_61059, APOSJ_39191, APOSJ_41889, APOSJ_62706, APOSJ_61060, APOSJ_41763, APOSJ_41760, APOSJ_41759, APOSJ_61058, APOSJ_41893, APOSJ_41766, APOSJ_61057, APOSJ_41892, APOSJ_41887, APOSJ_41762, APOSJ_31949, APOSJ_41761, APOSJ_41764, APOSJ_47969, APOSJ_47968, APOSJ_41891, APOSJ_41758, APOSJ_62088, APOSJ_44152, APOSJ_09998, APOSJ_50056, APOSJ_01943, APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982, APOSJ_21044, APOSJ_58255, APOSJ_02917, APOSJ_49601, APOSJ_48986, APOSJ_43911, APOSJ_02919, APOSJ_03365, APOSJ_03366, APOSJ_26214, APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812	YEAST04082
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105, APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117, APOSJ_28331, APOSJ_28332, APOSJ_23867, APOSJ_22503	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457, APOSJ_38951	YEAST03839, YEAST02807, YEAST03817
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020	YEAST03870, YEAST01103
OG0000031	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549	YEAST05574
OG0000031	APOSJ_52458, APOSJ_52455, APOSJ_37355, APOSJ_56428, APOSJ_58452, APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293, APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509, APOSJ_07842, APOSJ_07841, APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162, APOSJ_01762, APOSJ_59427, APOSJ_03114, APOSJ_03115, APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	YEAST02238
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843, APOSJ_17818, APOSJ_17819, APOSJ_09404, APOSJ_13545, APOSJ_44168, APOSJ_60565, APOSJ_21305, APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928, APOSJ_63084, APOSJ_59127, APOSJ_09729, APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	YEAST04436, YEAST05550, YEAST05115
