Orthogroup	APOSJ_ok	AMPFI_ok
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	AMPFI_12098
OG0000000	APOSJ_43984, APOSJ_47154	AMPFI_11894
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	AMPFI_16025
OG0000000	APOSJ_32352	AMPFI_08228
OG0000000	APOSJ_34245	AMPFI_02168
OG0000000	APOSJ_60507	AMPFI_10716
OG0000000	APOSJ_36728	AMPFI_19781
OG0000000	APOSJ_20159	AMPFI_22359
OG0000000	APOSJ_32562, APOSJ_32561	AMPFI_12478
OG0000000	APOSJ_05847, APOSJ_05848	AMPFI_25019
OG0000000	APOSJ_38441	AMPFI_04297
OG0000000	APOSJ_62087	AMPFI_05560
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	AMPFI_20876
OG0000000	APOSJ_56734	AMPFI_21326
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	AMPFI_01589
OG0000000	APOSJ_02527	AMPFI_10655
OG0000001	APOSJ_37929	AMPFI_06127
OG0000001	APOSJ_51222	AMPFI_11237
OG0000001	APOSJ_62226	AMPFI_13782
OG0000001	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	AMPFI_23521
OG0000001	APOSJ_12278, APOSJ_36722	AMPFI_18148, AMPFI_13477
OG0000001	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152	AMPFI_00879
OG0000002	APOSJ_36413	AMPFI_23102
OG0000002	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979
OG0000002	APOSJ_42507, APOSJ_51187	AMPFI_18855, AMPFI_10028, AMPFI_14105
OG0000002	APOSJ_21931	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152
OG0000003	APOSJ_24854	AMPFI_04384
OG0000003	APOSJ_63267	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064
OG0000003	APOSJ_43552, APOSJ_43551	AMPFI_07815
OG0000003	APOSJ_43592, APOSJ_07424, APOSJ_43596	AMPFI_25889
OG0000003	APOSJ_22272, APOSJ_03630	AMPFI_17434
OG0000003	APOSJ_07887, APOSJ_06613	AMPFI_10369
OG0000003	APOSJ_27925, APOSJ_44929	AMPFI_18906
OG0000003	APOSJ_58026	AMPFI_11277
OG0000003	APOSJ_24559	AMPFI_13080
OG0000003	APOSJ_33006	AMPFI_14508
OG0000003	APOSJ_45754	AMPFI_22992
OG0000003	APOSJ_41535, APOSJ_46680, APOSJ_41536	AMPFI_13081, AMPFI_01108, AMPFI_17831
OG0000003	APOSJ_47753	AMPFI_11730
OG0000003	APOSJ_37328, APOSJ_40157	AMPFI_16587, AMPFI_13138
OG0000003	APOSJ_07258	AMPFI_17593, AMPFI_10595
OG0000003	APOSJ_36444	AMPFI_15011
OG0000003	APOSJ_43600	AMPFI_16139
OG0000003	APOSJ_22527	AMPFI_17117
OG0000003	APOSJ_04924	AMPFI_14808
OG0000003	APOSJ_02529	AMPFI_19265
OG0000003	APOSJ_22529, APOSJ_10268	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846
OG0000003	APOSJ_41438	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596
OG0000003	APOSJ_57640	AMPFI_01423, AMPFI_22677
OG0000003	APOSJ_59054	AMPFI_23718
OG0000003	APOSJ_11759	AMPFI_14216
OG0000003	APOSJ_19882	AMPFI_11534
OG0000003	APOSJ_10992, APOSJ_60978	AMPFI_18391, AMPFI_13137
OG0000003	APOSJ_36445	AMPFI_15510
OG0000003	APOSJ_12157, APOSJ_25443	AMPFI_04899
OG0000004	APOSJ_50666, APOSJ_27471	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	APOSJ_60995	AMPFI_12413
OG0000004	APOSJ_28748, APOSJ_28747	AMPFI_07977
OG0000004	APOSJ_07413, APOSJ_07417, APOSJ_07420, APOSJ_07421, APOSJ_07415, APOSJ_28552, APOSJ_43344	AMPFI_21283
OG0000004	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114	AMPFI_11893
OG0000004	APOSJ_61234, APOSJ_40238, APOSJ_49811, APOSJ_28826, APOSJ_08124, APOSJ_12667	AMPFI_11374, AMPFI_01179
OG0000004	APOSJ_51632, APOSJ_51634, APOSJ_51633, APOSJ_51631	AMPFI_03079
OG0000004	APOSJ_30278	AMPFI_11065, AMPFI_20979
OG0000004	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171	AMPFI_08501
OG0000004	APOSJ_42139	AMPFI_16756, AMPFI_00472, AMPFI_20231
OG0000004	APOSJ_12788, APOSJ_26915, APOSJ_39029, APOSJ_33861, APOSJ_60118, APOSJ_23229	AMPFI_03336, AMPFI_12435
OG0000005	APOSJ_31537	AMPFI_18504
OG0000005	APOSJ_58392, APOSJ_58393	AMPFI_17853
OG0000005	APOSJ_14167, APOSJ_17139	AMPFI_25233
OG0000005	APOSJ_45803, APOSJ_63383, APOSJ_63384, APOSJ_63382, APOSJ_23014, APOSJ_23018, APOSJ_05617, APOSJ_03732, APOSJ_33244, APOSJ_33245, APOSJ_07837, APOSJ_59467, APOSJ_30391, APOSJ_04718, APOSJ_02944, APOSJ_47042, APOSJ_10773, APOSJ_10774, APOSJ_10772, APOSJ_10771, APOSJ_10770, APOSJ_10769, APOSJ_40266, APOSJ_54876, APOSJ_61747, APOSJ_59821, APOSJ_03245, APOSJ_31790	AMPFI_11815, AMPFI_06236
OG0000005	APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695	AMPFI_18823
OG0000005	APOSJ_43564, APOSJ_43561	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	AMPFI_22262
OG0000006	APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	AMPFI_00206
OG0000006	APOSJ_38154	AMPFI_18507
OG0000006	APOSJ_46492	AMPFI_17130
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	AMPFI_02812
OG0000007	APOSJ_59909	AMPFI_07094
OG0000007	APOSJ_45510, APOSJ_50337	AMPFI_26059
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	AMPFI_15806
OG0000007	APOSJ_06582, APOSJ_20594	AMPFI_22204
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	AMPFI_08786
OG0000007	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121	AMPFI_17089
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	AMPFI_21281
OG0000007	APOSJ_55940, APOSJ_55941	AMPFI_23280
OG0000008	APOSJ_08880	AMPFI_24346
OG0000008	APOSJ_61175	AMPFI_18464
OG0000008	APOSJ_06622, APOSJ_23604	AMPFI_10761
OG0000008	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246	AMPFI_22833
OG0000008	APOSJ_50496	AMPFI_13893
OG0000009	APOSJ_03326, APOSJ_29156, APOSJ_63159, APOSJ_30497, APOSJ_12474, APOSJ_60875, APOSJ_60877	AMPFI_18552, AMPFI_07288
OG0000009	APOSJ_61304, APOSJ_61303	AMPFI_05115
OG0000009	APOSJ_56664	AMPFI_20093
OG0000009	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898	AMPFI_19615
OG0000009	APOSJ_18180, APOSJ_18179	AMPFI_03747
OG0000009	APOSJ_10781, APOSJ_49262, APOSJ_11404, APOSJ_10780, APOSJ_10776, APOSJ_00998, APOSJ_00997, APOSJ_00994, APOSJ_00992, APOSJ_00989	AMPFI_22442
OG0000009	APOSJ_58002	AMPFI_02892, AMPFI_01981, AMPFI_16576
OG0000009	APOSJ_16692, APOSJ_38775, APOSJ_07096, APOSJ_07094, APOSJ_16686, APOSJ_16687, APOSJ_16684, APOSJ_16683, APOSJ_07098, APOSJ_07097, APOSJ_07092, APOSJ_07089, APOSJ_16688, APOSJ_07095, APOSJ_07090, APOSJ_07093, APOSJ_07091	AMPFI_21195
OG0000009	APOSJ_59244, APOSJ_59242, APOSJ_53515, APOSJ_34367, APOSJ_61174, APOSJ_31715, APOSJ_13125, APOSJ_50535, APOSJ_31719, APOSJ_17359, APOSJ_50547, APOSJ_60011, APOSJ_17353, APOSJ_13127, APOSJ_13126, APOSJ_48325, APOSJ_48328, APOSJ_59469, APOSJ_48329, APOSJ_58890, APOSJ_48326, APOSJ_49841, APOSJ_49842, APOSJ_49840, APOSJ_49839, APOSJ_49838, APOSJ_42589, APOSJ_39562	AMPFI_02292, AMPFI_07211, AMPFI_22078
OG0000009	APOSJ_24430	AMPFI_01799
OG0000009	APOSJ_49147, APOSJ_49146, APOSJ_49148	AMPFI_18638, AMPFI_23313
OG0000009	APOSJ_08607, APOSJ_33774, APOSJ_21638	AMPFI_20474
OG0000009	APOSJ_59241, APOSJ_38923	AMPFI_16179
OG0000009	APOSJ_07511, APOSJ_07512, APOSJ_44793, APOSJ_07510	AMPFI_00566, AMPFI_18142, AMPFI_18445, AMPFI_06909
OG0000010	APOSJ_03628	AMPFI_20654
OG0000011	APOSJ_29863	AMPFI_23867, AMPFI_22257
OG0000011	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820	AMPFI_09904
OG0000011	APOSJ_42157, APOSJ_42159, APOSJ_64504	AMPFI_16294
OG0000011	APOSJ_35621, APOSJ_35622	AMPFI_10527
OG0000011	APOSJ_09852, APOSJ_09853, APOSJ_09854, APOSJ_18476, APOSJ_34765, APOSJ_34766, APOSJ_34767, APOSJ_34768, APOSJ_34769, APOSJ_34770, APOSJ_34771, APOSJ_34772, APOSJ_63639, APOSJ_09851	AMPFI_25098, AMPFI_09859, AMPFI_12932, AMPFI_15261
OG0000011	APOSJ_09282	AMPFI_20107
