Orthogroup	APOSJ_ok	BRALA
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	BRALA16375, BRALA16376
OG0000000	APOSJ_43984, APOSJ_47154	BRALA19584, BRALA19585, BRALA25857
OG0000000	APOSJ_18686	BRALA16262
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	BRALA16263
OG0000000	APOSJ_32352	BRALA18359
OG0000000	APOSJ_18136	BRALA29522
OG0000000	APOSJ_34245	BRALA28387
OG0000000	APOSJ_60507	BRALA21476
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	BRALA00115
OG0000000	APOSJ_36728	BRALA11734
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	BRALA00119, BRALA00120, BRALA00121
OG0000000	APOSJ_40396	BRALA00118
OG0000000	APOSJ_37520	BRALA00439, BRALA26541
OG0000000	APOSJ_38857, APOSJ_38860	BRALA00079
OG0000000	APOSJ_32562, APOSJ_32561	BRALA34448
OG0000000	APOSJ_47531, APOSJ_29010	BRALA00125, BRALA00124
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	BRALA11733
OG0000000	APOSJ_56734	BRALA30674
OG0000000	APOSJ_31415	BRALA30673
OG0000000	APOSJ_02527	BRALA17840
OG0000001	APOSJ_37929, APOSJ_51222, APOSJ_62226, APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	BRALA22324, BRALA14825
OG0000001	APOSJ_40516, APOSJ_28860	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000001	APOSJ_12278	BRALA00762, BRALA09667
OG0000001	APOSJ_36722	BRALA20490
OG0000001	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498	BRALA19588, BRALA19586
OG0000002	APOSJ_36413	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	APOSJ_16645, APOSJ_07327	BRALA20754
OG0000002	APOSJ_21931	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000003	APOSJ_50244	BRALA04606
OG0000003	APOSJ_24854	BRALA11277
OG0000003	APOSJ_63267	BRALA03414
OG0000003	APOSJ_43552, APOSJ_43551	BRALA31353
OG0000003	APOSJ_43592, APOSJ_07424, APOSJ_43596	BRALA11278
OG0000003	APOSJ_58026	BRALA27165
OG0000003	APOSJ_24559, APOSJ_33006	BRALA34993, BRALA18601
OG0000003	APOSJ_45754	BRALA05750
OG0000003	APOSJ_33662	BRALA07140
OG0000003	APOSJ_07491	BRALA30232, BRALA07610
OG0000003	APOSJ_19118	BRALA02710
OG0000003	APOSJ_22529, APOSJ_10268	BRALA31768, BRALA11276
OG0000003	APOSJ_41438	BRALA10124
OG0000003	APOSJ_57640	BRALA29565
OG0000003	APOSJ_11759	BRALA07069, BRALA20351
OG0000003	APOSJ_10992, APOSJ_60978	BRALA01914
OG0000003	APOSJ_12157, APOSJ_25443	BRALA17936, BRALA23610
OG0000004	APOSJ_50666, APOSJ_27471	BRALA16167
OG0000004	APOSJ_28748, APOSJ_28747	BRALA27667
OG0000004	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802	BRALA08526
OG0000004	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171	BRALA03961
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667	BRALA25414, BRALA34368
OG0000005	APOSJ_31537	BRALA00382
OG0000005	APOSJ_58392, APOSJ_58393	BRALA31589
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100	BRALA15288
OG0000005	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095	BRALA15287
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	BRALA07705
OG0000006	APOSJ_14510	BRALA06686
OG0000006	APOSJ_43757	BRALA19242
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	BRALA07568, BRALA29276
OG0000006	APOSJ_52128	BRALA06185
OG0000006	APOSJ_22887	BRALA06182, BRALA06186
OG0000006	APOSJ_25002	BRALA17603
OG0000006	APOSJ_24425, APOSJ_24424	BRALA03602
OG0000006	APOSJ_38154	BRALA24372
OG0000006	APOSJ_46492	BRALA24994
OG0000007	APOSJ_59584	BRALA03259
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	BRALA13447, BRALA13448
OG0000007	APOSJ_59909	BRALA20872, BRALA20870
OG0000007	APOSJ_04151	BRALA31416
OG0000007	APOSJ_32909	BRALA03260
OG0000007	APOSJ_33751	BRALA03282
OG0000007	APOSJ_45510, APOSJ_50337	BRALA26097, BRALA14947
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	BRALA22487
OG0000007	APOSJ_06582, APOSJ_20594	BRALA06491
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	BRALA18647
OG0000007	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121	BRALA23348
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	BRALA05625
OG0000007	APOSJ_55940, APOSJ_55941	BRALA30788
OG0000008	APOSJ_61175	BRALA27340
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	APOSJ_51676	BRALA09673
OG0000008	APOSJ_19161, APOSJ_11616, APOSJ_11617	BRALA27036
OG0000008	APOSJ_06622, APOSJ_23604	BRALA26942
OG0000008	APOSJ_50496	BRALA20539
OG0000009	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898	BRALA33044, BRALA32203, BRALA32983
OG0000009	APOSJ_18180, APOSJ_18179	BRALA34913
OG0000009	APOSJ_60169, APOSJ_10781, APOSJ_49262, APOSJ_11404, APOSJ_10780, APOSJ_10776, APOSJ_00998, APOSJ_00997, APOSJ_00994, APOSJ_00992, APOSJ_00989	BRALA26278, BRALA32982
OG0000009	APOSJ_58002	BRALA26344, BRALA34657
OG0000009	APOSJ_56376, APOSJ_43608, APOSJ_01836, APOSJ_01834, APOSJ_01831, APOSJ_62939, APOSJ_62936, APOSJ_43607, APOSJ_49147, APOSJ_49146, APOSJ_49148, APOSJ_04209, APOSJ_00134, APOSJ_53043	BRALA12697, BRALA27847
OG0000009	APOSJ_08607, APOSJ_33774, APOSJ_21638	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	APOSJ_03628	BRALA17508, BRALA01650, BRALA02432, BRALA03920, BRALA03888, BRALA03922
OG0000010	APOSJ_10822	BRALA23788
OG0000010	APOSJ_36301, APOSJ_36300, APOSJ_03568, APOSJ_03074	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977
OG0000011	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820, APOSJ_42157, APOSJ_42159, APOSJ_64504	BRALA06520, BRALA31196
OG0000011	APOSJ_55692, APOSJ_01636, APOSJ_36340, APOSJ_37738, APOSJ_37733, APOSJ_37734, APOSJ_17966, APOSJ_17967, APOSJ_17965	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147
OG0000011	APOSJ_09282	BRALA26291
OG0000011	APOSJ_37350	BRALA22896, BRALA17910
OG0000011	APOSJ_60676	BRALA19887, BRALA33147
OG0000011	APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	APOSJ_25283, APOSJ_25285	BRALA06517, BRALA01847, BRALA32798
OG0000011	APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847	BRALA04980
OG0000011	APOSJ_57608	BRALA19792
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	APOSJ_08662	BRALA00546
OG0000012	APOSJ_20422	BRALA22947
OG0000012	APOSJ_24428	BRALA08457
OG0000013	APOSJ_50056, APOSJ_01943	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	APOSJ_28331, APOSJ_28332	BRALA28626, BRALA28625, BRALA28624
OG0000014	APOSJ_23867, APOSJ_22503	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	APOSJ_56210	BRALA06628
OG0000015	APOSJ_09441, APOSJ_10165	BRALA22448
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	BRALA22447
OG0000016	APOSJ_25810, APOSJ_25809	BRALA00485
OG0000016	APOSJ_40020	BRALA32113, BRALA10406
OG0000016	APOSJ_06716, APOSJ_06717	BRALA09688
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	BRALA21418, BRALA29534, BRALA13585
OG0000016	APOSJ_21975	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808
OG0000016	APOSJ_58384	BRALA09686
OG0000016	APOSJ_11248	BRALA22170
OG0000018	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743, APOSJ_53955	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	APOSJ_55745, APOSJ_55748, APOSJ_55746	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816
OG0000018	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958	BRALA27097
OG0000018	APOSJ_64894	BRALA30292
OG0000018	APOSJ_32266, APOSJ_22620	BRALA26026
OG0000018	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	APOSJ_25021	BRALA31027, BRALA00002, BRALA17788
OG0000019	APOSJ_50969, APOSJ_54491, APOSJ_65164, APOSJ_10516, APOSJ_17340, APOSJ_10420, APOSJ_51391, APOSJ_51392, APOSJ_58483	BRALA00309, BRALA00310, BRALA00311
OG0000019	APOSJ_49365	BRALA00404, BRALA00405
OG0000020	APOSJ_38031	BRALA11913
OG0000020	APOSJ_03215	BRALA09135
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	BRALA28848
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	BRALA05608
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	BRALA27392
OG0000020	APOSJ_51246, APOSJ_35639	BRALA11912
OG0000020	APOSJ_38030, APOSJ_38032	BRALA18130
OG0000020	APOSJ_64610, APOSJ_31490	BRALA12599
OG0000020	APOSJ_45120	BRALA10628
OG0000021	APOSJ_47375, APOSJ_47376	BRALA18963
OG0000021	APOSJ_50915	BRALA18098
OG0000021	APOSJ_56015, APOSJ_08859	BRALA34639, BRALA31905
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	BRALA06012
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	BRALA20360, BRALA20164
OG0000023	APOSJ_12541	BRALA34393, BRALA34449, BRALA33273
OG0000023	APOSJ_48375, APOSJ_27694, APOSJ_27692	BRALA25880
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	APOSJ_20171	BRALA19145, BRALA14945, BRALA23600, BRALA23601, BRALA02985, BRALA02983, BRALA35419, BRALA11100, BRALA28758
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	BRALA17881, BRALA21074, BRALA03421
OG0000024	APOSJ_60940, APOSJ_60942, APOSJ_30595, APOSJ_35643, APOSJ_00017, APOSJ_53177, APOSJ_53178, APOSJ_04339, APOSJ_61804, APOSJ_31223, APOSJ_29329, APOSJ_60754, APOSJ_47192, APOSJ_09230, APOSJ_62494, APOSJ_62492	BRALA13162, BRALA17266
OG0000025	APOSJ_62497	BRALA34205
OG0000025	APOSJ_00453	BRALA32180
OG0000025	APOSJ_21548	BRALA21990, BRALA01764, BRALA20092
OG0000025	APOSJ_36900, APOSJ_46981, APOSJ_46982	BRALA29928, BRALA29404
OG0000025	APOSJ_40203, APOSJ_18926, APOSJ_49254, APOSJ_08542, APOSJ_00709, APOSJ_00710, APOSJ_31778, APOSJ_31779, APOSJ_31780, APOSJ_35118, APOSJ_61680, APOSJ_61679, APOSJ_61678, APOSJ_24072, APOSJ_60332, APOSJ_29178, APOSJ_23732, APOSJ_23733, APOSJ_31291, APOSJ_31292, APOSJ_21544, APOSJ_21546, APOSJ_21547, APOSJ_05694, APOSJ_39166, APOSJ_21545, APOSJ_21543, APOSJ_26122, APOSJ_26128, APOSJ_33728, APOSJ_26125	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555
OG0000025	APOSJ_02655, APOSJ_02652	BRALA25473, BRALA25823, BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554, BRALA29691, BRALA31389, BRALA33393, BRALA22035, BRALA31817, BRALA04997
OG0000025	APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	APOSJ_59563	BRALA07901, BRALA07423
OG0000026	APOSJ_14352, APOSJ_14353	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	APOSJ_58273, APOSJ_64303	BRALA01048
