Orthogroup	APOSJ_ok	HUMAN
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	HUMAN22097, HUMAN03752
OG0000000	APOSJ_43984, APOSJ_47154	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	APOSJ_18686	HUMAN03805, HUMAN22626
OG0000000	APOSJ_32352	HUMAN29337, HUMAN01254
OG0000000	APOSJ_18136	HUMAN28889, HUMAN05731
OG0000000	APOSJ_34245	HUMAN03433
OG0000000	APOSJ_60507	HUMAN02527
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	APOSJ_36728	HUMAN07513
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	APOSJ_40396	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	APOSJ_37520	HUMAN27325, HUMAN27326
OG0000000	APOSJ_38857, APOSJ_38860	HUMAN12743, HUMAN26016
OG0000000	APOSJ_32562, APOSJ_32561	HUMAN22154, HUMAN24253
OG0000000	APOSJ_47531, APOSJ_29010	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	APOSJ_56734	HUMAN27579, HUMAN22230
OG0000000	APOSJ_31415	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	HUMAN18756
OG0000000	APOSJ_02527	HUMAN08319
OG0000001	APOSJ_12278, APOSJ_36722	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	HUMAN22770
OG0000002	APOSJ_16645, APOSJ_07327	HUMAN20270
