Orthogroup	APOSJ_ok	PFLAV
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	TCONS_00026365.p1
OG0000000	APOSJ_43984, APOSJ_47154	TCONS_00027826.p1
OG0000000	APOSJ_18686	TCONS_00026711.p1
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	TCONS_00026377.p1
OG0000000	APOSJ_32352	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	APOSJ_18136	TCONS_00018852.p1
OG0000000	APOSJ_34245	TCONS_00026487.p1
OG0000000	APOSJ_60507	TCONS_00010493.p1
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	TCONS_00032259.p1
OG0000000	APOSJ_36728	TCONS_00043771.p1
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	TCONS_00032269.p1
OG0000000	APOSJ_20159	TCONS_00032267.p1
OG0000000	APOSJ_40396	TCONS_00032264.p1
OG0000000	APOSJ_37520	TCONS_00019139.p1
OG0000000	APOSJ_38857, APOSJ_38860	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	APOSJ_32562, APOSJ_32561	TCONS_00027510.p1
OG0000000	APOSJ_47531, APOSJ_29010	TCONS_00032270.p1
OG0000000	APOSJ_05847, APOSJ_05848	TCONS_00032272.p1
OG0000000	APOSJ_38441	TCONS_00031628.p1, TCONS_00031626.p1
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	TCONS_00042478.p1
OG0000000	APOSJ_56734	TCONS_00026601.p1
OG0000000	APOSJ_31415	TCONS_00026600.p1
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	TCONS_00009627.p1
OG0000000	APOSJ_02527	TCONS_00009628.p1
OG0000001	APOSJ_40516, APOSJ_28860	TCONS_00027439.p1
OG0000001	APOSJ_36722	TCONS_00034555.p1
OG0000001	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	APOSJ_36413	TCONS_00010137.p1
OG0000002	APOSJ_50646, APOSJ_61186, APOSJ_47171	TCONS_00028990.p1, TCONS_00028992.p1
OG0000002	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	APOSJ_16645, APOSJ_07327	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	APOSJ_21931	TCONS_00048938.p1
OG0000003	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630	TCONS_00052987.p1
OG0000003	APOSJ_06613	TCONS_00012459.p1
OG0000003	APOSJ_58026	TCONS_00053405.p1
OG0000003	APOSJ_33662	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1
OG0000003	APOSJ_07491	TCONS_00031472.p1
OG0000003	APOSJ_12361	TCONS_00054024.p1
OG0000003	APOSJ_47753, APOSJ_37328, APOSJ_40157	TCONS_00018253.p1
OG0000003	APOSJ_13667	TCONS_00045158.p1
OG0000003	APOSJ_22526, APOSJ_22667	TCONS_00006180.p1
OG0000003	APOSJ_19118	TCONS_00057090.p1
OG0000003	APOSJ_22529, APOSJ_10268	TCONS_00005704.p1
OG0000004	APOSJ_28748, APOSJ_28747	TCONS_00030290.p1
OG0000004	APOSJ_02812	TCONS_00015076.p1
OG0000004	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802	TCONS_00028773.p1
OG0000004	APOSJ_42139	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667	TCONS_00020907.p1
OG0000005	APOSJ_31537	TCONS_00033021.p1
OG0000005	APOSJ_14167, APOSJ_17139	TCONS_00000617.p1
