Orthogroup	APOSJ_ok	LYTVA_ok
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	LYTVA_01679
OG0000000	APOSJ_43984, APOSJ_47154	LYTVA_01380
OG0000000	APOSJ_18686	LYTVA_18988
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	LYTVA_18985
OG0000000	APOSJ_18136	LYTVA_13103
OG0000000	APOSJ_34245	LYTVA_22602
OG0000000	APOSJ_60507	LYTVA_19974
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	LYTVA_08678
OG0000000	APOSJ_36728	LYTVA_23667
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	LYTVA_22477
OG0000000	APOSJ_20159	LYTVA_22478
OG0000000	APOSJ_40396	LYTVA_22480
OG0000000	APOSJ_37520	LYTVA_23047
OG0000000	APOSJ_38857, APOSJ_38860	LYTVA_14838
OG0000000	APOSJ_32562, APOSJ_32561	LYTVA_06897
OG0000000	APOSJ_47531, APOSJ_29010	LYTVA_22476
OG0000000	APOSJ_05847, APOSJ_05848	LYTVA_22475
OG0000000	APOSJ_62087	LYTVA_29838
OG0000000	APOSJ_26760	LYTVA_29834
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	LYTVA_22714
OG0000000	APOSJ_56734	LYTVA_26599
OG0000000	APOSJ_31415	LYTVA_17046
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	LYTVA_23349
OG0000000	APOSJ_02527	LYTVA_23351
OG0000001	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	LYTVA_16225
OG0000001	APOSJ_62573, APOSJ_49921	LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102
OG0000001	APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152	LYTVA_14761
OG0000001	APOSJ_36498	LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602
OG0000002	APOSJ_36413	LYTVA_28398
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674
OG0000002	APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000002	APOSJ_50646, APOSJ_61186, APOSJ_47171	LYTVA_01784
