Orthogroup	APOSJ_ok	NEMVE
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	NEMVE15388
OG0000000	APOSJ_43984, APOSJ_47154	NEMVE09627, NEMVE02365
OG0000000	APOSJ_18686	NEMVE11246
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	NEMVE02875
OG0000000	APOSJ_18136	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	APOSJ_34245	NEMVE02364
OG0000000	APOSJ_60507	NEMVE04732, NEMVE07124
OG0000000	APOSJ_36728	NEMVE05986
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396	NEMVE15281
OG0000000	APOSJ_37520	NEMVE07211
OG0000000	APOSJ_38857, APOSJ_38860	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	APOSJ_32562, APOSJ_32561	NEMVE05017
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	NEMVE15350
OG0000000	APOSJ_56734	NEMVE17362
OG0000000	APOSJ_31415	NEMVE17363
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	NEMVE10113
OG0000000	APOSJ_02527	NEMVE14999, NEMVE10106
OG0000001	APOSJ_37929, APOSJ_51222, APOSJ_62226	NEMVE09207
OG0000001	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	NEMVE01893, NEMVE23127
OG0000002	APOSJ_36413, APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873, APOSJ_50646, APOSJ_61186, APOSJ_47171, APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187, APOSJ_16645, APOSJ_07327, APOSJ_21931	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	APOSJ_43552, APOSJ_43551	NEMVE08653, NEMVE10994, NEMVE03429
OG0000003	APOSJ_43592, APOSJ_07424, APOSJ_43596	NEMVE02987, NEMVE01808
OG0000003	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630	NEMVE12557
OG0000003	APOSJ_07887, APOSJ_06613	NEMVE11586, NEMVE03490, NEMVE06078
OG0000003	APOSJ_27925, APOSJ_44929	NEMVE08017
OG0000003	APOSJ_58026	NEMVE10186, NEMVE05185, NEMVE05392, NEMVE09862, NEMVE10187, NEMVE02664
OG0000003	APOSJ_12361	NEMVE00066
OG0000003	APOSJ_28104, APOSJ_21473, APOSJ_28537	NEMVE09864, NEMVE02602, NEMVE10394
OG0000003	APOSJ_37328, APOSJ_40157	NEMVE11632
OG0000003	APOSJ_07258	NEMVE02445
OG0000003	APOSJ_22526, APOSJ_22667	NEMVE00533
OG0000003	APOSJ_16637, APOSJ_17591	NEMVE14981
OG0000003	APOSJ_58934	NEMVE03659
OG0000003	APOSJ_04924	NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052
OG0000003	APOSJ_02529	NEMVE10059
OG0000003	APOSJ_22529, APOSJ_10268	NEMVE03309
OG0000003	APOSJ_57640	NEMVE10052
OG0000003	APOSJ_11759	NEMVE02981, NEMVE00038
OG0000003	APOSJ_19882	NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940
OG0000003	APOSJ_38353	NEMVE12943, NEMVE02796
OG0000003	APOSJ_20460	NEMVE19925
OG0000003	APOSJ_10992, APOSJ_60978	NEMVE00057, NEMVE03335
OG0000003	APOSJ_36445, APOSJ_12157, APOSJ_25443	NEMVE13177
OG0000004	APOSJ_23993	NEMVE02857, NEMVE08015
OG0000004	APOSJ_50666, APOSJ_27471	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801
OG0000004	APOSJ_09445	NEMVE08317
OG0000004	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802	NEMVE19262
OG0000004	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114	NEMVE10715, NEMVE21151
OG0000004	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171	NEMVE11454
OG0000004	APOSJ_42139	NEMVE10612
OG0000004	APOSJ_12788, APOSJ_26915, APOSJ_39029, APOSJ_33861, APOSJ_60118, APOSJ_23229	NEMVE12065, NEMVE09064, NEMVE03317
OG0000005	APOSJ_58392, APOSJ_58393	NEMVE16926, NEMVE07207
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095, APOSJ_12734	NEMVE05730
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	NEMVE02889
OG0000006	APOSJ_14510	NEMVE12700, NEMVE08468
OG0000006	APOSJ_14143	NEMVE01358
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	NEMVE21901
OG0000006	APOSJ_52128	NEMVE03392
OG0000006	APOSJ_22887	NEMVE06316
OG0000006	APOSJ_25002	NEMVE16957
OG0000006	APOSJ_24425, APOSJ_24424	NEMVE02351
OG0000006	APOSJ_38154	NEMVE04712
OG0000006	APOSJ_46492	NEMVE09477, NEMVE18497, NEMVE09475
OG0000007	APOSJ_59584	NEMVE15003
