Orthogroup	YEAST	HUMAN
OG0000000	YEAST00701	HUMAN06514, HUMAN08318, HUMAN22097, HUMAN03752, HUMAN03811, HUMAN27271, HUMAN18431, HUMAN17135, HUMAN03692, HUMAN17136, HUMAN03687, HUMAN17114, HUMAN03688, HUMAN03744, HUMAN03743, HUMAN22196, HUMAN27740, HUMAN03805, HUMAN22626, HUMAN29337, HUMAN01254, HUMAN28889, HUMAN05731, HUMAN05644, HUMAN03433, HUMAN02527, HUMAN17906, HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096, HUMAN07512, HUMAN22413, HUMAN12896, HUMAN26097, HUMAN07513, HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515, HUMAN26099, HUMAN06518, HUMAN12899, HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519, HUMAN27325, HUMAN27326, HUMAN12743, HUMAN26016
OG0000006	YEAST01430	HUMAN17033
OG0000007	YEAST01568, YEAST05134	HUMAN25936, HUMAN13634
OG0000011	YEAST02600, YEAST01619	HUMAN08916
OG0000013	YEAST04082	HUMAN23265, HUMAN23266, HUMAN23264, HUMAN23267, HUMAN22810, HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394, HUMAN18336, HUMAN03159, HUMAN25476, HUMAN30053, HUMAN13227
OG0000016	YEAST03839, YEAST02807, YEAST03817	HUMAN26870, HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	YEAST03870, YEAST01103	HUMAN10581, HUMAN10583, HUMAN12987, HUMAN03528
OG0000031	YEAST02238	HUMAN29956, HUMAN17850, HUMAN06489, HUMAN17883, HUMAN26042, HUMAN12874, HUMAN26043, HUMAN09203, HUMAN28770, HUMAN26979, HUMAN14235, HUMAN21432, HUMAN07725, HUMAN14922, HUMAN14786, HUMAN07726, HUMAN22322, HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000034	YEAST04436, YEAST05550, YEAST05115	HUMAN09534, HUMAN07187, HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673, HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449, HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933, HUMAN01831, HUMAN13891, HUMAN04678, HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093, HUMAN04988
OG0000036	YEAST02545, YEAST02806	HUMAN08124, HUMAN11288, HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233, HUMAN11289, HUMAN22872, HUMAN27983, HUMAN15223
OG0000037	YEAST03227	HUMAN04898, HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817, HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443, HUMAN19040, HUMAN28273, HUMAN16721, HUMAN03689
OG0000038	YEAST04422, YEAST04379	HUMAN02828, HUMAN06348, HUMAN06344, HUMAN06346, HUMAN17661, HUMAN07446, HUMAN17632, HUMAN18259, HUMAN18258, HUMAN19701, HUMAN18257, HUMAN19700
OG0000043	YEAST00224, YEAST01200	HUMAN30603, HUMAN30589, HUMAN30600, HUMAN05606, HUMAN01578, HUMAN24593, HUMAN24614, HUMAN02615, HUMAN24624, HUMAN24606, HUMAN01573, HUMAN01572, HUMAN24670, HUMAN24647, HUMAN24664, HUMAN24665, HUMAN24657, HUMAN24659, HUMAN24650, HUMAN24619, HUMAN01577, HUMAN06066
OG0000048	YEAST05020	HUMAN29551
OG0000048	YEAST05707	HUMAN29550, HUMAN12292, HUMAN08560, HUMAN08561, HUMAN16328, HUMAN16644, HUMAN11449
OG0000054	YEAST01385	HUMAN14900, HUMAN23119, HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964, HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000055	YEAST01199, YEAST00225	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000058	YEAST02989	HUMAN21777, HUMAN00114, HUMAN30319, HUMAN14551, HUMAN17378, HUMAN03592
OG0000058	YEAST02120	HUMAN23378, HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406, HUMAN13532, HUMAN25949
OG0000069	YEAST05172	HUMAN13360, HUMAN02573, HUMAN06204
OG0000079	YEAST05330	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848, HUMAN22600, HUMAN22601, HUMAN24340, HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260, HUMAN13037, HUMAN14208, HUMAN14194, HUMAN14192
OG0000082	YEAST03287	HUMAN29167
OG0000082	YEAST04267, YEAST01834, YEAST03359	HUMAN23869
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645
OG0000082	YEAST04992, YEAST00735	HUMAN23871
OG0000095	YEAST02993	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120
OG0000096	YEAST02643	HUMAN30343, HUMAN07778, HUMAN21683, HUMAN01418, HUMAN23507, HUMAN06774, HUMAN06775
OG0000096	YEAST00638	HUMAN06337, HUMAN06336, HUMAN27289
OG0000096	YEAST05104, YEAST05564	HUMAN13889, HUMAN01832, HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866, HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561
OG0000103	YEAST02873	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888, HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000107	YEAST05173	HUMAN24603, HUMAN24668, HUMAN24662, HUMAN01570, HUMAN24648, HUMAN01575, HUMAN24611, HUMAN24604, HUMAN06065, HUMAN24618, HUMAN24633, HUMAN24628, HUMAN24622, HUMAN24661, HUMAN24627
OG0000113	YEAST00378, YEAST01351, YEAST05581	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990, HUMAN26991
OG0000116	YEAST04456	HUMAN01486, HUMAN18678
OG0000122	YEAST04928	HUMAN12772, HUMAN27264, HUMAN18288, HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000124	YEAST05021	HUMAN03991
OG0000124	YEAST04122	HUMAN00442, HUMAN00443
OG0000126	YEAST04685	HUMAN22360
OG0000127	YEAST06208	HUMAN30611, HUMAN11945, HUMAN07859, HUMAN30409, HUMAN21844, HUMAN21549, HUMAN07766, HUMAN24572, HUMAN16589, HUMAN18562, HUMAN27422, HUMAN19318, HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	HUMAN21997
OG0000132	YEAST06016	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601, HUMAN20126
OG0000137	YEAST01851, YEAST00637	HUMAN28180, HUMAN25590, HUMAN25594, HUMAN23088, HUMAN13481, HUMAN25150, HUMAN25149
OG0000142	YEAST02122	HUMAN02794, HUMAN11653, HUMAN13737, HUMAN29488, HUMAN14465, HUMAN24745, HUMAN24431, HUMAN24432, HUMAN19224
OG0000158	YEAST05568	HUMAN02259, HUMAN02258, HUMAN02257, HUMAN02214, HUMAN02213, HUMAN02058, HUMAN02060, HUMAN02059, HUMAN29068, HUMAN02261, HUMAN02256, HUMAN02260, HUMAN19321, HUMAN25759, HUMAN27804, HUMAN03704
OG0000160	YEAST04194	HUMAN18884, HUMAN18883, HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000175	YEAST00850, YEAST04327	HUMAN22641, HUMAN22640, HUMAN27918, HUMAN27828, HUMAN27827, HUMAN00274
OG0000179	YEAST01123, YEAST04430	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338
OG0000179	YEAST02911, YEAST01281	HUMAN23712, HUMAN09621
OG0000179	YEAST04108, YEAST03346	HUMAN22996
OG0000181	YEAST00824, YEAST00771	HUMAN06326, HUMAN06327, HUMAN02594, HUMAN26916, HUMAN21065, HUMAN07664, HUMAN21747, HUMAN08369
OG0000186	YEAST00336	HUMAN00084, HUMAN15852, HUMAN16941, HUMAN08784, HUMAN16942, HUMAN02832
OG0000194	YEAST01410	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	YEAST03414	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624, HUMAN21625
OG0000211	YEAST04964	HUMAN05541, HUMAN18718, HUMAN23611, HUMAN10119, HUMAN10120, HUMAN28797, HUMAN14218, HUMAN10060
OG0000221	YEAST05872	HUMAN18038, HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805, HUMAN21691, HUMAN00105, HUMAN00104, HUMAN18037, HUMAN20574, HUMAN06093, HUMAN06091, HUMAN06092
OG0000222	YEAST01460	HUMAN18380, HUMAN00432, HUMAN18379, HUMAN18378, HUMAN18377
OG0000225	YEAST06146	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061
OG0000227	YEAST05815	HUMAN09614, HUMAN14351, HUMAN18012, HUMAN26229, HUMAN14350, HUMAN09613, HUMAN09611, HUMAN21404, HUMAN10994, HUMAN24420, HUMAN18815
OG0000228	YEAST04750	HUMAN11712, HUMAN04553, HUMAN04552, HUMAN04548
OG0000233	YEAST03726, YEAST03241, YEAST03242	HUMAN28694, HUMAN28693
OG0000238	YEAST06340, YEAST03834	HUMAN10740, HUMAN26143, HUMAN26145, HUMAN26144, HUMAN06380, HUMAN06379, HUMAN06378, HUMAN06376, HUMAN06377, HUMAN06630, HUMAN13821
OG0000240	YEAST03827	HUMAN19892, HUMAN19897
OG0000242	YEAST00734	HUMAN06809, HUMAN17638, HUMAN06808, HUMAN04472, HUMAN16342, HUMAN17637, HUMAN26476
OG0000246	YEAST01746, YEAST01747	HUMAN15952
OG0000250	YEAST04716	HUMAN13350, HUMAN10058, HUMAN10059, HUMAN13349, HUMAN13351, HUMAN27668, HUMAN06114
OG0000255	YEAST02822	HUMAN30604, HUMAN30605, HUMAN04286
