Orthogroup	YEAST	HELIO_ok
OG0000000	YEAST00701	HELIO_01999, HELIO_08880, HELIO_10837, HELIO_06752, HELIO_10666, HELIO_00795, HELIO_03148, HELIO_09005, HELIO_02157, HELIO_11687, HELIO_04988, HELIO_00700, HELIO_00534
OG0000007	YEAST00671	HELIO_06738
OG0000007	YEAST01568, YEAST05134	HELIO_03118
OG0000011	YEAST02600, YEAST01619	HELIO_07225, HELIO_05813, HELIO_04043, HELIO_04510, HELIO_11100, HELIO_03543, HELIO_08950, HELIO_07308, HELIO_07134, HELIO_05491, HELIO_06444, HELIO_06546, HELIO_09981, HELIO_04800, HELIO_01844, HELIO_04250, HELIO_06749, HELIO_07221, HELIO_06242, HELIO_04650, HELIO_01241, HELIO_00959, HELIO_05340, HELIO_03542, HELIO_04969, HELIO_03053, HELIO_03054, HELIO_06328, HELIO_05201, HELIO_07608, HELIO_07482, HELIO_06122, HELIO_07422, HELIO_09607, HELIO_07282, HELIO_07525
OG0000013	YEAST04082	HELIO_05698, HELIO_02247, HELIO_05055, HELIO_04730, HELIO_06663, HELIO_03869, HELIO_04774, HELIO_05617, HELIO_06871, HELIO_00215, HELIO_05802, HELIO_03214, HELIO_09936, HELIO_00850, HELIO_04016, HELIO_04491, HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	HELIO_03075, HELIO_06653, HELIO_08197, HELIO_07557, HELIO_08798, HELIO_12068, HELIO_07123, HELIO_10724
OG0000016	YEAST03839, YEAST02807, YEAST03817	HELIO_04641, HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054, HELIO_08070, HELIO_08807, HELIO_05626, HELIO_09411, HELIO_09736
OG0000016	YEAST03870, YEAST01103	HELIO_05456
OG0000031	YEAST02238	HELIO_00637, HELIO_00475, HELIO_11237, HELIO_10166, HELIO_00951, HELIO_11573, HELIO_11428, HELIO_00638, HELIO_00007, HELIO_08452, HELIO_02162
OG0000034	YEAST04436, YEAST05550, YEAST05115	HELIO_11044, HELIO_03041, HELIO_03040, HELIO_11045, HELIO_10910, HELIO_05981, HELIO_12487, HELIO_11629, HELIO_08377
OG0000036	YEAST02545, YEAST02806	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618, HELIO_10881, HELIO_00206, HELIO_04367, HELIO_07074, HELIO_04322, HELIO_07711, HELIO_02352, HELIO_11421, HELIO_04744, HELIO_00078
OG0000037	YEAST03227	HELIO_04596, HELIO_02436, HELIO_07508, HELIO_06312, HELIO_10715, HELIO_01421, HELIO_01377, HELIO_04770, HELIO_09574, HELIO_11062, HELIO_01380
OG0000038	YEAST04422, YEAST04379	HELIO_07209
OG0000043	YEAST00224, YEAST01200	HELIO_04067, HELIO_00563, HELIO_03541
OG0000048	YEAST05707	HELIO_10223, HELIO_12500, HELIO_03643, HELIO_05568, HELIO_05826, HELIO_06221, HELIO_11655, HELIO_08708, HELIO_04435, HELIO_12559, HELIO_11103, HELIO_00288, HELIO_00660, HELIO_12560, HELIO_10706, HELIO_05605
OG0000054	YEAST01385	HELIO_03625, HELIO_05561, HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000055	YEAST01199, YEAST00225	HELIO_03751, HELIO_10362
OG0000058	YEAST02989	HELIO_04784
OG0000058	YEAST02120	HELIO_04764, HELIO_06019
OG0000069	YEAST03661	HELIO_11698
OG0000069	YEAST05172	HELIO_03190
OG0000079	YEAST05330	HELIO_01794, HELIO_05740, HELIO_00549, HELIO_01744, HELIO_07509
OG0000082	YEAST03287	HELIO_12249
OG0000082	YEAST04267, YEAST01834, YEAST03359	HELIO_08556
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	HELIO_06503, HELIO_04026, HELIO_02219
OG0000082	YEAST04992, YEAST00735	HELIO_05158
OG0000095	YEAST02993	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874
OG0000096	YEAST02643	HELIO_07466, HELIO_03681
OG0000096	YEAST00638	HELIO_03321
OG0000096	YEAST05104, YEAST05564	HELIO_06897, HELIO_03947, HELIO_09595
OG0000103	YEAST02873	HELIO_03996, HELIO_12543
OG0000107	YEAST05173	HELIO_04878
OG0000113	YEAST00378, YEAST01351, YEAST05581	HELIO_06754, HELIO_04446, HELIO_08405
OG0000116	YEAST04456	HELIO_08217, HELIO_10553, HELIO_06412, HELIO_04872, HELIO_03109, HELIO_04371, HELIO_07156, HELIO_04755, HELIO_00774, HELIO_07866, HELIO_07865
OG0000122	YEAST04928	HELIO_03986, HELIO_09221, HELIO_00601, HELIO_11330, HELIO_07753
OG0000124	YEAST05021	HELIO_02264
OG0000124	YEAST04122	HELIO_08965
OG0000127	YEAST06208	HELIO_00274, HELIO_04203, HELIO_00760, HELIO_10652, HELIO_03723
OG0000128	YEAST01398, YEAST05967, YEAST05716	HELIO_00789
OG0000132	YEAST06016	HELIO_02084, HELIO_02083, HELIO_03711, HELIO_04353
OG0000137	YEAST01851, YEAST00637	HELIO_10563, HELIO_05850, HELIO_01589, HELIO_12262
OG0000142	YEAST02122	HELIO_07594, HELIO_07399
OG0000157	YEAST02851	HELIO_02898
OG0000158	YEAST05568	HELIO_09280, HELIO_05890
OG0000160	YEAST04194	HELIO_06133, HELIO_11300, HELIO_11870, HELIO_09094
OG0000175	YEAST00850, YEAST04327	HELIO_01966, HELIO_02535, HELIO_08923, HELIO_05633, HELIO_11471
OG0000179	YEAST01123, YEAST04430	HELIO_05015
OG0000179	YEAST02911, YEAST01281	HELIO_04929, HELIO_05097
OG0000179	YEAST04108, YEAST03346	HELIO_08122
OG0000181	YEAST00824, YEAST00771	HELIO_04096, HELIO_03744, HELIO_11084, HELIO_06953, HELIO_10771, HELIO_03461, HELIO_03460
OG0000186	YEAST00336	HELIO_05733, HELIO_02314, HELIO_09501, HELIO_02377, HELIO_05946
OG0000194	YEAST01410	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980
OG0000195	YEAST03414	HELIO_05982, HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118
OG0000211	YEAST04964	HELIO_11401, HELIO_09853, HELIO_00554, HELIO_04759, HELIO_11035
OG0000221	YEAST05872	HELIO_06860, HELIO_10767, HELIO_06340
OG0000222	YEAST01460	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113
OG0000225	YEAST06146	HELIO_03666, HELIO_05507, HELIO_12455, HELIO_12454
OG0000227	YEAST05815	HELIO_02891, HELIO_06498, HELIO_04590
OG0000228	YEAST04750	HELIO_05990, HELIO_05988, HELIO_00779, HELIO_04342, HELIO_01854, HELIO_01855, HELIO_01856
OG0000233	YEAST03726, YEAST03241, YEAST03242	HELIO_05580, HELIO_03649, HELIO_09993
OG0000238	YEAST06340, YEAST03834	HELIO_10889, HELIO_06126, HELIO_04152
OG0000240	YEAST03827	HELIO_07617, HELIO_07345, HELIO_10762
OG0000242	YEAST00734	HELIO_08165, HELIO_09942, HELIO_01488, HELIO_07151
OG0000246	YEAST01746, YEAST01747	HELIO_06641, HELIO_12542, HELIO_06797, HELIO_02441
OG0000250	YEAST04716	HELIO_03230, HELIO_09216, HELIO_02167, HELIO_12457
OG0000255	YEAST02822	HELIO_09865, HELIO_11786, HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573
OG0000256	YEAST00266	HELIO_11169, HELIO_06584, HELIO_07024, HELIO_07406, HELIO_07937
OG0000258	YEAST00118	HELIO_01832, HELIO_07834, HELIO_11938
OG0000260	YEAST04323	HELIO_02123, HELIO_12046
OG0000265	YEAST03885, YEAST03714	HELIO_02949
OG0000272	YEAST02076, YEAST01066	HELIO_03137, HELIO_06926
OG0000274	YEAST02118, YEAST04573, YEAST01485	HELIO_06815, HELIO_04008
OG0000284	YEAST05621	HELIO_09271, HELIO_08507, HELIO_03356, HELIO_04011
OG0000289	YEAST00645	HELIO_07121, HELIO_04864, HELIO_08142
OG0000305	YEAST04899	HELIO_11091, HELIO_04494, HELIO_11371
OG0000308	YEAST02548	HELIO_09361, HELIO_07835, HELIO_01621, HELIO_08987, HELIO_05751
OG0000310	YEAST02635	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	HELIO_01538, HELIO_09957, HELIO_10360
OG0000313	YEAST05106	HELIO_06905, HELIO_11614
OG0000315	YEAST04684	HELIO_06387
OG0000316	YEAST01673	HELIO_00705, HELIO_01356, HELIO_01799, HELIO_11514, HELIO_05676
OG0000317	YEAST01356	HELIO_05129, HELIO_04312, HELIO_07279, HELIO_09420
OG0000321	YEAST03264	HELIO_08196, HELIO_12621, HELIO_08301
OG0000323	YEAST02249	HELIO_02185, HELIO_02184, HELIO_07979, HELIO_09877
OG0000326	YEAST06056	HELIO_08613
OG0000338	YEAST02967	HELIO_11240, HELIO_09261
OG0000338	YEAST04211	HELIO_11115
OG0000343	YEAST03024, YEAST02736	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075
OG0000345	YEAST01884	HELIO_07592, HELIO_01838, HELIO_03828, HELIO_12171, HELIO_06324, HELIO_12314
OG0000352	YEAST04069	HELIO_07849, HELIO_02109, HELIO_10654
OG0000357	YEAST01925	HELIO_02302, HELIO_12008, HELIO_04303
OG0000359	YEAST02489	HELIO_08095, HELIO_01337, HELIO_08324
OG0000363	YEAST04081, YEAST05870	HELIO_08685, HELIO_04531, HELIO_03753
OG0000365	YEAST05831	HELIO_11146, HELIO_04785, HELIO_04794
OG0000367	YEAST02141, YEAST03746, YEAST03210	HELIO_11366, HELIO_00864
