Orthogroup	YEAST	CAEEL
OG0000000	YEAST00701	CAEEL18735, CAEEL01026, CAEEL01893, CAEEL08140, CAEEL18754, CAEEL06523, CAEEL00081, CAEEL18467, CAEEL18466, CAEEL04771, CAEEL10851, CAEEL18086, CAEEL05734, CAEEL05228, CAEEL18573, CAEEL08092, CAEEL08135, CAEEL08091, CAEEL00979
OG0000000	YEAST04484	CAEEL08137, CAEEL17599
OG0000007	YEAST00671	CAEEL01984
OG0000011	YEAST02600, YEAST01619	CAEEL08004
OG0000013	YEAST04082	CAEEL11942, CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591, CAEEL05441, CAEEL19127
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	CAEEL20221, CAEEL18775, CAEEL20303, CAEEL13313, CAEEL13287, CAEEL04834, CAEEL20733
OG0000016	YEAST03839, YEAST02807, YEAST03817	CAEEL20493
OG0000016	YEAST03870, YEAST01103	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000031	YEAST02238	CAEEL17953, CAEEL02023, CAEEL05211, CAEEL02681, CAEEL04718, CAEEL07076
OG0000034	YEAST04436, YEAST05550, YEAST05115	CAEEL20539, CAEEL07900, CAEEL13037, CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034, CAEEL01132, CAEEL03140, CAEEL03141
OG0000036	YEAST02545, YEAST02806	CAEEL18405, CAEEL11240, CAEEL15057, CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	YEAST03227	CAEEL01091, CAEEL01333, CAEEL05877, CAEEL04684, CAEEL17629, CAEEL17628, CAEEL03654, CAEEL20275, CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299, CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993, CAEEL09012, CAEEL08645
OG0000038	YEAST04422, YEAST04379	CAEEL19549, CAEEL01554, CAEEL01714, CAEEL18498, CAEEL05762, CAEEL07106, CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943
OG0000043	YEAST00224, YEAST01200	CAEEL10737, CAEEL11712, CAEEL06333, CAEEL01948, CAEEL06326, CAEEL14855, CAEEL10930, CAEEL06322, CAEEL16894, CAEEL14940, CAEEL11691, CAEEL10934, CAEEL14937, CAEEL14954, CAEEL14951, CAEEL11702, CAEEL15122
OG0000048	YEAST05707	CAEEL00851, CAEEL16396, CAEEL17799, CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866
OG0000054	YEAST01385	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176, CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151
OG0000055	YEAST01199, YEAST00225	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738, CAEEL14858
OG0000058	YEAST02989	CAEEL06550
OG0000058	YEAST02120	CAEEL09297, CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000069	YEAST03661	CAEEL14766
OG0000069	YEAST05172	CAEEL07263, CAEEL07262, CAEEL15933, CAEEL19293
OG0000079	YEAST05330	CAEEL18822, CAEEL09849, CAEEL10489, CAEEL07248
OG0000082	YEAST03287	CAEEL18954, CAEEL04897
OG0000082	YEAST04267, YEAST01834, YEAST03359	CAEEL13927
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	CAEEL12687, CAEEL01784, CAEEL05942, CAEEL05941
OG0000095	YEAST02993	CAEEL16530, CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114, CAEEL03536
OG0000096	YEAST02643	CAEEL16555, CAEEL11088
OG0000096	YEAST00638	CAEEL08533
OG0000096	YEAST05104, YEAST05564	CAEEL11776, CAEEL06051, CAEEL07422
OG0000103	YEAST02873	CAEEL11159, CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258, CAEEL01469, CAEEL18445
OG0000107	YEAST05173	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000113	YEAST00378, YEAST01351, YEAST05581	CAEEL15980, CAEEL19189, CAEEL19187, CAEEL13863, CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	YEAST00703	CAEEL15245, CAEEL11468
OG0000116	YEAST04456	CAEEL14875
OG0000122	YEAST04928	CAEEL01544, CAEEL19085
OG0000124	YEAST05021	CAEEL19897
OG0000124	YEAST04122	CAEEL04963
OG0000127	YEAST06208	CAEEL19207, CAEEL20452, CAEEL00838, CAEEL18545
OG0000132	YEAST06016	CAEEL16523, CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	YEAST01851, YEAST00637	CAEEL18416, CAEEL11601, CAEEL10559, CAEEL15802, CAEEL15801
OG0000142	YEAST02122	CAEEL15831, CAEEL19259, CAEEL19543, CAEEL08844, CAEEL07256, CAEEL07175
OG0000157	YEAST01890	CAEEL20182
OG0000158	YEAST05568	CAEEL04589, CAEEL18898, CAEEL20117, CAEEL08684, CAEEL18551, CAEEL18550, CAEEL18549, CAEEL06141
OG0000160	YEAST04194	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000175	YEAST00850, YEAST04327	CAEEL19241, CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	YEAST01123, YEAST04430	CAEEL13640
OG0000179	YEAST02911, YEAST01281	CAEEL02965, CAEEL06713
OG0000179	YEAST04108, YEAST03346	CAEEL19466, CAEEL07193
OG0000181	YEAST00824, YEAST00771	CAEEL07684, CAEEL10858, CAEEL10772, CAEEL12632
OG0000186	YEAST00336	CAEEL04404, CAEEL00795, CAEEL05654, CAEEL18013, CAEEL13010
OG0000194	YEAST01410	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	YEAST03414	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312, CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481
OG0000211	YEAST04964	CAEEL02936, CAEEL15290, CAEEL01111, CAEEL01112, CAEEL02311
OG0000221	YEAST05872	CAEEL10747, CAEEL06648
OG0000225	YEAST06146	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000227	YEAST05815	CAEEL19645
OG0000233	YEAST03726, YEAST03241, YEAST03242	CAEEL19660, CAEEL15634, CAEEL03636, CAEEL19665, CAEEL19664
OG0000238	YEAST06340, YEAST03834	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387, CAEEL15431
OG0000242	YEAST00734	CAEEL05291, CAEEL05302, CAEEL09632, CAEEL00216, CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000246	YEAST01746, YEAST01747	CAEEL00493, CAEEL00494, CAEEL10694, CAEEL12777, CAEEL15450, CAEEL20225, CAEEL10695, CAEEL16679, CAEEL15404, CAEEL12853, CAEEL12851, CAEEL13386, CAEEL16713, CAEEL17032, CAEEL03988, CAEEL03987, CAEEL13388, CAEEL13387, CAEEL06476, CAEEL15461, CAEEL13389, CAEEL11832
OG0000250	YEAST04716	CAEEL11963, CAEEL07261, CAEEL04698, CAEEL06732
OG0000255	YEAST02822	CAEEL05168, CAEEL05715
OG0000256	YEAST00266	CAEEL11937, CAEEL19468
OG0000258	YEAST00118	CAEEL19537, CAEEL09342, CAEEL15770
OG0000260	YEAST04323	CAEEL11482
OG0000265	YEAST03885, YEAST03714	CAEEL10364
OG0000272	YEAST02076, YEAST01066	CAEEL11804, CAEEL19905
OG0000274	YEAST02118, YEAST04573, YEAST01485	CAEEL11033
OG0000278	YEAST03847	CAEEL07740
OG0000278	YEAST03806	CAEEL09180
OG0000278	YEAST04060	CAEEL07099
OG0000278	YEAST01107	CAEEL02024
OG0000284	YEAST05621	CAEEL18846
OG0000305	YEAST04899	CAEEL19499, CAEEL15162, CAEEL10872, CAEEL15163
OG0000308	YEAST02548	CAEEL00748
OG0000310	YEAST02635	CAEEL02560
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	CAEEL19323, CAEEL16684, CAEEL08464, CAEEL11599, CAEEL00601, CAEEL11535
OG0000313	YEAST02950	CAEEL12617
OG0000313	YEAST05526	CAEEL06343
OG0000315	YEAST03248	CAEEL07409
OG0000315	YEAST04684	CAEEL07292
OG0000316	YEAST01673	CAEEL01799, CAEEL15172, CAEEL05711, CAEEL00039, CAEEL06052
OG0000317	YEAST01356	CAEEL18141, CAEEL18155
OG0000321	YEAST03264	CAEEL08916, CAEEL19255
OG0000323	YEAST02249	CAEEL08030
OG0000327	YEAST01354	CAEEL05176, CAEEL18527, CAEEL06891
OG0000338	YEAST02967	CAEEL02726
OG0000343	YEAST03024, YEAST02736	CAEEL00542
OG0000345	YEAST01884	CAEEL11440, CAEEL03190, CAEEL11438, CAEEL00071, CAEEL13165, CAEEL09288
OG0000352	YEAST04069	CAEEL05587
OG0000357	YEAST01925	CAEEL07861, CAEEL10151, CAEEL05953
OG0000359	YEAST02489	CAEEL02740, CAEEL18786, CAEEL18785, CAEEL04647
OG0000363	YEAST04081, YEAST05870	CAEEL16793, CAEEL12714, CAEEL04898, CAEEL01034, CAEEL00066, CAEEL12357, CAEEL16480
OG0000365	YEAST05831	CAEEL01623, CAEEL03052, CAEEL02170, CAEEL00591
OG0000367	YEAST02141, YEAST03746, YEAST03210	CAEEL13915, CAEEL16273, CAEEL20317, CAEEL09650, CAEEL09649, CAEEL19713, CAEEL19711, CAEEL11241
OG0000372	YEAST05988	CAEEL09938, CAEEL06634, CAEEL11042
OG0000373	YEAST02023	CAEEL08053, CAEEL15439
OG0000373	YEAST04495, YEAST01417, YEAST05964	CAEEL15442
OG0000380	YEAST01047	CAEEL07128
OG0000385	YEAST03496	CAEEL19151, CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992
OG0000393	YEAST04072, YEAST04071	CAEEL14690, CAEEL11594
OG0000393	YEAST01302	CAEEL00138
OG0000399	YEAST02160	CAEEL12746, CAEEL18399, CAEEL01136, CAEEL00515
OG0000400	YEAST05911	CAEEL09043, CAEEL01024
OG0000402	YEAST01657, YEAST01929	CAEEL20859, CAEEL09914, CAEEL09915
OG0000405	YEAST06055, YEAST00411	CAEEL01740
OG0000412	YEAST04469	CAEEL09909, CAEEL20650
OG0000413	YEAST04905, YEAST05340	CAEEL15525
OG0000413	YEAST02838	CAEEL18945, CAEEL06206, CAEEL06205
OG0000419	YEAST05989	CAEEL20185, CAEEL19090
